"","SUBSTANCENAME","NONPROPRIETARYNAME","NDC_11","PHARM_CLASSES","PRODUCTNDC","NDCPACKAGECODE","PRODUCTID","PRODUCTTYPENAME","PROPRIETARYNAME","PROPRIETARYNAMESUFFIX","DOSAGEFORMNAME","ROUTENAME","STARTMARKETINGDATE","ENDMARKETINGDATE","MARKETINGCATEGORYNAME","APPLICATIONNUMBER","LABELERNAME","ACTIVE_NUMERATOR_STRENGTH","ACTIVE_INGRED_UNIT","DEASCHEDULE","NDC_EXCLUDE_FLAG","LISTING_RECORD_CERTIFIED_THROUGH"
"3840","METRONIDAZOLE","Metronidazole","55700029804","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]","55700-298","55700-298-04","55700-298_3a93841b-bd44-407f-a18d-6bee13438b7f","HUMAN PRESCRIPTION DRUG","Metronidazole","","TABLET, FILM COATED","ORAL","20140601","20270331","ANDA","ANDA203458","Quality Care Products LLC","500","mg/1","","N",""
"3841","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","55700061114","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","55700-611","55700-611-14","55700-611_b44a332e-98a1-4f1b-b06b-3a9b044cb926","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20180504","20281130","ANDA","ANDA090624","Quality Care Products LLC","800; 160","mg/1; mg/1","","N",""
"3842","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","55700061128","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","55700-611","55700-611-28","55700-611_b44a332e-98a1-4f1b-b06b-3a9b044cb926","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20180504","20281130","ANDA","ANDA090624","Quality Care Products LLC","800; 160","mg/1; mg/1","","N",""
"3843","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","55700061106","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","55700-611","55700-611-06","55700-611_b44a332e-98a1-4f1b-b06b-3a9b044cb926","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20180504","20281130","ANDA","ANDA090624","Quality Care Products LLC","800; 160","mg/1; mg/1","","N",""
"3844","SULFAMETHOXAZOLE; TRIMETHOPRIM","Sulfamethoxazole and Trimethoprim","55700061120","Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]","55700-611","55700-611-20","55700-611_b44a332e-98a1-4f1b-b06b-3a9b044cb926","HUMAN PRESCRIPTION DRUG","Sulfamethoxazole and Trimethoprim","","TABLET","ORAL","20180504","20281130","ANDA","ANDA090624","Quality Care Products LLC","800; 160","mg/1; mg/1","","N",""
"3845","CIPROFLOXACIN HYDROCHLORIDE","Ciprofloxacin","55700073705","Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]","55700-737","55700-737-05","55700-737_33813b09-7ba5-460b-8c3e-be20781ed105","HUMAN PRESCRIPTION DRUG","ciprofloxacin","","SOLUTION","OPHTHALMIC","20190329","20250930","ANDA","ANDA077568","Quality Care Products, LLC","3","mg/mL","","N",""
"3846","TOBRAMYCIN","Tobramycin","55700074705","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]","55700-747","55700-747-05","55700-747_48a025a5-9b40-4a5b-a5a9-b39da7b91592","HUMAN PRESCRIPTION DRUG","Tobramycin","","SOLUTION/ DROPS","OPHTHALMIC","20190426","20250930","ANDA","ANDA207444","Quality Care Products, LLC","3","mg/mL","","N",""
"3847","CLINDAMYCIN HYDROCHLORIDE","Clindamycin hydrochloride","55700076130","Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]","55700-761","55700-761-30","55700-761_5fd32756-e7e4-4d84-bc33-bf64234d4300","HUMAN PRESCRIPTION DRUG","CLINDAMYCIN HYDROCHLORIDE","","CAPSULE","ORAL","20190607","20271130","ANDA","ANDA207402","Quality Care Products, LLC","300","mg/1","","N",""
"3848","CLINDAMYCIN HYDROCHLORIDE","Clindamycin hydrochloride","55700076121","Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]","55700-761","55700-761-21","55700-761_5fd32756-e7e4-4d84-bc33-bf64234d4300","HUMAN PRESCRIPTION DRUG","CLINDAMYCIN HYDROCHLORIDE","","CAPSULE","ORAL","20190607","20271130","ANDA","ANDA207402","Quality Care Products, LLC","300","mg/1","","N",""
"3849","FLUCONAZOLE","Fluconazole","55700091601","Azole Antifungal [EPC], Azoles [CS], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA]","55700-916","55700-916-01","55700-916_500be20b-3c04-4037-b4d4-e3e0ec28143c","HUMAN PRESCRIPTION DRUG","Fluconazole","","TABLET","ORAL","20210713","20260331","ANDA","ANDA076658","Quality Care Products, LLC","150","mg/1","","N",""
"3850","ACONITUM NAPELLUS; ALLYLTHIOUREA; BARIUM CARBONATE; BARIUM CHLORIDE DIHYDRATE; CAPSICUM; CAUSTICUM; CINCHONA OFFICINALIS BARK; DYSPHANIA AMBROSIOIDES; GOLDENSEAL; GRAPHITE; LYCOPODIUM CLAVATUM SPORE; NITROGLYCERIN; PHOSPHORUS; POTASSIUM CHLORIDE; POTASSIUM DICHROMATE; PULSATILLA VULGARIS; QUININE SULFATE; SALICYLIC ACID; TOBACCO LEAF; VIOLA ODORATA","Aconitum nap., Baryta carb., Baryta mur., Capsicum, Causticum, Chenopodium anthelminticum, Chininum sulphuricum, Cinchona, Glonoinum, Graphites, Hydrastis, Kali bic., Kali mur., Lycopodium, Phosphorus, Pulsatilla, Salicylicum ac., Tabacum, Thiosinaminum, Viola odorata","55714242601","Allergens [CS], Allergens [CS], Antimalarial [EPC], Cell-mediated Immunity [PE], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Non-Standardized Food Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Osmotic Activity [MoA], Osmotic Laxative [EPC], Plant Proteins [CS], Plant Proteins [CS], Potassium Compounds [CS], Potassium Salt [EPC], Vasodilation [PE], Vegetable Proteins [CS]","55714-2426","55714-2426-1","55714-2426_2d819b58-7e70-172a-e063-6294a90ad34a","HUMAN OTC DRUG","Ear Ringing","","LIQUID","ORAL","20190131","","UNAPPROVED HOMEOPATHIC","","Newton Laboratories, Inc.","10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10","[hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL","","N","20261231"
"3851","ACONITUM NAPELLUS; ALLYLTHIOUREA; BARIUM CARBONATE; BARIUM CHLORIDE DIHYDRATE; CAPSICUM; CAUSTICUM; CINCHONA OFFICINALIS BARK; DYSPHANIA AMBROSIOIDES; GOLDENSEAL; GRAPHITE; LYCOPODIUM CLAVATUM SPORE; NITROGLYCERIN; PHOSPHORUS; POTASSIUM CHLORIDE; POTASSIUM DICHROMATE; PULSATILLA VULGARIS; QUININE SULFATE; SALICYLIC ACID; TOBACCO LEAF; VIOLA ODORATA","Aconitum nap., Baryta carb., Baryta mur., Capsicum, Causticum, Chenopodium anthelminticum, Chininum sulphuricum, Cinchona, Glonoinum, Graphites, Hydrastis, Kali bic., Kali mur., Lycopodium, Phosphorus, Pulsatilla, Salicylicum ac., Tabacum, Thiosinaminum, Viola odorata","55714242701","Allergens [CS], Allergens [CS], Antimalarial [EPC], Cell-mediated Immunity [PE], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Non-Standardized Food Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Osmotic Activity [MoA], Osmotic Laxative [EPC], Plant Proteins [CS], Plant Proteins [CS], Potassium Compounds [CS], Potassium Salt [EPC], Vasodilation [PE], Vegetable Proteins [CS]","55714-2427","55714-2427-1","55714-2427_b4f49f06-d9f7-0d09-e053-2a95a90ac5f0","HUMAN OTC DRUG","Ear Ringing","","PELLET","ORAL","20190131","","UNAPPROVED HOMEOPATHIC","","Newton Laboratories, Inc.","10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10","[hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g","","N","20261231"
"3852","ACONITUM NAPELLUS; ALLYLTHIOUREA; BARIUM CARBONATE; BARIUM CHLORIDE DIHYDRATE; CAPSICUM; CAUSTICUM; CINCHONA OFFICINALIS BARK; DYSPHANIA AMBROSIOIDES; GOLDENSEAL; GRAPHITE; LYCOPODIUM CLAVATUM SPORE; NITROGLYCERIN; PHOSPHORUS; POTASSIUM CHLORIDE; POTASSIUM DICHROMATE; PULSATILLA VULGARIS; QUININE SULFATE; SALICYLIC ACID; TOBACCO LEAF; VIOLA ODORATA","Aconitum nap., Baryta carb., Baryta mur., Capsicum, Causticum, Chenopodium anthelminticum, Chininum sulphuricum, Cinchona, Glonoinum, Graphites, Hydrastis, Kali bic., Kali mur., Lycopodium, Phosphorus, Pulsatilla, Salicylicum ac., Tabacum, Thiosinaminum, Viola odorata","55714258801","Allergens [CS], Allergens [CS], Antimalarial [EPC], Cell-mediated Immunity [PE], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Non-Standardized Food Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Osmotic Activity [MoA], Osmotic Laxative [EPC], Plant Proteins [CS], Plant Proteins [CS], Potassium Compounds [CS], Potassium Salt [EPC], Vasodilation [PE], Vegetable Proteins [CS]","55714-2588","55714-2588-1","55714-2588_10437086-0291-3a3b-e063-6294a90af4e4","HUMAN OTC DRUG","Ear Ringing","","LIQUID","ORAL","20240131","","UNAPPROVED HOMEOPATHIC","","Newton Laboratories, Inc.","15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15","[hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL","","N","20251231"
"3853","ACONITUM NAPELLUS; ALLYLTHIOUREA; BARIUM CARBONATE; BARIUM CHLORIDE DIHYDRATE; CAPSICUM; CAUSTICUM; CINCHONA OFFICINALIS BARK; DYSPHANIA AMBROSIOIDES; GOLDENSEAL; GRAPHITE; LYCOPODIUM CLAVATUM SPORE; NITROGLYCERIN; PHOSPHORUS; POTASSIUM CHLORIDE; POTASSIUM DICHROMATE; PULSATILLA VULGARIS; QUININE SULFATE; SALICYLIC ACID; TOBACCO LEAF; VIOLA ODORATA","Aconitum nap., Baryta carb., Baryta mur., Capsicum, Causticum, Chenopodium anthelminticum, Chininum sulphuricum, Cinchona, Glonoinum, Graphites, Hydrastis, Kali bic., Kali mur., Lycopodium, Phosphorus, Pulsatilla, Salicylicum ac., Tabacum, Thiosinaminum, Viola odorata","55714258901","Allergens [CS], Allergens [CS], Antimalarial [EPC], Cell-mediated Immunity [PE], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Non-Standardized Food Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Osmotic Activity [MoA], Osmotic Laxative [EPC], Plant Proteins [CS], Plant Proteins [CS], Potassium Compounds [CS], Potassium Salt [EPC], Vasodilation [PE], Vegetable Proteins [CS]","55714-2589","55714-2589-1","55714-2589_1045ca15-6ed3-a700-e063-6394a90ad96e","HUMAN OTC DRUG","Ear Ringing","","PELLET","ORAL","20240131","","UNAPPROVED HOMEOPATHIC","","Newton Laboratories, Inc.","15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15; 15","[hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g; [hp_X]/g","","N","20251231"
"3854","ACONITUM NAPELLUS; ALLYLTHIOUREA; ANEMONE PULSATILLA; BARIUM CARBONATE; BARIUM CHLORIDE DIHYDRATE; CAPSICUM; CAUSTICUM; CINCHONA OFFICINALIS BARK; DYSPHANIA AMBROSIOIDES; GOLDENSEAL; GRAPHITE; LYCOPODIUM CLAVATUM SPORE; NITROGLYCERIN; PHOSPHORUS; POTASSIUM CHLORIDE; POTASSIUM DICHROMATE; QUININE SULFATE; SALICYLIC ACID; TOBACCO LEAF; VIOLA ODORATA","Aconitum nap., Baryta carb., Baryta mur., Capsicum, Causticum, Chenopodium anthelminticum, Chininum sulphuricum, Cinchona, Glonoinum, Graphites, Hydrastis, Kali bic., Kali mur., Lycopodium, Phosphorus, Pulsatilla, Salicylicum ac., Tabacum, Thiosinaminum, Viola odorata","55714485701","Allergens [CS], Allergens [CS], Antimalarial [EPC], Cell-mediated Immunity [PE], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Nitrate Vasodilator [EPC], Nitrates [CS], Non-Standardized Food Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Osmotic Activity [MoA], Osmotic Laxative [EPC], Plant Proteins [CS], Plant Proteins [CS], Potassium Compounds [CS], Potassium Salt [EPC], Vasodilation [PE], Vegetable Proteins [CS]","55714-4857","55714-4857-1","55714-4857_10462abf-9261-c0fe-e063-6394a90a7a71","HUMAN OTC DRUG","Tinnitus","","LIQUID","ORAL","20240131","","UNAPPROVED HOMEOPATHIC","","Newton Laboratories, Inc.","20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20; 20","[hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL; [hp_X]/mL","","N","20251231"
"3855","CLOTRIMAZOLE","Clotrimazole","55758010202","Azole Antifungal [EPC], Azoles [CS]","55758-102","55758-102-02","55758-102_28d8d548-1c4e-c68c-e063-6394a90a0a2a","HUMAN OTC DRUG","Cura Hongo","Antifungal","CREAM","TOPICAL","20220531","","OTC MONOGRAPH DRUG","M005","Pharmadel LLC","1","g/100g","","N","20251231"
"3856","CLOTRIMAZOLE","Clotrimazole","55758043401","Azole Antifungal [EPC], Azoles [CS]","55758-434","55758-434-01","55758-434_2746335f-345b-0c54-e063-6294a90a98dd","HUMAN OTC DRUG","Cura Hongos","Antifungal","LOTION","TOPICAL","20241104","","OTC MONOGRAPH DRUG","M005","Pharmadel LLC","1","g/100mL","","N","20251231"
"3857","BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE","Bacitracin Zinc, Neomycin Sulfate, Polymyxin B Sulfate","55758044002","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","55758-440","55758-440-02","55758-440_25a394ea-7ad8-78af-e063-6394a90a1947","HUMAN OTC DRUG","Rapidol","Triple Antibiotic","OINTMENT","TOPICAL","20241104","","OTC MONOGRAPH DRUG","M004","Pharmadel LLC","400; 3.5; 5000","[USP'U]/g; mg/g; [USP'U]/g","","N","20251231"
"3858","NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE","Neomycin, Polymyxin B, Pramoxine HCl","55910006164","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","55910-061","55910-061-64","55910-061_2947f5c9-f1df-420e-aca6-bff2d13abd92","HUMAN OTC DRUG","DG Health Antibiotic","","CREAM","TOPICAL","20110114","","OTC MONOGRAPH DRUG","M004","Dolgencorp Inc","3.5; 10000; 10","mg/g; [USP'U]/g; mg/g","","N","20251231"
"3859","CLOTRIMAZOLE","CLOTRIMAZOLE","55910011800","Azole Antifungal [EPC], Azoles [CS]","55910-118","55910-118-00","55910-118_2f347ed2-93c9-02dd-e063-6294a90ab4d2","HUMAN OTC DRUG","DG Health Athletes Foot","","CREAM","TOPICAL","20250225","","OTC MONOGRAPH DRUG","M005","Dolgencorp, Inc.","10","mg/g","","N","20261231"
"3860","BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE","bacitracin zinc, neomycin, polymyxin B","55910020916","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","55910-209","55910-209-16","55910-209_ca0e7599-0ddf-49b6-a919-a43afbeab74a","HUMAN OTC DRUG","DG Health Triple Antibiotic","","OINTMENT","TOPICAL","20150623","","OTC MONOGRAPH DRUG","M004","Dolgencorp, LLC","400; 3.5; 5000","[USP'U]/g; mg/g; [USP'U]/g","","N","20251231"
"3861","BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE","bacitracin zinc, neomycin, polymyxin B","55910020964","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","55910-209","55910-209-64","55910-209_ca0e7599-0ddf-49b6-a919-a43afbeab74a","HUMAN OTC DRUG","DG Health Triple Antibiotic","","OINTMENT","TOPICAL","20150623","","OTC MONOGRAPH DRUG","M004","Dolgencorp, LLC","400; 3.5; 5000","[USP'U]/g; mg/g; [USP'U]/g","","N","20251231"
"3862","BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE","Bacitracin Zinc, Neomycin sulfate, Polymyxin B, Pramoxine HCl","55910044664","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","55910-446","55910-446-64","55910-446_57b0362e-26fe-4c1d-b63a-abd11679c31d","HUMAN OTC DRUG","dg health triple antibiotic","","OINTMENT","TOPICAL","20200106","","OTC MONOGRAPH DRUG","M004","Dolgencorp, LLC","500; 3.5; 10000; 10","[USP'U]/g; mg/g; [USP'U]/g; mg/g","","N","20251231"
"3863","BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE","Bacitracin, Neomycin, Polymyxin B, Pramoxine HCl","55910067964","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","55910-679","55910-679-64","55910-679_eddbaf7c-a7ff-43d2-84da-b1c3f080fc26","HUMAN OTC DRUG","DG Health Antibiotic","","OINTMENT","TOPICAL","20150926","","OTC MONOGRAPH DRUG","M004","Dolgencorp, LLC","500; 3.5; 10000; 10","[USP'U]/g; mg/g; [USP'U]/g; mg/g","","N","20251231"
"3864","MICONAZOLE NITRATE","Miconazole nitrate","55910069829","Azole Antifungal [EPC], Azoles [CS]","55910-698","55910-698-29","55910-698_8c3aedbe-c817-4088-85ea-79a3128c056d","HUMAN OTC DRUG","DG Health Miconazole","","CREAM","VAGINAL","20200318","","ANDA","ANDA074760","Dolgencorp, LLC","2","g/100g","","N","20251231"
"3865","TIOCONAZOLE","Tioconazole","55910073154","Azole Antifungal [EPC], Azoles [CS]","55910-731","55910-731-54","55910-731_76043021-1ced-40da-8b62-fa2de5c2839d","HUMAN OTC DRUG","dg health tioconazole 1","","OINTMENT","VAGINAL","20190301","","ANDA","ANDA075915","Dolgencorp, LLC","6.5","g/100g","","N","20251231"
"3866","TERBINAFINE HYDROCHLORIDE","Terbinafine Hydrochloride","56062008002","Allylamine Antifungal [EPC], Allylamine [CS]","56062-080","56062-080-02","56062-080_ee5222be-8caa-4797-bcc5-b81f0d2af9bc","HUMAN OTC DRUG","Athletes Foot","","CREAM","TOPICAL","20070702","","ANDA","ANDA077511","Publix Super Markets Inc.","1","g/100g","","N","20251231"
"3867","BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE","Bacitracin, Neomycin, Polymyxin B, Pramoxine Hydrochloride","56062067964","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","56062-679","56062-679-64","56062-679_83350012-0110-4b7d-98b9-aba92dc8fee1","HUMAN OTC DRUG","triple antibiotic","","OINTMENT","TOPICAL","20241122","","OTC MONOGRAPH DRUG","M004","Publix Super Markets Inc","500; 3.5; 10000; 10","[USP'U]/g; mg/g; [USP'U]/g; mg/g","","N","20251231"
"3868","CLOTRIMAZOLE","Clotrimazole 1%","56062081428","Azole Antifungal [EPC], Azoles [CS]","56062-814","56062-814-28","56062-814_9c2ec1aa-6907-46ed-8e06-ef6ff8cf7441","HUMAN OTC DRUG","Publix Athletic Foot","","CREAM","TOPICAL","20240715","","OTC MONOGRAPH DRUG","M005","PUBLIX SUPER MARKETS, INC.","10","mg/g","","N","20251231"
"3869","CLOTRIMAZOLE","Clotrimazole 1%","56062081728","Azole Antifungal [EPC], Azoles [CS]","56062-817","56062-817-28","56062-817_78c33045-bd41-489a-98ec-9afd8461bbea","HUMAN OTC DRUG","Publix Athletic Foot","","CREAM","TOPICAL","20240810","","OTC MONOGRAPH DRUG","M005","PUBLIX SUPER MARKETS, INC.","10","mg/g","","N","20251231"
"3870","BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE","Bacitracin Zinc 400 U, Polymxyin B Sulfate 5,000 U, Neomycin Sulfate 3.5mg/g","56062083028","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]","56062-830","56062-830-28","56062-830_97093e84-1aef-46f4-aa65-d08cecc21e68","HUMAN OTC DRUG","Publix Triple Antibiotic","","OINTMENT","TOPICAL","20240715","","OTC MONOGRAPH DRUG","M004","PUBLIX SUPER MARKETS, INC.","400; 3.5; 5000","[USP'U]/g; mg/g; [USP'U]/g","","N","20251231"
"3871","MICONAZOLE NITRATE","Antifungal Miconazole Powder Spray","56104012101","Azole Antifungal [EPC], Azoles [CS]","56104-121","56104-121-01","56104-121_29b6fb49-f5fd-d406-e063-6294a90ace19","HUMAN OTC DRUG","Miconazole Nitrate","","AEROSOL, SPRAY","TOPICAL","20220412","","OTC MONOGRAPH DRUG","M005","Premier Brands of America Inc.","2.6","g/130g","","N","20261231"
"3872","MICONAZOLE NITRATE","Athletes Foot Powder Spray Talc Free","56104013146","Azole Antifungal [EPC], Azoles [CS]","56104-131","56104-131-46","56104-131_380ec2cf-7b21-1ba3-e063-6394a90a2fdb","HUMAN OTC DRUG","Miconazole Nitrate","","AEROSOL, POWDER","TOPICAL","20181203","","OTC MONOGRAPH DRUG","M005","Premier Brands of America Inc.","2.6","g/130g","","N","20261231"
"3873","MICONAZOLE NITRATE","Miconazole Nitrate","56104025301","Azole Antifungal [EPC], Azoles [CS]","56104-253","56104-253-01","56104-253_247610b3-d569-b653-e063-6294a90a9cca","HUMAN OTC DRUG","Anti- Fungal Miconazole Nitrate","","POWDER","TOPICAL","20220411","","OTC MONOGRAPH DRUG","M005","Premier Brands of America Inc.","1.42","g/71g","","N","20251231"
"3874","MICONAZOLE NITRATE","Miconazole Nitrate","56104025601","Azole Antifungal [EPC], Azoles [CS]","56104-256","56104-256-01","56104-256_24763776-e3c2-0ca6-e063-6294a90a1da1","HUMAN OTC DRUG","Antifungal Miconazole","","AEROSOL, SPRAY","TOPICAL","20210929","","OTC MONOGRAPH DRUG","M005","Premier Brands of America Inc.","2.6","g/130g","","N","20251231"
"3875","MICONAZOLE NITRATE","Miconazole Nitrate","56104035001","Azole Antifungal [EPC], Azoles [CS]","56104-350","56104-350-01","56104-350_137e0adf-cd43-6c74-e063-6294a90a4fb5","HUMAN OTC DRUG","Foot Powder","","POWDER","TOPICAL","20231003","","OTC MONOGRAPH DRUG","M005","Premier Brands of America Inc.","20","mg/g","","N","20251231"
