***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************																
Data	from	Pyro	Oxygen	Logger	V3.206	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:														
08/02/2016	14:34:15	2549		6.7868	---	---	---	20	---	---	---	1018.06	54.279	---	---	---	22.862	---	---	---	184.048	---	---	---	5.204	---	---	---	
08/02/2016	14:34:16	2550		6.787	---	---	---	20	---	---	---	1018.03	54.279	---	---	---	22.862	---	---	---	184.074	---	---	---	5.204	---	---	---	
08/02/2016	14:34:17	2551		6.7804	---	---	---	20	---	---	---	1018.01	54.279	---	---	---	22.873	---	---	---	184.1	---	---	---	5.198	---	---	---	
08/02/2016	14:34:18	2552		6.7824	---	---	---	20	---	---	---	1018.03	54.279	---	---	---	22.87	---	---	---	184.163	---	---	---	5.2	---	---	---	
08/02/2016	14:34:19	2553		6.783	---	---	---	20	---	---	---	1018.03	54.279	---	---	---	22.869	---	---	---	184.226	---	---	---	5.21	---	---	---	
08/02/2016	14:34:20	2554		6.7852	---	---	---	20	---	---	---	1018.02	54.279	---	---	---	22.865	---	---	---	184.254	---	---	---	5.22	---	---	---	
08/02/2016	14:34:21	2555		6.7838	---	---	---	20	---	---	---	1018	54.279	---	---	---	22.867	---	---	---	184.259	---	---	---	5.208	---	---	---	
08/02/2016	14:34:22	2556		6.7825	---	---	---	20	---	---	---	1018.03	54.279	---	---	---	22.87	---	---	---	184.252	---	---	---	5.214	---	---	---	
08/02/2016	14:34:23	2557		6.7846	---	---	---	20	---	---	---	1018.02	54.279	---	---	---	22.866	---	---	---	184.278	---	---	---	5.227	---	---	---	
08/02/2016	14:34:24	2558		6.7823	---	---	---	20	---	---	---	1018.05	54.279	---	---	---	22.87	---	---	---	184.312	---	---	---	5.258	---	---	---	
08/02/2016	14:34:25	2559		6.778	---	---	---	20	---	---	---	1018.04	54.279	---	---	---	22.877	---	---	---	184.351	---	---	---	5.255	---	---	---	
08/02/2016	14:34:26	2560		6.7726	---	---	---	20	---	---	---	1018.07	54.271	---	---	---	22.887	---	---	---	184.384	---	---	---	5.248	---	---	---	
08/02/2016	14:34:27	2561		6.7744	---	---	---	20	---	---	---	1018.07	54.271	---	---	---	22.884	---	---	---	184.413	---	---	---	5.238	---	---	---	
08/02/2016	14:34:28	2562		6.7742	---	---	---	20	---	---	---	1018.05	54.264	---	---	---	22.884	---	---	---	184.449	---	---	---	5.241	---	---	---	
08/02/2016	14:34:29	2563		6.774	---	---	---	20	---	---	---	1018.04	54.264	---	---	---	22.884	---	---	---	184.474	---	---	---	5.237	---	---	---	
08/02/2016	14:34:30	2564		6.7692	---	---	---	20	---	---	---	1018	54.264	---	---	---	22.893	---	---	---	184.513	---	---	---	5.241	---	---	---	
08/02/2016	14:34:31	2565		6.7678	---	---	---	20	---	---	---	1018.02	54.264	---	---	---	22.895	---	---	---	184.554	---	---	---	5.221	---	---	---	
08/02/2016	14:34:32	2566		6.7665	---	---	---	20	---	---	---	1017.99	54.264	---	---	---	22.897	---	---	---	184.596	---	---	---	5.21	---	---	---	
08/02/2016	14:34:33	2567		6.7663	---	---	---	20	---	---	---	1017.99	54.256	---	---	---	22.898	---	---	---	184.603	---	---	---	5.207	---	---	---	
08/02/2016	14:34:34	2568		6.7644	---	---	---	20	---	---	---	1017.99	54.256	---	---	---	22.901	---	---	---	184.609	---	---	---	5.228	---	---	---	
08/02/2016	14:34:35	2569		6.7618	---	---	---	20	---	---	---	1018.01	54.256	---	---	---	22.905	---	---	---	184.618	---	---	---	5.22	---	---	---	
08/02/2016	14:34:36	2570		6.7576	---	---	---	20	---	---	---	1018.01	54.256	---	---	---	22.913	---	---	---	184.628	---	---	---	5.195	---	---	---	
08/02/2016	14:34:37	2571		6.7518	---	---	---	20	---	---	---	1018.01	54.256	---	---	---	22.923	---	---	---	184.662	---	---	---	5.176	---	---	---	
08/02/2016	14:34:38	2572		6.753	---	---	---	20	---	---	---	1018	54.256	---	---	---	22.921	---	---	---	184.703	---	---	---	5.18	---	---	---	
08/02/2016	14:34:39	2573		6.7536	---	---	---	20	---	---	---	1018.03	54.256	---	---	---	22.92	---	---	---	184.736	---	---	---	5.196	---	---	---	
08/02/2016	14:34:40	2574		6.7541	---	---	---	20	---	---	---	1018.03	54.256	---	---	---	22.919	---	---	---	184.765	---	---	---	5.207	---	---	---	
08/02/2016	14:34:41	2575		6.7528	---	---	---	20	---	---	---	1018.07	54.256	---	---	---	22.921	---	---	---	184.791	---	---	---	5.219	---	---	---	
08/02/2016	14:34:42	2576		6.7505	---	---	---	20	---	---	---	1018.02	54.256	---	---	---	22.925	---	---	---	184.838	---	---	---	5.226	---	---	---	
08/02/2016	14:34:43	2577		6.7486	---	---	---	20	---	---	---	1018	54.256	---	---	---	22.928	---	---	---	184.847	---	---	---	5.231	---	---	---	
08/02/2016	14:34:44	2578		6.7449	---	---	---	20	---	---	---	1017.97	54.256	---	---	---	22.935	---	---	---	184.849	---	---	---	5.231	---	---	---	
08/02/2016	14:34:45	2579		6.7443	---	---	---	20	---	---	---	1018.03	54.256	---	---	---	22.936	---	---	---	184.841	---	---	---	5.211	---	---	---	
08/02/2016	14:34:46	2580		6.7432	---	---	---	20	---	---	---	1018.06	54.256	---	---	---	22.938	---	---	---	184.844	---	---	---	5.209	---	---	---	
08/02/2016	14:34:47	2581		6.7451	---	---	---	20	---	---	---	1018.05	54.256	---	---	---	22.934	---	---	---	184.876	---	---	---	5.199	---	---	---	
08/02/2016	14:34:48	2582		6.7426	---	---	---	20	---	---	---	1018	54.256	---	---	---	22.939	---	---	---	184.906	---	---	---	5.214	---	---	---	
08/02/2016	14:34:49	2583		6.7407	---	---	---	20	---	---	---	1017.96	54.256	---	---	---	22.942	---	---	---	184.943	---	---	---	5.218	---	---	---	
08/02/2016	14:34:50	2584		6.7397	---	---	---	20	---	---	---	1017.97	54.246	---	---	---	22.943	---	---	---	184.971	---	---	---	5.205	---	---	---	
08/02/2016	14:34:51	2585		6.7353	---	---	---	20	---	---	---	1017.99	54.246	---	---	---	22.951	---	---	---	185.017	---	---	---	5.194	---	---	---	
08/02/2016	14:34:52	2586		6.7349	---	---	---	20	---	---	---	1018.02	54.236	---	---	---	22.952	---	---	---	185.033	---	---	---	5.174	---	---	---	
08/02/2016	14:34:53	2587		6.7311	---	---	---	20	---	---	---	1018.03	54.236	---	---	---	22.958	---	---	---	185.076	---	---	---	5.183	---	---	---	
08/02/2016	14:34:54	2588		6.7323	---	---	---	20	---	---	---	1018.03	54.226	---	---	---	22.956	---	---	---	185.107	---	---	---	5.184	---	---	---	
08/02/2016	14:34:55	2589		6.7317	---	---	---	20	---	---	---	1018.01	54.226	---	---	---	22.957	---	---	---	185.148	---	---	---	5.191	---	---	---	
08/02/2016	14:34:56	2590		6.7259	---	---	---	20	---	---	---	1018	54.226	---	---	---	22.968	---	---	---	185.149	---	---	---	5.205	---	---	---	
08/02/2016	14:34:57	2591		6.7244	---	---	---	20	---	---	---	1017.99	54.236	---	---	---	22.97	---	---	---	185.175	---	---	---	5.192	---	---	---	
08/02/2016	14:34:58	2592		6.7219	---	---	---	20	---	---	---	1017.97	54.236	---	---	---	22.974	---	---	---	185.207	---	---	---	5.194	---	---	---	
08/02/2016	14:34:59	2593		6.7244	---	---	---	20	---	---	---	1017.98	54.236	---	---	---	22.97	---	---	---	185.228	---	---	---	5.182	---	---	---	
08/02/2016	14:35:00	2594		6.7212	---	---	---	20	---	---	---	1018	54.226	---	---	---	22.976	---	---	---	185.226	---	---	---	5.207	---	---	---	
08/02/2016	14:35:01	2595		6.7215	---	---	---	20	---	---	---	1018.03	54.236	---	---	---	22.975	---	---	---	185.253	---	---	---	5.212	---	---	---	
08/02/2016	14:35:02	2596		6.7212	---	---	---	20	---	---	---	1017.99	54.236	---	---	---	22.975	---	---	---	185.29	---	---	---	5.22	---	---	---	
08/02/2016	14:35:03	2597		6.7225	---	---	---	20	---	---	---	1017.98	54.246	---	---	---	22.973	---	---	---	185.31	---	---	---	5.209	---	---	---	
08/02/2016	14:35:04	2598		6.7162	---	---	---	20	---	---	---	1017.98	54.246	---	---	---	22.984	---	---	---	185.337	---	---	---	5.213	---	---	---	
08/02/2016	14:35:05	2599		6.7112	---	---	---	20	---	---	---	1018.01	54.256	---	---	---	22.993	---	---	---	185.362	---	---	---	5.214	---	---	---	
08/02/2016	14:35:06	2600		6.7091	---	---	---	20	---	---	---	1018	54.246	---	---	---	22.997	---	---	---	185.397	---	---	---	5.223	---	---	---	
08/02/2016	14:35:07	2601		6.7103	---	---	---	20	---	---	---	1018.01	54.236	---	---	---	22.994	---	---	---	185.431	---	---	---	5.218	---	---	---	
08/02/2016	14:35:08	2602		6.7107	---	---	---	20	---	---	---	1017.99	54.226	---	---	---	22.994	---	---	---	185.452	---	---	---	5.218	---	---	---	
08/02/2016	14:35:09	2603		6.708	---	---	---	20	---	---	---	1018.02	54.226	---	---	---	22.999	---	---	---	185.461	---	---	---	5.217	---	---	---	
08/02/2016	14:35:10	2604		6.707	---	---	---	20	---	---	---	1018.03	54.226	---	---	---	23	---	---	---	185.474	---	---	---	5.232	---	---	---	
08/02/2016	14:35:11	2605		6.7059	---	---	---	20	---	---	---	1018.06	54.226	---	---	---	23.002	---	---	---	185.496	---	---	---	5.229	---	---	---	
08/02/2016	14:35:12	2606		6.7029	---	---	---	20	---	---	---	1018.04	54.226	---	---	---	23.007	---	---	---	185.548	---	---	---	5.229	---	---	---	
08/02/2016	14:35:13	2607		6.7006	---	---	---	20	---	---	---	1018.01	54.226	---	---	---	23.011	---	---	---	185.572	---	---	---	5.202	---	---	---	
08/02/2016	14:35:14	2608		6.6962	---	---	---	20	---	---	---	1017.98	54.226	---	---	---	23.019	---	---	---	185.609	---	---	---	5.21	---	---	---	
08/02/2016	14:35:15	2609		6.6958	---	---	---	20	---	---	---	1017.98	54.226	---	---	---	23.02	---	---	---	185.633	---	---	---	5.224	---	---	---	
08/02/2016	14:35:16	2610		6.6941	---	---	---	20	---	---	---	1017.97	54.226	---	---	---	23.023	---	---	---	185.663	---	---	---	5.231	---	---	---	
08/02/2016	14:35:17	2611		6.696	---	---	---	20	---	---	---	1018.01	54.226	---	---	---	23.019	---	---	---	185.694	---	---	---	5.214	---	---	---	
08/02/2016	14:35:18	2612		6.6937	---	---	---	20	---	---	---	1018.04	54.226	---	---	---	23.023	---	---	---	185.704	---	---	---	5.188	---	---	---	
08/02/2016	14:35:19	2613		6.6907	---	---	---	20	---	---	---	1018.08	54.226	---	---	---	23.029	---	---	---	185.73	---	---	---	5.183	---	---	---	
08/02/2016	14:35:20	2614		6.6855	---	---	---	20	---	---	---	1018.08	54.226	---	---	---	23.038	---	---	---	185.74	---	---	---	5.197	---	---	---	
08/02/2016	14:35:21	2615		6.6846	---	---	---	20	---	---	---	1018.04	54.226	---	---	---	23.04	---	---	---	185.779	---	---	---	5.194	---	---	---	
08/02/2016	14:35:22	2616		6.684	---	---	---	20	---	---	---	1018.03	54.226	---	---	---	23.04	---	---	---	185.808	---	---	---	5.191	---	---	---	
08/02/2016	14:35:23	2617		6.6854	---	---	---	20	---	---	---	1018.03	54.226	---	---	---	23.038	---	---	---	185.859	---	---	---	5.169	---	---	---	
08/02/2016	14:35:24	2618		6.681	---	---	---	20	---	---	---	1018.02	54.226	---	---	---	23.046	---	---	---	185.885	---	---	---	5.184	---	---	---	
08/02/2016	14:35:25	2619		6.6755	---	---	---	20	---	---	---	1018.01	54.226	---	---	---	23.056	---	---	---	185.909	---	---	---	5.188	---	---	---	
08/02/2016	14:35:26	2620		6.6728	---	---	---	20	---	---	---	1017.97	54.226	---	---	---	23.06	---	---	---	185.907	---	---	---	5.211	---	---	---	
08/02/2016	14:35:27	2621		6.6713	---	---	---	20	---	---	---	1017.98	54.226	---	---	---	23.063	---	---	---	185.946	---	---	---	5.223	---	---	---	
08/02/2016	14:35:28	2622		6.6743	---	---	---	20	---	---	---	1017.98	54.226	---	---	---	23.057	---	---	---	185.969	---	---	---	5.243	---	---	---	
08/02/2016	14:35:29	2623		6.6713	---	---	---	20	---	---	---	1017.98	54.226	---	---	---	23.063	---	---	---	185.998	---	---	---	5.232	---	---	---	
08/02/2016	14:35:30	2624		6.6721	---	---	---	20	---	---	---	1018	54.226	---	---	---	23.061	---	---	---	186.011	---	---	---	5.213	---	---	---	
08/02/2016	14:35:31	2625		6.669	---	---	---	20	---	---	---	1018.04	54.226	---	---	---	23.067	---	---	---	186.041	---	---	---	5.201	---	---	---	
08/02/2016	14:35:32	2626		6.6677	---	---	---	20	---	---	---	1018.06	54.226	---	---	---	23.069	---	---	---	186.069	---	---	---	5.199	---	---	---	
08/02/2016	14:35:33	2627		6.6672	---	---	---	20	---	---	---	1018.07	54.226	---	---	---	23.07	---	---	---	186.092	---	---	---	5.199	---	---	---	
08/02/2016	14:35:34	2628		6.6656	---	---	---	20	---	---	---	1018.02	54.226	---	---	---	23.072	---	---	---	186.105	---	---	---	5.201	---	---	---	
08/02/2016	14:35:35	2629		6.6634	---	---	---	20	---	---	---	1018.01	54.226	---	---	---	23.076	---	---	---	186.134	---	---	---	5.204	---	---	---	
08/02/2016	14:35:36	2630		6.6586	---	---	---	20	---	---	---	1018.01	54.226	---	---	---	23.085	---	---	---	186.168	---	---	---	5.225	---	---	---	
08/02/2016	14:35:37	2631		6.6581	---	---	---	20	---	---	---	1018.03	54.226	---	---	---	23.086	---	---	---	186.197	---	---	---	5.234	---	---	---	
08/02/2016	14:35:38	2632		6.6573	---	---	---	20	---	---	---	1018.07	54.226	---	---	---	23.087	---	---	---	186.239	---	---	---	5.249	---	---	---	
08/02/2016	14:35:39	2633		6.6586	---	---	---	20	---	---	---	1018.03	54.226	---	---	---	23.085	---	---	---	186.245	---	---	---	5.229	---	---	---	
08/02/2016	14:35:40	2634		6.6562	---	---	---	20	---	---	---	1018.02	54.226	---	---	---	23.089	---	---	---	186.266	---	---	---	5.218	---	---	---	
08/02/2016	14:35:41	2635		6.6528	---	---	---	20	---	---	---	1017.97	54.226	---	---	---	23.095	---	---	---	186.269	---	---	---	5.22	---	---	---	
08/02/2016	14:35:42	2636		6.6454	---	---	---	20	---	---	---	1017.99	54.226	---	---	---	23.109	---	---	---	186.322	---	---	---	5.234	---	---	---	
08/02/2016	14:35:43	2637		6.6439	---	---	---	20	---	---	---	1018.04	54.226	---	---	---	23.111	---	---	---	186.344	---	---	---	5.239	---	---	---	
08/02/2016	14:35:44	2638		6.6428	---	---	---	20	---	---	---	1018.06	54.226	---	---	---	23.113	---	---	---	186.382	---	---	---	5.226	---	---	---	
08/02/2016	14:35:45	2639		6.6452	---	---	---	20	---	---	---	1018.08	54.216	---	---	---	23.108	---	---	---	186.396	---	---	---	5.22	---	---	---	
08/02/2016	14:35:46	2640		6.6416	---	---	---	20	---	---	---	1018.06	54.216	---	---	---	23.115	---	---	---	186.432	---	---	---	5.237	---	---	---	
08/02/2016	14:35:47	2641		6.6396	---	---	---	20	---	---	---	1018.05	54.216	---	---	---	23.118	---	---	---	186.446	---	---	---	5.231	---	---	---	
08/02/2016	14:35:48	2642		6.6373	---	---	---	20	---	---	---	1018.03	54.216	---	---	---	23.122	---	---	---	186.472	---	---	---	5.234	---	---	---	
08/02/2016	14:35:49	2643		6.6358	---	---	---	20	---	---	---	1018.01	54.205	---	---	---	23.125	---	---	---	186.494	---	---	---	5.203	---	---	---	
08/02/2016	14:35:50	2644		6.632	---	---	---	20	---	---	---	1018.05	54.195	---	---	---	23.132	---	---	---	186.527	---	---	---	5.21	---	---	---	
08/02/2016	14:35:51	2645		6.6307	---	---	---	20	---	---	---	1018.05	54.205	---	---	---	23.134	---	---	---	186.557	---	---	---	5.212	---	---	---	
08/02/2016	14:35:52	2646		6.6288	---	---	---	20	---	---	---	1018.08	54.216	---	---	---	23.138	---	---	---	186.577	---	---	---	5.219	---	---	---	
08/02/2016	14:35:53	2647		6.6326	---	---	---	20	---	---	---	1018.06	54.226	---	---	---	23.131	---	---	---	186.611	---	---	---	5.203	---	---	---	
08/02/2016	14:35:54	2648		6.6288	---	---	---	20	---	---	---	1018.05	54.216	---	---	---	23.137	---	---	---	186.639	---	---	---	5.203	---	---	---	
08/02/2016	14:35:55	2649		6.6279	---	---	---	20	---	---	---	1018.03	54.205	---	---	---	23.139	---	---	---	186.675	---	---	---	5.199	---	---	---	
08/02/2016	14:35:56	2650		6.6226	---	---	---	20	---	---	---	1018.03	54.195	---	---	---	23.148	---	---	---	186.698	---	---	---	5.203	---	---	---	
08/02/2016	14:35:57	2651		6.6232	---	---	---	20	---	---	---	1018.06	54.195	---	---	---	23.147	---	---	---	186.728	---	---	---	5.195	---	---	---	
08/02/2016	14:35:58	2652		6.6213	---	---	---	20	---	---	---	1018.06	54.195	---	---	---	23.151	---	---	---	186.757	---	---	---	5.194	---	---	---	
08/02/2016	14:35:59	2653		6.6202	---	---	---	20	---	---	---	1018.05	54.195	---	---	---	23.153	---	---	---	186.782	---	---	---	5.188	---	---	---	
08/02/2016	14:36:00	2654		6.6181	---	---	---	20	---	---	---	1018.02	54.195	---	---	---	23.156	---	---	---	186.812	---	---	---	5.162	---	---	---	
08/02/2016	14:36:01	2655		6.6172	---	---	---	20	---	---	---	1018.03	54.195	---	---	---	23.158	---	---	---	186.833	---	---	---	5.166	---	---	---	
08/02/2016	14:36:02	2656		6.6167	---	---	---	20	---	---	---	1018.07	54.195	---	---	---	23.159	---	---	---	186.852	---	---	---	5.182	---	---	---	
08/02/2016	14:36:03	2657		6.6167	---	---	---	20	---	---	---	1018.08	54.195	---	---	---	23.159	---	---	---	186.876	---	---	---	5.219	---	---	---	
08/02/2016	14:36:04	2658		6.6155	---	---	---	20	---	---	---	1018.08	54.195	---	---	---	23.161	---	---	---	186.903	---	---	---	5.221	---	---	---	
08/02/2016	14:36:05	2659		6.6173	---	---	---	20	---	---	---	1018.07	54.195	---	---	---	23.158	---	---	---	186.932	---	---	---	5.206	---	---	---	
08/02/2016	14:36:06	2660		6.6144	---	---	---	20	---	---	---	1018.06	54.195	---	---	---	23.163	---	---	---	186.945	---	---	---	5.201	---	---	---	
08/02/2016	14:36:07	2661		6.6145	---	---	---	20	---	---	---	1018.05	54.195	---	---	---	23.163	---	---	---	186.989	---	---	---	5.177	---	---	---	
08/02/2016	14:36:08	2662		6.6118	---	---	---	20	---	---	---	1018.04	54.195	---	---	---	23.168	---	---	---	187.008	---	---	---	5.194	---	---	---	
08/02/2016	14:36:09	2663		6.6107	---	---	---	20	---	---	---	1018.05	54.195	---	---	---	23.17	---	---	---	187.034	---	---	---	5.198	---	---	---	
08/02/2016	14:36:10	2664		6.6082	---	---	---	20	---	---	---	1018.04	54.195	---	---	---	23.174	---	---	---	187.024	---	---	---	5.227	---	---	---	
08/02/2016	14:36:11	2665		6.6037	---	---	---	20	---	---	---	1018.04	54.195	---	---	---	23.182	---	---	---	187.042	---	---	---	5.237	---	---	---	
08/02/2016	14:36:12	2666		6.6018	---	---	---	20	---	---	---	1018.01	54.195	---	---	---	23.185	---	---	---	187.044	---	---	---	5.221	---	---	---	
08/02/2016	14:36:13	2667		6.5975	---	---	---	20	---	---	---	1018.05	54.195	---	---	---	23.193	---	---	---	187.081	---	---	---	5.214	---	---	---	
08/02/2016	14:36:14	2668		6.5979	---	---	---	20	---	---	---	1018.04	54.185	---	---	---	23.192	---	---	---	187.131	---	---	---	5.204	---	---	---	
08/02/2016	14:36:15	2669		6.5972	---	---	---	20	---	---	---	1018.07	54.175	---	---	---	23.194	---	---	---	187.19	---	---	---	5.195	---	---	---	
08/02/2016	14:36:16	2670		6.598	---	---	---	20	---	---	---	1018.03	54.165	---	---	---	23.192	---	---	---	187.232	---	---	---	5.191	---	---	---	
08/02/2016	14:36:17	2671		6.5969	---	---	---	20	---	---	---	1018	54.165	---	---	---	23.194	---	---	---	187.239	---	---	---	5.182	---	---	---	
08/02/2016	14:36:18	2672		6.5963	---	---	---	20	---	---	---	1017.97	54.165	---	---	---	23.195	---	---	---	187.237	---	---	---	5.199	---	---	---	
08/02/2016	14:36:19	2673		6.5931	---	---	---	20	---	---	---	1017.99	54.165	---	---	---	23.201	---	---	---	187.257	---	---	---	5.215	---	---	---	
08/02/2016	14:36:20	2674		6.5894	---	---	---	20	---	---	---	1018.01	54.165	---	---	---	23.208	---	---	---	187.288	---	---	---	5.209	---	---	---	
08/02/2016	14:36:21	2675		6.5865	---	---	---	20	---	---	---	1018.01	54.165	---	---	---	23.213	---	---	---	187.314	---	---	---	5.201	---	---	---	
08/02/2016	14:36:22	2676		6.5867	---	---	---	20	---	---	---	1017.99	54.165	---	---	---	23.212	---	---	---	187.325	---	---	---	5.187	---	---	---	
08/02/2016	14:36:23	2677		6.5856	---	---	---	20	---	---	---	1018.01	54.165	---	---	---	23.214	---	---	---	187.34	---	---	---	5.207	---	---	---	
08/02/2016	14:36:24	2678		6.5847	---	---	---	20	---	---	---	1018.03	54.165	---	---	---	23.216	---	---	---	187.384	---	---	---	5.214	---	---	---	
08/02/2016	14:36:25	2679		6.5817	---	---	---	20	---	---	---	1018.03	54.165	---	---	---	23.221	---	---	---	187.403	---	---	---	5.222	---	---	---	
08/02/2016	14:36:26	2680		6.5795	---	---	---	20	---	---	---	1018.01	54.165	---	---	---	23.225	---	---	---	187.432	---	---	---	5.218	---	---	---	
08/02/2016	14:36:27	2681		6.577	---	---	---	20	---	---	---	1018.02	54.165	---	---	---	23.23	---	---	---	187.439	---	---	---	5.211	---	---	---	
08/02/2016	14:36:28	2682		6.5769	---	---	---	20	---	---	---	1018.01	54.165	---	---	---	23.23	---	---	---	187.483	---	---	---	5.208	---	---	---	
08/02/2016	14:36:29	2683		6.5739	---	---	---	20	---	---	---	1018	54.165	---	---	---	23.235	---	---	---	187.518	---	---	---	5.221	---	---	---	
08/02/2016	14:36:30	2684		6.5713	---	---	---	20	---	---	---	1018.02	54.165	---	---	---	23.24	---	---	---	187.55	---	---	---	5.22	---	---	---	
08/02/2016	14:36:31	2685		6.5672	---	---	---	20	---	---	---	1018.04	54.165	---	---	---	23.247	---	---	---	187.553	---	---	---	5.22	---	---	---	
08/02/2016	14:36:32	2686		6.5664	---	---	---	20	---	---	---	1018.07	54.165	---	---	---	23.249	---	---	---	187.56	---	---	---	5.191	---	---	---	
08/02/2016	14:36:33	2687		6.567	---	---	---	20	---	---	---	1018.09	54.165	---	---	---	23.248	---	---	---	187.593	---	---	---	5.187	---	---	---	
08/02/2016	14:36:34	2688		6.5706	---	---	---	20	---	---	---	1018.11	54.165	---	---	---	23.241	---	---	---	187.633	---	---	---	5.199	---	---	---	
08/02/2016	14:36:35	2689		6.5698	---	---	---	20	---	---	---	1018.12	54.165	---	---	---	23.243	---	---	---	187.688	---	---	---	5.199	---	---	---	
08/02/2016	14:36:36	2690		6.5659	---	---	---	20	---	---	---	1018.07	54.165	---	---	---	23.25	---	---	---	187.717	---	---	---	5.202	---	---	---	
08/02/2016	14:36:37	2691		6.5615	---	---	---	20	---	---	---	1018.07	54.165	---	---	---	23.258	---	---	---	187.765	---	---	---	5.182	---	---	---	
08/02/2016	14:36:38	2692		6.5609	---	---	---	20	---	---	---	1018.05	54.165	---	---	---	23.259	---	---	---	187.788	---	---	---	5.192	---	---	---	
08/02/2016	14:36:39	2693		6.5602	---	---	---	20	---	---	---	1018.07	54.165	---	---	---	23.26	---	---	---	187.81	---	---	---	5.219	---	---	---	
08/02/2016	14:36:40	2694		6.5577	---	---	---	20	---	---	---	1018.04	54.165	---	---	---	23.264	---	---	---	187.812	---	---	---	5.208	---	---	---	
08/02/2016	14:36:41	2695		6.5585	---	---	---	20	---	---	---	1018.06	54.165	---	---	---	23.263	---	---	---	187.838	---	---	---	5.199	---	---	---	
08/02/2016	14:36:42	2696		6.5561	---	---	---	20	---	---	---	1018.02	54.165	---	---	---	23.267	---	---	---	187.876	---	---	---	5.171	---	---	---	
08/02/2016	14:36:43	2697		6.5555	---	---	---	20	---	---	---	1018.04	54.165	---	---	---	23.268	---	---	---	187.922	---	---	---	5.182	---	---	---	
08/02/2016	14:36:44	2698		6.5516	---	---	---	20	---	---	---	1018.01	54.165	---	---	---	23.275	---	---	---	187.943	---	---	---	5.183	---	---	---	
08/02/2016	14:36:45	2699		6.5537	---	---	---	20	---	---	---	1018.04	54.165	---	---	---	23.272	---	---	---	187.958	---	---	---	5.186	---	---	---	
08/02/2016	14:36:46	2700		6.5511	---	---	---	20	---	---	---	1018.03	54.165	---	---	---	23.276	---	---	---	187.963	---	---	---	5.197	---	---	---	
08/02/2016	14:36:47	2701		6.5489	---	---	---	20	---	---	---	1018.06	54.165	---	---	---	23.28	---	---	---	187.981	---	---	---	5.189	---	---	---	
08/02/2016	14:36:48	2702		6.5449	---	---	---	20	---	---	---	1018.07	54.165	---	---	---	23.287	---	---	---	188.007	---	---	---	5.159	---	---	---	
08/02/2016	14:36:49	2703		6.5424	---	---	---	20	---	---	---	1018.09	54.165	---	---	---	23.292	---	---	---	188.046	---	---	---	5.155	---	---	---	
08/02/2016	14:36:50	2704		6.5407	---	---	---	20	---	---	---	1018.09	54.165	---	---	---	23.295	---	---	---	188.055	---	---	---	5.18	---	---	---	
08/02/2016	14:36:51	2705		6.5396	---	---	---	20	---	---	---	1018.09	54.165	---	---	---	23.297	---	---	---	188.078	---	---	---	5.201	---	---	---	
08/02/2016	14:36:52	2706		6.5413	---	---	---	20	---	---	---	1018.07	54.165	---	---	---	23.294	---	---	---	188.09	---	---	---	5.207	---	---	---	
08/02/2016	14:36:53	2707		6.5394	---	---	---	20	---	---	---	1018.1	54.165	---	---	---	23.297	---	---	---	188.134	---	---	---	5.184	---	---	---	
08/02/2016	14:36:54	2708		6.5383	---	---	---	20	---	---	---	1018.1	54.165	---	---	---	23.299	---	---	---	188.165	---	---	---	5.183	---	---	---	
08/02/2016	14:36:55	2709		6.5355	---	---	---	20	---	---	---	1018.12	54.165	---	---	---	23.304	---	---	---	188.195	---	---	---	5.183	---	---	---	
08/02/2016	14:36:56	2710		6.5318	---	---	---	20	---	---	---	1018.07	54.165	---	---	---	23.311	---	---	---	188.213	---	---	---	5.187	---	---	---	
08/02/2016	14:36:57	2711		6.5294	---	---	---	20	---	---	---	1018.05	54.165	---	---	---	23.315	---	---	---	188.224	---	---	---	5.198	---	---	---	
08/02/2016	14:36:58	2712		6.5302	---	---	---	20	---	---	---	1018.01	54.165	---	---	---	23.314	---	---	---	188.256	---	---	---	5.19	---	---	---	
08/02/2016	14:36:59	2713		6.5319	---	---	---	20	---	---	---	1017.99	54.165	---	---	---	23.311	---	---	---	188.289	---	---	---	5.197	---	---	---	
08/02/2016	14:37:00	2714		6.5304	---	---	---	20	---	---	---	1017.99	54.165	---	---	---	23.314	---	---	---	188.316	---	---	---	5.199	---	---	---	
08/02/2016	14:37:01	2715		6.5261	---	---	---	20	---	---	---	1017.95	54.165	---	---	---	23.321	---	---	---	188.33	---	---	---	5.199	---	---	---	
08/02/2016	14:37:02	2716		6.5248	---	---	---	20	---	---	---	1017.98	54.165	---	---	---	23.324	---	---	---	188.334	---	---	---	5.197	---	---	---	
08/02/2016	14:37:03	2717		6.5241	---	---	---	20	---	---	---	1017.99	54.165	---	---	---	23.325	---	---	---	188.368	---	---	---	5.187	---	---	---	
08/02/2016	14:37:04	2718		6.5204	---	---	---	20	---	---	---	1018.04	54.165	---	---	---	23.332	---	---	---	188.412	---	---	---	5.178	---	---	---	
08/02/2016	14:37:05	2719		6.5178	---	---	---	20	---	---	---	1018.03	54.165	---	---	---	23.336	---	---	---	188.482	---	---	---	5.185	---	---	---	
