"Census Profile, 2021 Census of Population",,,,,,,,,,,,
,,,"Nanaimo, City (CY) [Census subdivision], British Columbia",,"Oak Bay, District municipality (DM) [Census subdivision], British Columbia",,"Victoria, City (CY) [Census subdivision], British Columbia",,"Surrey, City (CY) [Census subdivision], British Columbia",,"Vancouver, City (CY) [Census subdivision], British Columbia",
This refers to the period in which the building was completed  not the time of any later remodeling  additions or conversions.,,,,,,,,,,,,
For properties having multiple residential structures  this refers to the period in which the most recent structure was completed.,,,,,,,,,,,,
,,,,,,,,,,,,
57,Includes data up to May 11  2021.,,,,,,,,,,,
,,,,,,,,,,,,
58,Dwelling condition refers to whether the dwelling is in need of repairs. This does not include desirable remodelling or additions.,,,,,,,,,,,
,,,,,,,,,,,,
59,Refers to whether or not a person residing in the household is responsible for paying the rent  or the mortgage  or the taxes  or the electricity or other services or utilities. Where a number of people may contribute to the payments  more than one person in the household may be identified as a household maintainer. If no person in the household is identified as making such payments  the reference person is identified by default.,,,,,,,,,,,
,,,,,,,,,,,,
60,Primary household maintainer - The first person in the household identified as someone who pays the rent  or the mortgage  or the taxes  or the electricity or other services or utilities for the dwelling. When more than one member of the household contributes to the payments  the first person listed is chosen as the primary household maintainer. If no person in the household is identified as making any such payments  the first person listed is selected by default.,,,,,,,,,,,
The order of the persons in a household is determined by the order in which they are listed on the questionnaire. Generally  an adult is listed first followed  if applicable  by their spouse or common-law partner and then by their children. The order does not necessarily correspond to the proportion of household payments made by each person.,,,,,,,,,,,,
,,,,,,,,,,,,
61,Shelter-cost-to-income ratio - Refers to the proportion of average total income of household which is spent on shelter costs.,,,,,,,,,,,
Shelter-cost-to-income ratio is calculated for private households  who reported a total household income greater than zero.,,,,,,,,,,,,
Private households located on an agricultural operation that is operated by a member of the household  and households who reported a zero or negative total household income are excluded.,,,,,,,,,,,,
The relatively high shelter-costs-to-household income ratios for some households may have resulted from the difference in the reference period for shelter costs and household total income data. The reference period for shelter cost data is 2021  while household total income is reported for the year 2020. As well  for some households  the 2020 household total income may represent income for only part of a year.,,,,,,,,,,,,
For more information on household total income or shelter costs  refer to the Census Dictionary: Total income and Shelter cost.,,,,,,,,,,,,
,,,,,,,,,,,,
62,Acceptable housing refers to whether a household meets each of the three indicator thresholds established by the Canada Mortgage and Housing Corporation for housing adequacy  suitability and affordability.Housing indicator thresholds are defined as follows:,,,,,,,,,,,
    *Adequate housing is reported by their residents as not requiring any major repairs.,,,,,,,,,,,,
,    *Affordable housing has shelter costs equal to less than 30% of total before-tax household income.,,,,,,,,,,,
,    *Suitable housing has enough bedrooms for the size and composition of resident households according to the National Occupancy Standard (NOS)  conceived by the Canada Mortgage and Housing Corporation and provincial and territorial representatives.,,,,,,,,,,,
,Acceptable housing identifies which thresholds the household falls below  if any. Housing that is adequate in condition  suitable in size and affordable is considered to be acceptable.,,,,,,,,,,,
Households below and above the thresholds are based on the indicators for which individual households can be assessed. Farm and on-reserve households whose housing does not meet either or both of the suitability and adequacy thresholds are counted in the total of households below the thresholds. Farm and on-reserve households who live in housing that meets both the suitability and adequacy thresholds are counted in the total of households above the thresholds (even though it is not possible to assess housing affordability for these households). Farm households and on-reserve households cannot be assessed for housing affordability because the concept is not applicable.,,,,,,,,,,,,
Housing affordability is assessed for owner and tenant households with household total income greater than zero in non-farm  non-reserve private dwellings.,,,,,,,,,,,,
,,,,,,,,,,,,
63,Core housing need refers to whether a private household's housing falls below at least one of the indicator thresholds for housing adequacy  affordability or suitability  and would have to spend 30% or more of its total before-tax income to pay the median rent of alternative local housing that is acceptable (attains all three housing indicator thresholds). Housing indicator thresholds are defined as follows: Adequate housing is reported by their residents as not requiring any major repairs. Affordable housing has shelter costs equal to less than 30% of total before-tax household income. Suitable housing has enough bedrooms for the size and composition of resident households according to the National Occupancy Standard (NOS)  conceived by the Canada Mortgage and Housing Corporation and provincial and territorial representatives. Only private  non-farm  non-reserve and owner- or renter-households with incomes greater than zero and shelter-cost-to-income ratios less than 100% are assessed for 'core housing need.' Non-family households with at least one maintainer aged 15 to 29 attending school are considered not to be in 'core housing need' regardless of their housing circumstances. Attending school is considered a transitional phase  and low incomes earned by student households are viewed as being a temporary condition.,,,,,,,,,,,
,,,,,,,,,,,,
64,Presence of mortgage payments refers to whether an owner household makes regular mortgage or loan payments for their dwelling.,,,,,,,,,,,
,,,,,,,,,,,,
65,Shelter cost refers to the average monthly total of all shelter expenses paid by households.,,,,,,,,,,,
Shelter costs for owner households include  where applicable  mortgage payments  property taxes and condominium fees  along with the costs of electricity  heat  water and other municipal services. For renter households  shelter costs include  where applicable  the rent and the costs of electricity  heat  water and other municipal services. For households living in a dwelling provided by the local government  First Nation or Indian band  shelter costs include  where applicable  the monthly use or occupancy payment and the costs of electricity  heat  water and other municipal services.,,,,,,,,,,,,
,,,,,,,,,,,,
66,Value (owner estimated) refers to the dollar amount expected by the owner if the asset were to be sold.,,,,,,,,,,,
In the context of dwelling  it refers to the value of the entire dwelling  including the value of the land it is on and of any other structure  such as a garage  which is on the property. If the dwelling is located in a building which contains several dwellings  or a combination of residential and business premises  all of which the household owns  the value is estimated as a portion of the market value that applies only to the dwelling in which the household resides.,,,,,,,,,,,,
,,,,,,,,,,,,
67,Subsidized housing refers to whether a renter household lives in a dwelling that is subsidized. Subsidized housing includes rent geared to income  social housing  public housing  government-assisted housing  non-profit housing  rent supplements and housing allowances.,,,,,,,,,,,
,,,,,,,,,,,,
163,Refers to the status of a person with regard to the place of residence on the reference day  May 11  2021  in relation to the place of residence on the same date one year earlier at the provincial level. Persons who have not moved are referred to as non-movers and persons who have moved from one residence to another are referred to as movers. Movers include non-migrants and migrants. Non-migrants are persons who did move but remained in the same city  town  township  village or Indian reserve. Migrants include internal migrants  who moved to a different city  town  township  village or Indian reserve within Canada. External migrants include persons who lived outside Canada at the earlier reference date.,,,,,,,,,,,
,,,,,,,,,,,,
164,Refers to the status of a person with regard to the place of residence on the reference day  May 11  2021  in relation to the place of residence on the same date five years earlier at the provincial level. Persons who have not moved are referred to as non-movers and persons who have moved from one residence to another are referred to as movers. Movers include non-migrants and migrants. Non-migrants are persons who did move but remained in the same city  town  township  village or Indian reserve. Migrants include internal migrants  who moved to a different city  town  township  village or Indian reserve within Canada. External migrants include persons who lived outside Canada at the earlier reference date.,,,,,,,,,,,
,,,,,,,,,,,,
184,Refers to whether a person aged 15 years and over was employed  unemployed or not in the labour force during the week of Sunday  May 2 to Saturday  May 8  2021.,,,,,,,,,,,
For information on the comparability of the 2021 Census labour force status data with those of the Labour Force Survey  see Appendix 2.11 of the Dictionary  Census of Population  2021.,,,,,,,,,,,,
,,,,,,,,,,,,
185,Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2020 at all jobs held  even if only for a few hours  and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week).,,,,,,,,,,,
,,,,,,,,,,,,
186,Includes persons aged 15 years and over who never worked  persons who worked prior to 2020 and persons who worked in 2021  but not in 2020.,,,,,,,,,,,
,,,,,,,,,,,,
187,Includes persons aged 15 years and over who worked full year (49 weeks and over) and mostly full time (30 hours or more per week) in 2020.,,,,,,,,,,,
,,,,,,,,,,,,
188,Includes persons aged 15 years and over who worked full year mostly part time or part year either mostly full time or mostly part time in 2020. Part year is less than 49 weeks and part time is less than 30 hours per week.,,,,,,,,,,,
,,,,,,,,,,,,
189,Class of worker including job permanency refers to whether a person is a paid employee or is self-employed. Employees' positions are further classified as either permanent or temporary.,,,,,,,,,,,
,,,,,,,,,,,,
190,Includes unemployed persons aged 15 years and over who have never worked for pay or in self-employment  or who had last worked prior to January 1  2020.,,,,,,,,,,,
,,,,,,,,,,,,
191,Includes persons aged 15 years and over in the labour force who have worked at some point in time between January 1  2020 and May 8  2021.,,,,,,,,,,,
,,,,,,,,,,,,
192,Includes self-employed persons aged 15 years and over with or without an incorporated business and with or without paid help  as well as unpaid family workers.,,,,,,,,,,,
,,,,,,,,,,,,
193,Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the National Occupational Classification [NOC] 2021 Version 1.0.,,,,,,,,,,,
,,,,,,,,,,,,
194,Refers to the general nature of the business carried out in the establishment where the person worked. The industry data are produced according to the North American Industry Classification System (NAICS) Canada 2017 Version 3.0.,,,,,,,,,,,
,,,,,,,,,,,,
198,Place of work status refers to whether a person worked at home  worked outside Canada  had no fixed workplace address  or worked at a specific address (usual place of work).,,,,,,,,,,,
,,,,,,,,,,,,
199,Commuting destination refers to whether or not a person commutes to another municipality (i.e.  census subdivision)  another census division or another province or territory. Commuting refers to the travel of a person to their usual place of work.,,,,,,,,,,,
,,,,,,,,,,,,
200,Main mode of commuting refers to the main mode of transportation a person uses to travel to their place of work.,,,,,,,,,,,
The census assumes that the commute to work originates from the usual place of residence  but this may not always be the case. Sometimes  respondents may be on a business trip and may have reported their place of work or main mode of commuting based on where they were working during the trip. Some persons maintain a residence close to work and commute to their home on weekends. Students often work after school at a location near their school. As a result  the data may show unusual commutes or unusual main modes of commuting.,,,,,,,,,,,,
,,,,,,,,,,,,
201,Commuting duration refers to the length of time  in minutes  usually required by a person to travel to their place of work.,,,,,,,,,,,
,,,,,,,,,,,,
202,Time leaving for work refers to the time of day at which a person usually leaves to go to their place of work.,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data quality:,,,,,,,,,,,,
"Nanaimo, City (CY)",,,,,,,,,,,,
"Total non-response (TNR) rate, short-form census questionnaire: 2.7%",,,,,,,,,,,,
"Total non-response (TNR) rate, long-form census questionnaire: 3.9%",,,,,,,,,,,,
,,,,,,,,,,,,
"Oak Bay, District municipality (DM)",,,,,,,,,,,,
"Total non-response (TNR) rate, short-form census questionnaire: 1.7%",,,,,,,,,,,,
"Total non-response (TNR) rate, long-form census questionnaire: 2.4%",,,,,,,,,,,,
,,,,,,,,,,,,
"Victoria, City (CY)",,,,,,,,,,,,
"Total non-response (TNR) rate, short-form census questionnaire: 4.0%",,,,,,,,,,,,
"Total non-response (TNR) rate, long-form census questionnaire: 5.3%",,,,,,,,,,,,
,,,,,,,,,,,,
"Surrey, City (CY)",,,,,,,,,,,,
"Total non-response (TNR) rate, short-form census questionnaire: 2.7%",,,,,,,,,,,,
"Total non-response (TNR) rate, long-form census questionnaire: 4.1%",,,,,,,,,,,,
,,,,,,,,,,,,
"Vancouver, City (CY)",,,,,,,,,,,,
"Total non-response (TNR) rate, short-form census questionnaire: 3.8%",,,,,,,,,,,,
"Total non-response (TNR) rate, long-form census questionnaire: 4.8%",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Source: Statistics Canada, 2021 Census of Population.",,,,,,,,,,,,
,,,,,,,,,,,,
How to cite: Statistics Canada. 2022. Census Profile. 2021 Census.,,,,,,,,,,,,
Statistics Canada Catalogue no. 98-316-X2021001. Ottawa. Released December 15  2022.,,,,,,,,,,,,
https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/index.cfm?Lang=E,,,,,,,,,,,,
