especie,accepted_species,anexo,categoria,nombre_comun,accepted_name_author
Gongora portentosa,Gongora portentosa,II,VULNERABLE (VU),NA,Rchb. f.
Gongora pseudoatropurpurea,Gongora atropurpurea,II,VULNERABLE (VU),NA,Hook.
Gongora quinquinervis,Gongora quinquenervis,II,VULNERABLE (VU),NA,Ruiz & Pav.
Gongora rufescens,Gongora rufescens,II,VULNERABLE (VU),NA,Jenny
Gongora sanderiana,Gongora sanderiana,II,VULNERABLE (VU),Chocolate,Kraenzl.
Hexisea bidentata,Scaphyglottis bidentata,II,VULNERABLE (VU),NA,(Lindl.) Dressler
Homalopetalum pumilio,Homalopetalum pumilio,II,VULNERABLE (VU),NA,(Rchb. f.) Schltr.
Houlletia sanderi,Houlletia sanderi,II,VULNERABLE (VU),NA,Rolfe
Houlletia wallisii,Houlletia wallisii,II,VULNERABLE (VU),NA,Linden & Rchb. f.
Huntleya vargasii,Huntleya vargasii,II,VULNERABLE (VU),NA,Dodson & D.E. Benn.
Kefersteinia mystacina,Kefersteinia mystacina,II,VULNERABLE (VU),Palomitas,Rchb. f.
Kefersteinia sanguinolenta,Kefersteinia sanguinolenta,II,VULNERABLE (VU),Palomitas,Rchb. f.
Kefersteinia villenae,Kefersteinia villenae,II,VULNERABLE (VU),Palomitas,D.E. Benn. & Christenson
Lepanthes caprimulgus,Lepanthes caprimulgus,II,VULNERABLE (VU),NA,Luer
Lepanthes cordeliae,Lepanthes cordeliae,II,VULNERABLE (VU),NA,Luer
Lepanthes dalessandroi,Lepanthes dalessandroi,II,VULNERABLE (VU),NA,Luer
Lycaste ciliata,Lycaste ciliata,II,VULNERABLE (VU),Lengüitas,(Ruiz & Pav.) Lindl. ex Rchb. f.
Lycaste denningiana,Lycaste denningiana,II,VULNERABLE (VU),Lengüitas,Rchb. f.
Lycaste dyeriana,Lycaste dyeriana,II,VULNERABLE (VU),Lengüitas,Sander ex Rolfe
Lycaste fimbriata,Lycaste ciliata,II,VULNERABLE (VU),Lengüitas,(Ruiz & Pav.) Lindl. ex Rchb. f.
Lycaste gigantea,Lycaste gigantea,II,VULNERABLE (VU),NA,Lindl.
Lycaste jarae,Ida fulvescens,II,VULNERABLE (VU),NA,(D.E. Benn. & Christenson) D.E. Benn. & Oakeley
Lycaste locusta,Lycaste locusta,II,VULNERABLE (VU),Lengüitas,Rchb. f.
Lycaste longipetala,Lycaste longipetala,II,VULNERABLE (VU),NA,(Ruiz & Pav.) Garay
Lycaste longiscapa,Lycaste longiscapa,II,VULNERABLE (VU),Lengüitas,Mast.
Lycaste macrophylla,Lycaste macrophylla,II,VULNERABLE (VU),Lengüitas,(Poepp. & Endl.) Lindl.
Lycaste mathiasiae,Lycaste mathiasiae,II,VULNERABLE (VU),NA,G.C. Kenn.
Lycaste mezae,Lycaste mezae,II,VULNERABLE (VU),Lengüitas,D.E. Benn. & Oakeley
Lycaste reichenbachii,Lycaste reichenbachii,II,VULNERABLE (VU),Lengüitas,Gireoud ex Rchb. f.
Lycomormium elatum,Lycomormium elatum,II,VULNERABLE (VU),NA,C. Schweinf.
Lycomormium squalidum,Lycomormium squalidum,II,VULNERABLE (VU),NA,(Poepp. & Endl.) Rchb. f.
Masdevallia amabilis,Masdevallia amabilis,II,VULNERABLE (VU),NA,Rchb. f. & Warsz.
Masdevallia amaluzae,Masdevallia amaluzae,II,VULNERABLE (VU),NA,Luer & Malo
Masdevallia andreettaeana,Masdevallia andreettaeana,II,VULNERABLE (VU),NA,Luer
Masdevallia ariasii,Masdevallia ariasii,II,VULNERABLE (VU),Copitas,Luer
Masdevallia atahualpa,Masdevallia atahualpa,II,VULNERABLE (VU),NA,Luer
Masdevallia auropurpurea,Alaticaulia bicolor,II,VULNERABLE (VU),NA,(Poepp. & Endl.) Luer
Masdevallia barlaeana,Masdevallia barlaeana,II,VULNERABLE (VU),NA,Rchb. f.
Masdevallia cranion,Masdevallia cranion,II,VULNERABLE (VU),NA,Luer
Masdevallia davisii,Masdevallia davisii,II,VULNERABLE (VU),NA,Rchb. f.
Masdevallia eumeliae,Masdevallia eumeliae,II,VULNERABLE (VU),NA,Luer
Masdevallia grandiflora,Masdevallia grandiflora,II,VULNERABLE (VU),NA,C. Schweinf.
Masdevallia harlequina,Masdevallia harlequina,II,VULNERABLE (VU),NA,Luer
Masdevallia icterina,Masdevallia icterina,II,VULNERABLE (VU),NA,Königer
Masdevallia instar,Masdevallia instar,II,VULNERABLE (VU),NA,Luer & Andreetta
Masdevallia maculata,Masdevallia maculata,II,VULNERABLE (VU),NA,Klotzsch & H. Karst.
Masdevallia manchinazae,Masdevallia manchinazae,II,VULNERABLE (VU),NA,Luer & Andreetta
Masdevallia marizae,Masdevallia marizae,II,VULNERABLE (VU),NA,Luer & Rolando
Masdevallia mezae,Masdevallia mezae,II,VULNERABLE (VU),Copitas,Luer
Masdevallia murex,Masdevallia murex,II,VULNERABLE (VU),NA,Luer
Masdevallia rodolfoi,Masdevallia rodolfoi,II,VULNERABLE (VU),NA,(Braas) Luer
Masdevallia schroederiana,Masdevallia schroederiana,II,VULNERABLE (VU),NA,H.J.Veitch
Masdevallia setacea,Masdevallia setacea,II,VULNERABLE (VU),NA,Luer & Malo
Masdevallia strobelii,Masdevallia strobelii,II,VULNERABLE (VU),NA,H.R. Sweet & Garay
Masdevallia stumpflei,Masdevallia stumpflei,II,VULNERABLE (VU),NA,Braas
Masdevallia veitchiana,Masdevallia veitchiana,II,VULNERABLE (VU),Waqanqui,Rchb. f.
Masdevallia weberbaueri,Masdevallia weberbaueri,II,VULNERABLE (VU),Copitas,Schltr.
Masdevallia welischii,Masdevallia welischii,II,VULNERABLE (VU),NA,Luer
Masdevallia wurdackii,Masdevallia wurdackii,II,VULNERABLE (VU),Copitas,C. Schweinf.
Masdevallia xanthina,Masdevallia xanthina,II,VULNERABLE (VU),NA,Rchb. f.
Maxillaria callichroma,Maxillaria callichroma,II,VULNERABLE (VU),Estrellas,Rchb. f.
Maxillaria desvauxiana,Maxillaria desvauxiana,II,VULNERABLE (VU),Estrellas,Rchb. f.
Maxillaria dillonii,Maxillaria dillonii,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Maxillaria fletcheriana,Maxillaria fletcheriana,II,VULNERABLE (VU),NA,Rolfe
Maxillaria haemathodes,Maxillaria haemathodes,II,VULNERABLE (VU),NA,(Ruiz & Pav.) Garay
Maxillaria lepidota,Maxillaria lepidota,II,VULNERABLE (VU),Estrellas,Lindl.
Maxillaria pyhalae,Maxillaria pyhalae,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Maxillaria rotumdilabia,Maxillaria rotundilabia,II,VULNERABLE (VU),NA,C. Schweinf.
Maxillaria sanderiana,Maxillaria sanderiana,II,VULNERABLE (VU),Estrellas,Rchb. f. ex Sander
Maxillaria scandens,Maxillaria scandens,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Maxillaria setigera,Maxillaria setigera,II,VULNERABLE (VU),Estrellas,Lindl.
Maxillaria tuerosii,Maxillaria tuerosii,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Miltoniopsis bismarkii,Miltoniopsis bismarkii,II,VULNERABLE (VU),Angelitos,Dodson & D.E. Benn.
Mormodes revolutum,Mormodes revoluta,II,VULNERABLE (VU),Arañas,Rolfe
Mormodes rolfeanum,Mormodes rolfeana,II,VULNERABLE (VU),Arañas,Linden
Mormodes warszewiczii,Mormodes warszewiczii,II,VULNERABLE (VU),Arañas,Klotzsch
Odontoglossum cristatum,Odontoglossum cristatum,II,VULNERABLE (VU),NA,Lindl.
Odontoglossum digitatum,Odontoglossum digitatum,II,VULNERABLE (VU),NA,C. Schweinf.
Odontoglossum machupicchuense,Odontoglossum machupicchuense,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Odontoglossum praestans,Oncidium praestanoides,II,VULNERABLE (VU),Angelitos,M.W. Chase & N.H. Williams
Odontoglossum ringens,Cyrtochilum ringens,II,VULNERABLE (VU),NA,(Rchb. f.) DalstrÃ¶m
Odontoglossum tetraplasium,Cyrtochilum tetraplasium,II,VULNERABLE (VU),NA,(Rchb. f.) DalstrÃ¶m
Odontoglossum wyattianum,Odontoglossum wyattianum,II,VULNERABLE (VU),Angelitos,A.G. Wilson
Oncidium excavatum,Oncidium excavatum,II,VULNERABLE (VU),NA,Lindl.
Oncidium fuscatum,Oncidium fuscatum,II,VULNERABLE (VU),Angelitos,Rchb. f.
Oncidium ionodon,Cyrtochilum falcipetalum,II,VULNERABLE (VU),NA,(Lindl.) Kraenzl.
Oncidium macranthum,Oncidium macranthum,II,VULNERABLE (VU),Angelitos,Lindl.
Oncidium nanum,Lophiaris nana,II,VULNERABLE (VU),Orejas de burro,(Lindl.) Braem
Oncidium serratum,Oncidium serratum,II,VULNERABLE (VU),NA,Lindl.
Oncidium sprucei,Cohniella sprucei,II,VULNERABLE (VU),Angelitos,(Lindl.) KÃ¶niger & Pongratz
Oncidium stacyi,Cohniella stacyi,II,VULNERABLE (VU),NA,(Garay) Christenson
Oncidium trilobum,Oncidium trilobum,II,VULNERABLE (VU),NA,(Schltr.) Garay & Stacy
Otoglossum brevifolium,Otoglossum brevifolium,II,VULNERABLE (VU),NA,(Lindl.) Garay & Dunst.
Otoglossum weberbauerianum,Otoglossum weberbauerianum,II,VULNERABLE (VU),NA,(Kraenzl.) Garay & Dunst.
Paphinia cristata,Paphinia cristata,II,VULNERABLE (VU),NA,(Lindl.) Lindl.
Paphinia neudeckeri,Paphinia neudeckeri,II,VULNERABLE (VU),NA,Jenny
Peristeria guttata,Peristeria guttata,II,VULNERABLE (VU),NA,Knowles & Westc.
Pleurothallis pristis,Stelis dialissa,II,VULNERABLE (VU),NA,Rchb. f.
Ponthieva mandonii,Ponthieva mandonii,II,VULNERABLE (VU),NA,Rchb. f.
Prosthechea fusca,Prosthechea fusca,II,VULNERABLE (VU),NA,(Schltr.) D.E. Benn. & Christenson
Restrepia maculata,Restrepia contorta,II,VULNERABLE (VU),NA,(Ruiz & Pav.) Luer
Rodriguezia batemanii,Rodriguezia batemanii,II,VULNERABLE (VU),Madrigueras,Poepp. & Endl.
Rodriguezia bockii,Rodriguezia bockii,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Rodriguezia caloplectron,Rodriguezia caloplectron,II,VULNERABLE (VU),NA,Rchb. f.
Rodriguezia delcastilloi,Rodriguezia delcastilloi,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Rodriguezia satipoana,Rodriguezia satipoana,II,VULNERABLE (VU),NA,Dodson & D.E. Benn.
Sobralia virginalis,Sobralia virginalis,II,VULNERABLE (VU),NA,Peeters & Cogn.
Stanhopea anfracta,Stanhopea anfracta,II,VULNERABLE (VU),NA,Rolfe
Stanhopea candida,Stanhopea candida,II,VULNERABLE (VU),Torosisa,Barb. Rodr.
Stanhopea deltoidea,Stanhopea deltoidea,II,VULNERABLE (VU),NA,Lem.
Stanhopea florida,Stanhopea florida,II,VULNERABLE (VU),NA,Rchb. f.
Stanhopea jenishiana,Stanhopea jenischiana,II,VULNERABLE (VU),NA,Kramer ex Rchb. f.
Stanhopea nigripes,Stanhopea nigripes,II,VULNERABLE (VU),Torosisa,Rolfe
Stanhopea peruviana,Stanhopea peruviana,II,VULNERABLE (VU),NA,Rolfe
Stanhopea wardii,Stanhopea wardii,II,VULNERABLE (VU),NA,Lodd. ex Lindl.
Stenia calceolaris,Stenia calceolaris,II,VULNERABLE (VU),NA,(Garay) Dodson & D.E. Benn.
Stenia guttata,Stenia guttata,II,VULNERABLE (VU),NA,Rchb. f.
Stenia lillianae,Stenia lillianae,II,VULNERABLE (VU),NA,Jenny ex D.E. Benn. & Christenson
Telipogon collantesii,Telipogon collantesii,II,VULNERABLE (VU),NA,D.E. Benn. & Christenson
Telipogon papilio,Telipogon papilio,II,VULNERABLE (VU),NA,Rchb. f. & Warsz.
Telipogon tesselatus,Telipogon tesselatus,II,VULNERABLE (VU),NA,Lindl.
Trichocentrum pulchrum,Trichocentrum pulchrum,II,VULNERABLE (VU),Lengüitas,Poepp. & Endl.
Trichocentrum tigrinum,Trichocentrum tigrinum,II,VULNERABLE (VU),Lengüitas,Linden & Rchb. f.
Trichoceros platyceros,Trichoceros platyceros,II,VULNERABLE (VU),Abejita,Rchb. f.
Trichopilia fragans,Trichopilia fragrans,II,VULNERABLE (VU),Jaboncillo,(Lindl.) Rchb. f.
Trichopilia gracilis,Trichopilia gracilis,II,VULNERABLE (VU),NA,C. Schweinf.
Trichopilia juninense,Trichopilia juninensis,II,VULNERABLE (VU),Jaboncillo,C. Schweinf.
Zygopetalum intermedium,Zygopetalum intermedium,II,VULNERABLE (VU),NA,Lodd. ex Lindl.
Zygopetalum labiosum,Zygosepalum labiosum,II,VULNERABLE (VU),NA,(Rich.) Garay
Bletia mandonii,Bletia mandonii,II,CASI AMENAZADO (NT),NA,Schltr.
Brassia koehlerorum,Brassia koehlerorum,II,CASI AMENAZADO (NT),NA,Schltr.
Brassia thyrsodes,Brassia thyrsodes,II,CASI AMENAZADO (NT),NA,Rchb. f.
Bulbophyllum meridense,Bulbophyllum meridense,II,CASI AMENAZADO (NT),NA,Rchb. f.
Catasetum tuberculatum,Catasetum tuberculatum,II,CASI AMENAZADO (NT),NA,Dodson
Chaubardia surinamensis,Chaubardia surinamensis,II,CASI AMENAZADO (NT),NA,Rchb. f.
Cycnoches quatuorcristis,Cycnoches quatuorcristis,II,CASI AMENAZADO (NT),NA,D.E. Benn.
Cyrtopodium cristatum,Cyrtopodium cristatum,II,CASI AMENAZADO (NT),NA,Lindl.
Draconanthes aberrans,Draconanthes aberrans,II,CASI AMENAZADO (NT),NA,(Schltr.) Luer
Dryadella simula,Dryadella simula,II,CASI AMENAZADO (NT),NA,(Rchb. f.) Luer
Encyclia randii,Encyclia randii,II,CASI AMENAZADO (NT),NA,(Barb. Rodr.) Porto & Brade
Epidendrum ciliare,Epidendrum ciliare,II,CASI AMENAZADO (NT),Sachagolondrina,L.
Galeandra stangeana,Galeandra stangeana,II,CASI AMENAZADO (NT),NA,Rchb. f.
Gongora gracilis,Gongora gracilis,II,CASI AMENAZADO (NT),NA,Jenny
Gongora nigropunctata,Gongora atropurpurea,II,CASI AMENAZADO (NT),NA,Hook.
Gongora scaphephorus,Gongora scaphephorus,II,CASI AMENAZADO (NT),Avispa,Rchb. f. & Warsz.
Habenaria sartor,Habenaria sartor,II,CASI AMENAZADO (NT),NA,Lindl.
Helcia sanguinolenta,Helcia sanguinolenta,II,CASI AMENAZADO (NT),NA,Lindl.
Hexisea imbricata,Scaphyglottis imbricata,II,CASI AMENAZADO (NT),NA,(Lindl.) Dressler
Kefersteinia pusilla,Kefersteinia pusilla,II,CASI AMENAZADO (NT),NA,(C. Schweinf.) C. Schweinf.
Lepanthes minutipetala,Lepanthes minutipetala,II,CASI AMENAZADO (NT),NA,C. Schweinf.
Masdevallia agaster,Masdevallia agaster,II,CASI AMENAZADO (NT),NA,Luer
Myrosmodes nubigenum,Myrosmodes nubigenum,II,CASI AMENAZADO (NT),NA,Rchb. f.
Phragmipedium boissierianum,Phragmipedium boissierianum,II,CASI AMENAZADO (NT),Zapatito del rey,(Rchb. f.) Rolfe
Phragmipedium caricinum,Phragmipedium caricinum,II,CASI AMENAZADO (NT),Zapatito del niño,(Lindl. & Paxton) Rolfe
Phragmipedium pearcei,Phragmipedium pearcei,II,CASI AMENAZADO (NT),Zapatito del bebé,(Rchb. f.) Rauh & Senghas
Phragmipedium reticulatum,Phragmipedium reticulatum,II,CASI AMENAZADO (NT),NA,(Rchb. f.) Garay
Rudolfiella saxicola,Rudolfiella floribunda,II,CASI AMENAZADO (NT),NA,(Schltr.) Hoehne
Sobralia weberbaueriana,Sobralia weberbaueriana,II,CASI AMENAZADO (NT),NA,Kraenzl.
Telipogon vargasii,Telipogon bowmanii,II,CASI AMENAZADO (NT),NA,Rchb. f.
Cleistocactus clavispinus,Cleistocactus clavispinus,II,EN PELIGRO CRITICO (CR),NA,(Rauh & Backeb.) Ostolaza
Cleistocactus hystrix,Cleistocactus hystrix,II,EN PELIGRO CRITICO (CR),NA,(Rauh & Backeb.) Ostolaza
Cleistocactus xylorhizus,Cleistocactus xylorhizus,II,EN PELIGRO CRITICO (CR),NA,(F. Ritter) Ostolaza
Corryocactus megarhizus,Corryocactus megarhizus,II,EN PELIGRO CRITICO (CR),NA,F. Ritter
Haageocereus acranthus,Haageocereus acranthus,II,EN PELIGRO CRITICO (CR),NA,(Backeb.) Ostolaza
Haageocereus acranthus,Haageocereus acranthus,II,EN PELIGRO CRITICO (CR),NA,(Backeb.) Ostolaza
Haageocereus acranthus,Haageocereus acranthus,II,EN PELIGRO CRITICO (CR),NA,(Backeb.) Ostolaza
Haageocereus pacalaensis,Haageocereus pacalaensis,II,EN PELIGRO CRITICO (CR),NA,(Rauh & Backeb.) Ostolaza
Haageocereus pseudomelanostele,Haageocereus multangularis,II,EN PELIGRO CRITICO (CR),NA,(Haw.) F. Ritter
Haageocereus pseudomelanostele,Haageocereus multangularis,II,EN PELIGRO CRITICO (CR),NA,(Haw.) F. Ritter
Haageocereus tenuis,Haageocereus tenuis,II,EN PELIGRO CRITICO (CR),NA,F. Ritter
Cleistocactus acanthurus,Cleistocactus acanthurus,II,EN PELIGRO (EN),NA,NA
Cleistocactus acanthurus,Cleistocactus acanthurus,II,EN PELIGRO (EN),NA,(Backeb.) Ostolaza
Cleistocactus acanthurus,Cleistocactus acanthurus,II,EN PELIGRO (EN),NA,(Rauh & Backeb.) Ostolaza
Cleistocactus peculiaris,Loxanthocereus peculiaris,II,EN PELIGRO (EN),NA,Rauh & Backeb.
Haageocereus pseudomelanostele,Haageocereus pseudomelanostele,II,EN PELIGRO (EN),NA,(Rauh & Backeb.) Ostolaza
Haageocereus pseudomelanostele,Haageocereus pseudomelanostele,II,EN PELIGRO (EN),NA,NA
Haageocereus pseudomelanostele,Haageocereus pseudomelanostele,II,EN PELIGRO (EN),NA,(Rauh & Backeb.) Ostolaza
Mila caespitosa,Mila caespitosa,II,EN PELIGRO (EN),NA,Britton & Rose
Mila caespitosa,Mila caespitosa,II,EN PELIGRO (EN),NA,Britton & Rose
Mila nealeana,Mila nealeana,II,EN PELIGRO (EN),NA,Backeb.
Opuntia pubescens,Opuntia pubescens,II,EN PELIGRO (EN),NA,H.L. Wendl. ex Pfeiff.
Browningia candelaris,Browningia candelaris,II,VULNERABLE (VU),"Chullachaqui, chunay",(Meyen) Britton & Rose
Cleistocactus pachycladus,Cleistocactus pachycladus,II,VULNERABLE (VU),NA,(Rauh & Backeb.) Ostolaza
Corryocactus brevistylus,Corryocactus brevistylus,II,VULNERABLE (VU),"Sanqui, sanque, tuno",(Rauh & Backeb.) Ostolaza
Cumulopuntia sphaericus,Cumulopuntia sphaerica,II,VULNERABLE (VU),NA,(Foerster) E.F. Anderson
Echinopsis backebergii,Echinopsis backebergii,II,VULNERABLE (VU),NA,Werderm.
Echinopsis cuzcoensis,Echinopsis cuzcoensis,II,VULNERABLE (VU),NA,(Britton & Rose) Friedrich & G.D. Rowley
Echinopsis maximilliana,Echinopsis maximiliana,II,VULNERABLE (VU),NA,Heyder ex A.Dietr.
Echinopsis peruviana,Trichocereus macrogonus,II,VULNERABLE (VU),Sanqui,(Salm-Dyck) Riccob.
Eriosyce omasensis,Eriosyce omasensis,II,VULNERABLE (VU),NA,(Ostolaza & Mischler) Ostolaza
Haageocereus acranthus,Haageocereus acranthus,II,VULNERABLE (VU),NA,NA
Haageocereus acranthus,Haageocereus acranthus,II,VULNERABLE (VU),NA,(Backeb.) Ostolaza
Haageocereus pseudomelanostele,Haageocereus pseudomelanostele,II,VULNERABLE (VU),NA,(Rauh & Backeb.) Ostolaza
Matucana haynei,Matucana haynei,II,VULNERABLE (VU),NA,(Otto ex Salm-Dyck) Britton & Rose
Melocactus peruvianus,Melocactus peruvianus,II,VULNERABLE (VU),NA,Vaupel
Oreocereus hendriksenianus,Oreocereus leucotrichus,II,VULNERABLE (VU),NA,(Phil.) Wagenkn.
Weberbauerocereus rauhii,Weberbauerocereus rauhii,II,VULNERABLE (VU),Chuillo,Backeb.
Armatocereus matucanensis,Armatocereus matucanensis,II,CASI AMENAZADO (NT),Jacano,Backeb.
Espostoa melanostele,Espostoa melanostele,II,CASI AMENAZADO (NT),NA,(Vaupel) Borg
Lourtella resinosa,Lourtella resinosa,I,EN PELIGRO CRITICO (CR),NA,"S.A. Graham, Baas & Tobe"
Poensia acuminata,Poensia acuminata,I,EN PELIGRO CRITICO (CR),NA,NA
Gossypium raimondii,Gossypium raimondii,I,EN PELIGRO CRITICO (CR),Algodón silvestre,Ulbr.
Iochroma stenanthum,Iochroma stenanthum,I,EN PELIGRO CRITICO (CR),NA,"S. Leiva, Quip. & N.W. Sawyer"
Jaltomata aypatensis,Jaltomata aypatensis,I,EN PELIGRO CRITICO (CR),Frutilla,"S. Leiva, Mione & Quip."
Jaltomata cuyasensis,Jaltomata cuyasensis,I,EN PELIGRO CRITICO (CR),"Frutilla, uvilla, mortiño blanco","S. Leiva, Quip. & N.W. Sawyer"
Larnax dilloniana,Deprea dilloniana,I,EN PELIGRO CRITICO (CR),NA,"(S. Leiva, Quip. & N.W. Sawyer) Barboza"
Larnax sagastegui,Larnax sagasteguii,I,EN PELIGRO CRITICO (CR),NA,"S. Leiva, Quip. & N.W. Sawyer"
Solanum tarapotense,Solanum suaveolens,I,EN PELIGRO CRITICO (CR),NA,Kunth & C.D.Bouché
Chrysophyllum contumacense,Chrysophyllum contumacense,I,EN PELIGRO (EN),NA,SagÃ¡st. & M.O. Dillon
Dictyocaryum ptariense,Dictyocaryum ptariense,I,VULNERABLE (VU),Pona colorada,NA
Euterpe luminosa,Euterpe luminosa,I,VULNERABLE (VU),"Palma palanca, guayaquil","A.J. Hend., Galeano & E. Meza"
Verbesina ancashensis,Verbesina ancashensis,I,VULNERABLE (VU),NA,SagÃ¡st. & Quip.
Verbesina crassicephala,Verbesina crassicephala,I,VULNERABLE (VU),Pukanilla,SagÃ¡st. & Quip.
Verbesina leivae,Verbesina leivae,I,VULNERABLE (VU),NA,SagÃ¡st. & Quip.
Verbesina lopez-mirandae,Verbesina lopez-mirandae,I,VULNERABLE (VU),Quilmor,SagÃ¡st.
Verbesina perlanata,Verbesina perlanata,I,VULNERABLE (VU),NA,SagÃ¡st. & Quip.
Cybistax antisyphilitica,Cybistax antisyphilitica,I,VULNERABLE (VU),"Llangua, llangue, achichua-achihua",(Mart.) Mart.
Caraipa utilis,Caraipa utilis,I,VULNERABLE (VU),Aceite caspi negro,VÃ¡squez
Haploclathra cordata,Haploclathra cordata,I,VULNERABLE (VU),NA,R.Vásquez
Jatropha macrantha,Jatropha macrantha,I,VULNERABLE (VU),"Barbasco, huanarpo de canta, huanarpo macho",Müll.Arg.
Amburana cearensis,Amburana cearensis,I,VULNERABLE (VU),"Ishpingo, cumaro de cheiro",(Allemao) A.C.Sm.
Kosteletzkya depressa,Kosteletzkya depressa,I,VULNERABLE (VU),NA,"(L.) O.J. Blanch., Fryxell & D.M. Bates"
Peltaea riedelii,Peltaea riedelii,I,VULNERABLE (VU),NA,(Gürke) Standl.
Uniola peruviana,Uniola peruviana,I,VULNERABLE (VU),NA,Laegaard & Sánchez Vega
Capsicum tovarii,Capsicum tovarii,I,VULNERABLE (VU),Mucuru-uchu,"Eshbaugh, P.G. Sm. & Nickrent"
Jaltomata biflora,Jaltomata biflora,I,VULNERABLE (VU),NA,(Ruiz & Pav.) Benítez
Lycopersicon chmielewskii,Lycopersicon chmielewskii,I,VULNERABLE (VU),NA,"C.M. Rick, Kesicki, Fobes & M. Holle"
Lycopersicon parviflorum,Lycopersicon parviflorum,I,VULNERABLE (VU),NA,"C.M. Rick, Kesicki, Fobes & M. Holle"
Astrocaryum carnosum,Astrocaryum carnosum,I,CASI AMENAZADO (NT),Huicungo,F. Kahn & B. MillÃ¡n
Cycnoches peruviana,Cycnoches peruviana,II,EN PELIGRO CRITICO (CR),Alacranes,NA
Ligeophila spp.,Ligeophila spp.,II,EN PELIGRO CRITICO (CR),NA,Garay
Masdevallia audax,Masdevallia audax,II,EN PELIGRO CRITICO (CR),NA,Königer
Masdevallia cardiantha,Masdevallia cardiantha,II,EN PELIGRO CRITICO (CR),NA,Königer
Masdevallia lineolata,Masdevallia lineolata,II,EN PELIGRO CRITICO (CR),NA,Königer
Masdevallia lucernula,Masdevallia lucernula,II,EN PELIGRO CRITICO (CR),NA,Königer
Masdevallia popowiana,Masdevallia popowiana,II,EN PELIGRO CRITICO (CR),NA,KÃ¶niger & J.G. Weinm.
Masdevallia prosartema,Masdevallia prosartema,II,EN PELIGRO CRITICO (CR),NA,Königer
Masdevallia scitula,Masdevallia scitula,II,EN PELIGRO CRITICO (CR),NA,Königer
Masdevallia selenites,Masdevallia selenites,II,EN PELIGRO CRITICO (CR),NA,Königer
Masdevallia spilantha,Masdevallia spilantha,II,EN PELIGRO CRITICO (CR),NA,Königer
Phragmipedium kovachii,Phragmipedium kovachii,II,EN PELIGRO CRITICO (CR),NA,"J.T.Atwood, Dalström & Ric.Fernández"
Psychopsis sanderae,Psychopsis sanderae,II,EN PELIGRO CRITICO (CR),Mariposa,(Rolfe) Lückel & Braem
Telipogon atropurpurea,Telipogon atropurpurea,II,EN PELIGRO CRITICO (CR),NA,D.E.Benn. & Ric.Fernández
Telipogon campoverdei,Telipogon campoverdei,II,EN PELIGRO CRITICO (CR),NA,D.E. Benn. & Ric. FernÃ¡ndez
Masdevallia concinna,Masdevallia concinna,II,EN PELIGRO (EN),NA,Königer
Masdevallia glandulosa,Masdevallia glandulosa,II,EN PELIGRO (EN),NA,Königer
Masdevallia lamprotyria,Masdevallia lamprotyria,II,EN PELIGRO (EN),NA,Königer
Masdevallia lintricula,Masdevallia lintricula,II,EN PELIGRO (EN),NA,Königer
Ada euodes,Ada euodes,II,VULNERABLE (VU),NA,(Rchb. f.) D.E. Benn. & Christenson
Anguloa virginalis,Anguloa virginalis,II,VULNERABLE (VU),Tulipan,Linden ex B.S. William
Cattleya mooreana,Cattleya mooreana,II,VULNERABLE (VU),Golondrinilla,"Withner, Allison & Guenard"
Epidendrum melanoporphyreum,Epidendrum melanoporphyreum,II,VULNERABLE (VU),NA,HÃ¡gsater
Epidendrum pardothyrsus,Epidendrum pardothyrsus,II,VULNERABLE (VU),NA,NA
Huntleya burtii,Huntleya burtii,II,VULNERABLE (VU),NA,(EndrÃ©s & Rchb. f.) Pfitzer
Masdevallia catapheres,Masdevallia catapheres,II,VULNERABLE (VU),NA,Königer
Masdevallia cyclotega,Masdevallia cyclotega,II,VULNERABLE (VU),NA,Königer
Masdevallia decumana,Masdevallia decumana,II,VULNERABLE (VU),Copitas,Königer
Masdevallia prodigiosa,Masdevallia prodigiosa,II,VULNERABLE (VU),Copitas,Königer
Masdevallia replicata,Masdevallia replicata,II,VULNERABLE (VU),NA,Königer
Prosthechea cyperifolia,Prosthechea cyperifolia,II,VULNERABLE (VU),Cebollita,NA
Psychopsis versteegianum,Psychopsis versteegiana,II,VULNERABLE (VU),Mariposa,(Pulle) LÃ¼ckel & Braem
Stanhopea haselowiana,Stanhopea haselowiana,II,VULNERABLE (VU),Torosisa,NA
Myrosmodes paludosum,Myrosmodes paludosum,II,CASI AMENAZADO (NT),NA,NA
Corryocactus quadrangularis,Corryocactus quadrangularis,II,EN PELIGRO (EN),NA,NA
