DOID	DOTerm	p	p.adjust	geneRatio	bgRatio	cg
DOID:0070097	oculocutaneous albinism type III	1	1	0/91	1/15106	
DOID:0070098	oculocutaneous albinism type IV	1	1	0/91	3/15106	
DOID:0070111	Niemann-Pick disease type A	1	1	0/91	1/15106	
DOID:0070112	Niemann-Pick disease type B	1	1	0/91	1/15106	
DOID:0070114	Niemann-Pick disease type C2	1	1	0/91	12/15106	
DOID:0070115	Meckel syndrome 1	1	1	0/91	6/15106	
DOID:0070117	Meckel syndrome 3	1	1	0/91	5/15106	
DOID:0070126	congenital nongoitrous hypothyroidism 1	1	1	0/91	1/15106	
DOID:0070137	autosomal recessive cutis laxa type IIB	1	1	0/91	1/15106	
DOID:0070142	autosomal dominant cutis laxa	1	1	0/91	2/15106	
DOID:0070143	autosomal recessive cutis laxa type III	1	1	0/91	1/15106	
DOID:0070145	hereditary sensory and autonomic neuropathy type 5	1	1	0/91	2/15106	
DOID:0070146	hereditary sensory neuropathy type 4	1	1	0/91	1/15106	
DOID:0070150	hereditary sensory and autonomic neuropathy type 2B	1	1	0/91	1/15106	
DOID:0070151	hereditary sensory and autonomic neuropathy type 6	1	1	0/91	1/15106	
DOID:0070153	hereditary sensory and autonomic neuropathy type 8	1	1	0/91	1/15106	
DOID:0070157	hereditary sensory and autonomic neuropathy type 1C	1	1	0/91	1/15106	
DOID:0070161	hereditary sensory and autonomic neuropathy type 2	1	1	0/91	3/15106	
DOID:0070162	hereditary sensory and autonomic neuropathy type 1	1	1	0/91	2/15106	
DOID:0070184	spermatogenic failure 16	1	1	0/91	6/15106	
DOID:0070195	X-linked chronic granulomatous disease	1	1	0/91	8/15106	
DOID:0070197	distal myopathy 1	1	1	0/91	1/15106	
DOID:0070198	Miyoshi muscular dystrophy	1	1	0/91	2/15106	
DOID:0070201	Miyoshi muscular dystrophy 3	1	1	0/91	1/15106	
DOID:0070202	familial partial lipodystrophy type 2	1	1	0/91	3/15106	
DOID:0070204	familial partial lipodystrophy type 3	1	1	1/91	1/15106	5468
DOID:0070212	hereditary lymphedema I	1	1	0/91	3/15106	
DOID:0070214	familial hyperinsulinemic hypoglycemia 7	1	1	0/91	1/15106	
DOID:0070217	familial hyperinsulinemic hypoglycemia 6	1	1	0/91	1/15106	
DOID:0070221	progressive familial intrahepatic cholestasis	1	1	0/91	7/15106	
DOID:0070222	progressive familial intrahepatic cholestasis 2	1	1	0/91	1/15106	
DOID:0070223	progressive familial intrahepatic cholestasis 3	1	1	0/91	1/15106	
DOID:0070224	progressive familial intrahepatic cholestasis 4	1	1	0/91	1/15106	
DOID:0070225	progressive familial intrahepatic cholestasis 5	1	1	0/91	1/15106	
DOID:0070226	progressive familial intrahepatic cholestasis 1	1	1	0/91	2/15106	
DOID:0070230	benign recurrent intrahepatic cholestasis	1	1	0/91	4/15106	
DOID:0070231	benign recurrent intrahepatic cholestasis 1	1	1	0/91	1/15106	
DOID:0070232	benign recurrent intrahepatic cholestasis 2	1	1	0/91	1/15106	
DOID:0070234	Loeys-Dietz syndrome 2	1	1	0/91	1/15106	
DOID:0070237	Loeys-Dietz syndrome 3	1	1	0/91	1/15106	
DOID:0070243	primary coenzyme Q10 deficiency 6	1	1	0/91	1/15106	
DOID:0070251	X-linked Emery-Dreifuss muscular dystrophy 6	1	1	0/91	1/15106	
DOID:0070254	congenital disorder of glycosylation type IIb	1	1	0/91	1/15106	
DOID:0070257	congenital disorder of glycosylation type IIe	1	1	0/91	1/15106	
DOID:0070265	congenital disorder of glycosylation type IIm	1	1	0/91	1/15106	
DOID:0070268	congenital disorder of glycosylation type IIp	1	1	0/91	1/15106	
DOID:0070285	primary autosomal recessive microcephaly 1	1	1	0/91	18/15106	
DOID:0070286	primary autosomal recessive microcephaly 3	1	1	0/91	1/15106	
DOID:0070291	primary autosomal recessive microcephaly 4	1	1	0/91	1/15106	
DOID:0070293	primary autosomal recessive microcephaly 2 with or without cortical malformations	1	1	0/91	2/15106	
DOID:0070296	primary autosomal recessive microcephaly	1	1	0/91	24/15106	
DOID:0070297	primary microcephaly	1	1	0/91	40/15106	
DOID:0070298	multiple epiphyseal dysplasia 2	1	1	0/91	1/15106	
DOID:0070300	multiple epiphyseal dysplasia 4	1	1	1/91	9/15106	5663
DOID:0070303	multiple epiphyseal dysplasia 1	1	1	1/91	37/15106	2099
DOID:0070305	multiple epiphyseal dysplasia due to collagen 9 anomaly	1	1	0/91	1/15106	
DOID:0070306	post-cardiac arrest syndrome	1	1	0/91	2/15106	
DOID:0070309	absence epilepsy	1	1	3/91	71/15106	1139,2147,627
DOID:0070311	oligoasthenoteratozoospermia	1	1	1/91	26/15106	4524
DOID:0070313	thiamine deficiency disease	1	1	0/91	2/15106	
DOID:0070322	childhood hepatocellular carcinoma	1	1	0/91	3/15106	
DOID:0070323	childhood acute myeloid leukemia	1	1	4/91	79/15106	7124,596,7422,945
DOID:0070326	spitzoid melanoma	1	1	0/91	2/15106	
DOID:0070327	melanoma in congenital melanocytic nevus	1	1	0/91	22/15106	
DOID:0070328	adult hepatocellular carcinoma	1	1	0/91	1/15106	
DOID:0070330	multiple mitochondrial dysfunctions syndrome	1	1	0/91	6/15106	
DOID:0070333	breast implant-associated anaplastic large cell lymphoma	1	1	0/91	3/15106	
DOID:0070337	epithelial recurrent erosion dystrophy	1	1	0/91	6/15106	
DOID:0070338	cerebellar hypoplasia	1	1	0/91	21/15106	
DOID:0070342	adult-onset type II citrullinemia	1	1	0/91	3/15106	
DOID:0070345	vertebral anomalies and variable endocrine and T-cell dysfunction	1	1	0/91	1/15106	
DOID:0070348	spinal muscular atrophy with lower extremity predominant	1	1	0/91	1/15106	
DOID:0070351	spinal muscular atrophy with lower extremity predominant 1	1	1	0/91	1/15106	
DOID:0070355	overactive bladder syndrome	1	1	1/91	14/15106	627
DOID:0070356	visual impairment and progressive phthisis bulbi	1	1	0/91	1/15106	
DOID:0070367	leukoencephalopathy with vanishing white matter 5	1	1	0/91	1/15106	
DOID:0070381	developmental and epileptic encephalopathy 90	1	1	0/91	1/15106	
DOID:0070396	progressive leukoencephalopathy with ovarian failure	1	1	0/91	1/15106	
DOID:0070427	combined oxidative phosphorylation deficiency 54	1	1	0/91	1/15106	
DOID:0070431	hyperphosphatasia with impaired intellectual development syndrome	1	1	0/91	5/15106	
DOID:0070438	retinal macular dystrophy	1	1	0/91	5/15106	
DOID:0070439	North Carolina macular dystrophy	1	1	0/91	4/15106	
DOID:0070440	retinal macular dystrophy 3	1	1	0/91	3/15106	
DOID:0070442	paroxysmal nonkinesigenic dyskinesia 3	1	1	0/91	1/15106	
DOID:0070452	xanthinuria type I	1	1	0/91	1/15106	
DOID:0070465	spinocerebellar ataxia with axonal neuropathy type 3	1	1	0/91	1/15106	
DOID:0070473	Zaki syndrome	1	1	0/91	1/15106	
DOID:0070475	SMARCB1-deficient renal medullary carcinoma	1	1	0/91	5/15106	
DOID:0070476	diphthamide deficiency syndrome	1	1	0/91	2/15106	
DOID:0070477	diphthamide deficiency syndrome 1	1	1	0/91	1/15106	
DOID:0070482	spinal neurofibromatosis	1	1	0/91	116/15106	
DOID:0070484	Legius syndrome	1	1	0/91	2/15106	
DOID:0070487	dopamine transporter deficiency syndrome	1	1	0/91	2/15106	
DOID:0070509	Schinzel Giedion syndrome	1	1	2/91	34/15106	3553,1965
DOID:0070510	inflammatory poikiloderma with hair abnormalities and acral keratoses	1	1	0/91	1/15106	
DOID:0070511	polyhydramnios, megalencephaly, and symptomatic epilepsy	1	1	0/91	1/15106	
DOID:0070519	early-onset vitamin B6-dependent epilepsy 4	1	1	0/91	1/15106	
DOID:0070520	peeling skin syndrome 1	1	1	0/91	2/15106	
DOID:0070521	peeling skin syndrome 2	1	1	0/91	3/15106	
DOID:0070522	peeling skin syndrome 3	1	1	0/91	1/15106	
DOID:0070523	peeling skin syndrome 4	1	1	0/91	3/15106	
DOID:0070524	peeling skin syndrome 5	1	1	0/91	2/15106	
DOID:0070525	peeling skin syndrome 6	1	1	0/91	1/15106	
DOID:0070526	PLACK syndrome	1	1	0/91	1/15106	
DOID:0070529	Sifrim-Hitz-Weiss syndrome	1	1	0/91	1/15106	
DOID:0070531	foveal hypoplasia 2	1	1	0/91	1/15106	
DOID:0070535	arrhythmogenic biventricular cardiomyopathy	1	1	0/91	1/15106	
DOID:0070538	syndromic X-linked intellectual developmental disorder bain type	1	1	0/91	1/15106	
DOID:0080005	bone remodeling disease	1	1	18/91	478/15106	351,4846,1471,4852,267,7124,3553,4524,627,3481,3480,3479,6648,1636,3952,7422,2099,348
DOID:0080006	bone development disease	1	1	8/91	427/15106	3162,1565,4524,5663,2099,3479,627,3480
DOID:0080009	X-linked dominant disease	1	1	1/91	67/15106	627
DOID:0080010	bone structure disease	1	1	15/91	360/15106	3480,596,3479,801,1636,3952,2099,7124,4846,3553,836,627,6648,7422,581
DOID:0080012	X-linked recessive disease	1	1	8/91	292/15106	348,4129,7124,3162,2147,3077,351,4852
DOID:0080016	spina bifida	1	1	5/91	64/15106	3952,4524,6648,4846,348
DOID:0080018	dysbaric osteonecrosis	1	1	3/91	23/15106	7422,348,3952
DOID:0080019	metaphyseal dysplasia	1	1	0/91	13/15106	
DOID:0080020	Jansen's metaphyseal chondrodysplasia	1	1	0/91	1/15106	
DOID:0080021	Schmid metaphyseal chondrodysplasia	1	1	0/91	1/15106	
DOID:0080027	spondyloepimetaphyseal dysplasia	1	1	0/91	21/15106	
DOID:0080029	autosomal recessive spinocerebellar ataxia 16	1	1	0/91	1/15106	
DOID:0080031	fibrous dysplasia	1	1	0/91	11/15106	
DOID:0080032	craniodiaphyseal dysplasia	1	1	0/91	1/15106	
DOID:0080033	craniometaphyseal dysplasia	1	1	0/91	2/15106	
DOID:0080036	SOST-related sclerosing bone dysplasia	1	1	0/91	2/15106	
DOID:0080038	pycnodysostosis	1	1	0/91	1/15106	
DOID:0080041	hypochondroplasia	1	1	0/91	3/15106	
DOID:0080042	autosomal recessive spinocerebellar ataxia 18	1	1	0/91	1/15106	
DOID:0080043	achondrogenesis	1	1	0/91	3/15106	
DOID:0080045	Kniest dysplasia	1	1	0/91	1/15106	
DOID:0080046	Stickler syndrome	1	1	0/91	10/15106	
DOID:0080047	pseudoachondroplasia	1	1	0/91	4/15106	
DOID:0080049	acromesomelic dysplasia	1	1	0/91	7/15106	
DOID:0080056	achondrogenesis type II	1	1	0/91	1/15106	
DOID:0080059	autosomal recessive spinocerebellar ataxia 7	1	1	1/91	1/15106	1200
DOID:0080062	autosomal recessive spinocerebellar ataxia 13	1	1	0/91	1/15106	
DOID:0080065	autosomal recessive spinocerebellar ataxia 19	1	1	0/91	1/15106	
DOID:0080066	autosomal recessive spinocerebellar ataxia 20	1	1	0/91	1/15106	
DOID:0080070	mucolipidosis II alpha/beta	1	1	1/91	4/15106	7124
DOID:0080071	mucolipidosis III alpha/beta	1	1	0/91	1/15106	
DOID:0080072	intestinal pseudo-obstruction	1	1	0/91	15/15106	
DOID:0080073	spina bifida occulta	1	1	1/91	1/15106	4524
DOID:0080082	nonsyndromic congenital nail disorder 4	1	1	0/91	1/15106	
DOID:0080092	myofibrillar myopathy 1	1	1	0/91	5/15106	
DOID:0080093	myofibrillar myopathy 2	1	1	0/91	1/15106	
DOID:0080094	myofibrillar myopathy 3	1	1	0/91	4/15106	
DOID:0080096	myofibrillar myopathy 5	1	1	0/91	1/15106	
DOID:0080099	myopathy, lactic acidosis, and sideroblastic anemia	1	1	0/91	1/15106	
DOID:0080102	congenital myopathy 4A	1	1	0/91	4/15106	
DOID:0080105	microcephaly and chorioretinopathy 1	1	1	0/91	1/15106	
DOID:0080108	myoglobinuria	1	1	0/91	5/15106	
DOID:0080109	infantile myofibromatosis	1	1	0/91	4/15106	
DOID:0080110	contractures, pterygia, and spondylocarpotarsal fusion syndrome	1	1	0/91	7/15106	
DOID:0080122	Alpers-Huttenlocher syndrome	1	1	0/91	1/15106	
DOID:0080125	mitochondrial DNA depletion syndrome 6	1	1	0/91	1/15106	
DOID:0080126	mitochondrial DNA depletion syndrome 7	1	1	0/91	1/15106	
DOID:0080131	mitochondrial DNA depletion syndrome 13	1	1	0/91	1/15106	
DOID:0080132	Sengers syndrome	1	1	0/91	2/15106	
DOID:0080133	multiple mitochondrial dysfunctions syndrome 1	1	1	0/91	2/15106	
DOID:0080134	multiple mitochondrial dysfunctions syndrome 2	1	1	0/91	2/15106	
DOID:0080137	multiple endocrine neoplasia type 4	1	1	0/91	1/15106	
DOID:0080140	multiple congenital anomalies-hypotonia-seizures syndrome 3	1	1	0/91	1/15106	
DOID:0080142	mosaic variegated aneuploidy syndrome 2	1	1	0/91	1/15106	
DOID:0080143	congenital fibrosis of the extraocular muscles	1	1	0/91	8/15106	
DOID:0080144	childhood acute lymphocytic leukemia	1	1	6/91	162/15106	4846,4353,3952,4524,7422,3077
DOID:0080145	childhood T-cell acute lymphoblastic leukemia	1	1	0/91	4/15106	
DOID:0080146	childhood B-cell acute lymphoblastic leukemia	1	1	0/91	8/15106	
DOID:0080147	lymphoblastic lymphoma	1	1	2/91	49/15106	596,4524
DOID:0080150	adrenocorticotropic hormone deficiency	1	1	0/91	2/15106	
DOID:0080153	medium chain acyl-CoA dehydrogenase deficiency	1	1	0/91	1/15106	
DOID:0080155	very long chain acyl-CoA dehydrogenase deficiency	1	1	0/91	1/15106	
DOID:0080156	X-linked adrenal hypoplasia congenita	1	1	0/91	3/15106	
DOID:0080159	Cryptococcal meningitis	1	1	0/91	7/15106	
DOID:0080160	Cytomegalovirus retinitis	1	1	0/91	5/15106	
DOID:0080161	cutaneous candidiasis	1	1	0/91	5/15106	
DOID:0080163	otulipenia	1	1	0/91	1/15106	
DOID:0080169	tricuspid atresia	1	1	0/91	1/15106	
DOID:0080171	esophageal atresia/tracheoesophageal fistula	1	1	0/91	1/15106	
DOID:0080172	thiopurine S-methyltransferase deficiency	1	1	0/91	1/15106	
DOID:0080173	bladder exstrophy-epispadias-cloacal exstrophy complex	1	1	0/91	10/15106	
DOID:0080174	bladder exstrophy	1	1	0/91	9/15106	
DOID:0080176	meningococcal meningitis	1	1	1/91	3/15106	7124
DOID:0080177	hepatic veno-occlusive disease	1	1	1/91	3/15106	3553
DOID:0080181	PHARC syndrome	1	1	0/91	1/15106	
DOID:0080182	mixed fibrolamellar hepatocellular carcinoma	1	1	0/91	2/15106	
DOID:0080185	mucinous bronchioloalveolar adenocarcinoma	1	1	0/91	5/15106	
DOID:0080187	chronic neutrophilic leukemia	1	1	0/91	5/15106	
DOID:0080188	chronic myelomonocytic leukemia	1	1	1/91	55/15106	945
DOID:0080191	PTEN hamartoma tumor syndrome	1	1	0/91	9/15106	
DOID:0080192	relapsed/refractory diffuse large B-cell lymphoma	1	1	0/91	1/15106	
DOID:0080193	superior semicircular canal dehiscence	1	1	0/91	2/15106	
DOID:0080194	Carey-Fineman-Ziter syndrome	1	1	0/91	1/15106	
DOID:0080195	Marinesco-Sjogren syndrome	1	1	0/91	3/15106	
DOID:0080196	mandibulofacial dysostosis, Guion-Almeida type	1	1	0/91	1/15106	
DOID:0080201	Peters plus syndrome	1	1	0/91	1/15106	
DOID:0080204	renal hypoplasia	1	1	0/91	4/15106	
DOID:0080209	sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay	1	1	0/91	1/15106	
DOID:0080210	primary mediastinal B-cell lymphoma	1	1	0/91	14/15106	
DOID:0080211	nodal marginal zone lymphoma	1	1	0/91	8/15106	
DOID:0080214	punctate palmoplantar keratoderma type I	1	1	0/91	1/15106	
DOID:0080216	duodenal atresia	1	1	0/91	1/15106	
DOID:0080217	lysosomal acid lipase deficiency	1	1	0/91	2/15106	
DOID:0080222	pseudohypoparathyroidism type IB	1	1	0/91	3/15106	
DOID:0080223	epidermolytic palmoplantar keratoderma	1	1	0/91	2/15106	
DOID:0080234	Clark-Baraitser syndrome	1	1	0/91	2/15106	
DOID:0080282	developmental and epileptic encephalopathy 56	1	1	0/91	1/15106	
DOID:0080298	complete generalized lipodystrophy	1	1	1/91	9/15106	5468
DOID:0080299	partial lipodystrophy	1	1	2/91	23/15106	5468,3643
DOID:0080300	acquired generalized lipodystrophy	1	1	0/91	1/15106	
DOID:0080301	atypical hemolytic-uremic syndrome	1	1	0/91	3/15106	
DOID:0080303	mucinous lung adenocarcinoma	1	1	0/91	3/15106	
DOID:0080307	myofibrillar myopathy	1	1	1/91	18/15106	3553
DOID:0080309	fatal infantile hypertonic myofibrillar myopathy	1	1	0/91	1/15106	
DOID:0080315	megalencephalic leukoencephalopathy with subcortical cysts	1	1	0/91	3/15106	
DOID:0080316	megalencephalic leukoencephalopathy with subcortical cysts 1	1	1	0/91	1/15106	
DOID:0080319	X-linked immunodeficiency with magnesium defect, Epstein-Barr virus infection, and neoplasia	1	1	0/91	1/15106	
DOID:0080320	peripheral nervous system benign neoplasm	1	1	0/91	8/15106	
DOID:0080321	autonomic nervous system benign neoplasm	1	1	0/91	8/15106	
DOID:0080324	tuberous sclerosis 1	1	1	0/91	5/15106	
DOID:0080325	tuberous sclerosis 2	1	1	0/91	4/15106	
DOID:0080326	familial hypertrophic cardiomyopathy	1	1	0/91	11/15106	
DOID:0080327	multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia and hydranencephaly	1	1	0/91	24/15106	
DOID:0080328	Culler-Jones syndrome	1	1	0/91	1/15106	
DOID:0080332	bicuspid aortic valve disease	1	1	0/91	7/15106	
DOID:0080342	Simpson-Golabi-Behmel syndrome type 2	1	1	0/91	1/15106	
DOID:0080344	blepharocheilodontic syndrome	1	1	0/91	1/15106	
DOID:0080351	CLOVES syndrome	1	1	0/91	1/15106	
DOID:0080354	Phelan-McDermid syndrome	1	1	0/91	3/15106	
DOID:0080356	IgG4-related disease	1	1	1/91	34/15106	3553
DOID:0080361	trimethylaminuria	1	1	0/91	1/15106	
DOID:0080362	X-linked spondyloepiphyseal dysplasia tarda	1	1	0/91	1/15106	
DOID:0080363	mitochondrial pyruvate carrier deficiency	1	1	0/91	1/15106	
DOID:0080366	desmoid tumor	1	1	0/91	12/15106	
DOID:0080367	chronic eosinophilic leukemia	1	1	0/91	11/15106	
DOID:0080372	epithelioid inflammatory myofibroblastic sarcoma	1	1	0/91	1/15106	
DOID:0080374	gastroesophageal cancer	1	1	0/91	10/15106	
DOID:0080375	gastroesophageal adenocarcinoma	1	1	0/91	6/15106	
DOID:0080377	peroxisomal biogenesis disorder	1	1	0/91	10/15106	
DOID:0080379	nephrotic syndrome type 2	1	1	0/91	1/15106	
DOID:0080382	nephrotic syndrome type 3	1	1	0/91	2/15106	
DOID:0080410	familial adenomatous polyposis 2	1	1	0/91	3/15106	
DOID:0080422	Dravet syndrome	1	1	1/91	18/15106	4137
DOID:0080425	developmental and epileptic encephalopathy 47	1	1	0/91	1/15106	
DOID:0080455	developmental and epileptic encephalopathy 52	1	1	0/91	1/15106	
DOID:0080474	pustular psoriasis 14	1	1	0/91	1/15106	
DOID:0080488	mucolipidosis	1	1	1/91	9/15106	7124
DOID:0080490	mucolipidosis type IV	1	1	0/91	1/15106	
DOID:0080503	multiple congenital anomalies-hypotonia-seizures syndrome	1	1	0/91	3/15106	
DOID:0080519	PAPA syndrome	1	1	0/91	1/15106	
DOID:0080523	adult-onset leukoencephalopathy with axonal spheroids and pigmented glia	1	1	0/91	2/15106	
DOID:0080524	thyroid gland adenocarcinoma	1	1	4/91	54/15106	3952,5468,7422,5328
DOID:0080525	differentiated thyroid gland carcinoma	1	1	4/91	54/15106	3952,5468,7422,5328
DOID:0080534	myxofibrosarcoma	1	1	0/91	24/15106	
DOID:0080539	PEHO syndrome	1	1	0/91	3/15106	
DOID:0080540	galactosialidosis	1	1	0/91	1/15106	
DOID:0080541	hyperprolinemia	1	1	0/91	2/15106	
DOID:0080544	hyper IgM syndrome	1	1	0/91	5/15106	
DOID:0080551	Naxos disease	1	1	0/91	2/15106	
DOID:0080552	congenital disorder of glycosylation Ia	1	1	0/91	2/15106	
DOID:0080565	congenital disorder of glycosylation Im	1	1	0/91	1/15106	
DOID:0080582	hypotrichosis 14	1	1	0/91	1/15106	
DOID:0080597	Kleefstra syndrome	1	1	0/91	4/15106	
DOID:0080598	Kleefstra syndrome 2	1	1	0/91	1/15106	
DOID:0080601	germ cell benign neoplasm	1	1	0/91	8/15106	
DOID:0080602	benign teratoma	1	1	0/91	8/15106	
DOID:0080615	nephroma	1	1	0/91	1/15106	
DOID:0080616	kidney cortex disease	1	1	0/91	1/15106	
DOID:0080618	lymph node carcinoma	1	1	0/91	1/15106	
DOID:0080620	familial glucocorticoid deficiency	1	1	0/91	5/15106	
DOID:0080626	corticosterone methyloxidase deficiency 1	1	1	0/91	1/15106	
DOID:0080631	Elsahy-Waters syndrome	1	1	0/91	1/15106	
DOID:0080634	nanophthalmos	1	1	0/91	5/15106	
DOID:0080636	syndromic microphthalmia	1	1	0/91	6/15106	
DOID:0080638	B-cell acute lymphoblastic leukemia	1	1	5/91	177/15106	3162,4524,7422,7124,596
DOID:0080641	tongue carcinoma	1	1	1/91	32/15106	596
DOID:0080642	Middle East respiratory syndrome	1	1	0/91	9/15106	
DOID:0080645	B-lymphoblastic leukemia/lymphoma with ETV6-RUNX1	1	1	0/91	2/15106	
DOID:0080652	calcium oxalate nephrolithiasis	1	1	0/91	4/15106	
DOID:0080665	warfarin resistance	1	1	0/91	4/15106	
DOID:0080666	warfarin sensitivity	1	1	0/91	2/15106	
DOID:0080678	mucolipidosis III gamma	1	1	0/91	1/15106	
DOID:0080681	X-linked chronic idiopathic intestinal pseudo-obstruction	1	1	0/91	1/15106	
DOID:0080683	nonsyndromic congenital nail disorder	1	1	0/91	2/15106	
DOID:0080684	diffuse midline glioma, H3 K27M-mutant	1	1	0/91	15/15106	
DOID:0080688	mosaic variegated aneuploidy syndrome	1	1	0/91	2/15106	
DOID:0080690	RASopathy	1	1	8/91	383/15106	2932,4524,7422,836,2023,7124,1718,3479
DOID:0080691	Noonan syndrome-like disorder with loose anagen hair	1	1	0/91	1/15106	
DOID:0080693	Noonan syndrome-like disorder with loose anagen hair 2	1	1	0/91	1/15106	
DOID:0080694	Galloway-Mowat syndrome	1	1	0/91	8/15106	
DOID:0080695	Burn-McKeown syndrome	1	1	0/91	1/15106	
DOID:0080696	Winchester syndrome	1	1	0/91	2/15106	
DOID:0080697	Opitz GBBB syndrome	1	1	0/91	2/15106	
DOID:0080699	glutathione synthetase deficiency	1	1	0/91	1/15106	
DOID:0080700	caudal regression syndrome	1	1	0/91	3/15106	
DOID:0080709	NK cell deficiency	1	1	0/91	9/15106	
DOID:0080710	T cell and NK cell immunodeficiency	1	1	0/91	2/15106	
DOID:0080711	multisystem inflammatory syndrome in children	1	1	0/91	7/15106	
DOID:0080712	gene duplication disease	1	1	0/91	1/15106	
DOID:0080716	infantile liver failure syndrome	1	1	0/91	2/15106	
DOID:0080717	infantile liver failure syndrome 1	1	1	0/91	2/15106	
DOID:0080718	GNE myopathy	1	1	0/91	8/15106	
DOID:0080721	calvarial doughnut lesions with bone fragility	1	1	0/91	1/15106	
DOID:0080723	Kenny-Caffey syndrome type 2	1	1	0/91	1/15106	
DOID:0080724	Kenny-Caffey syndrome	1	1	0/91	1/15106	
DOID:0080725	BASAN syndrome	1	1	0/91	1/15106	
DOID:0080735	Ehlers-Danlos syndrome kyphoscoliotic type 2	1	1	0/91	1/15106	
DOID:0080740	Libman-Sacks endocarditis	1	1	1/91	3/15106	2147
DOID:0080741	limbic encephalitis	1	1	0/91	4/15106	
DOID:0080742	autoimmune cholangitis	1	1	0/91	2/15106	
DOID:0080743	transverse myelitis	1	1	0/91	8/15106	
DOID:0080744	antisynthetase syndrome	1	1	0/91	8/15106	
DOID:0080745	polymyositis	1	1	3/91	82/15106	7124,7422,3077
DOID:0080746	Sweet syndrome	1	1	1/91	8/15106	4353
DOID:0080747	chronic urticaria	1	1	4/91	84/15106	3553,7422,6648,627
DOID:0080751	keratosis pilaris atrophicans	1	1	0/91	4/15106	
DOID:0080753	keratosis follicularis spinulosa decalvans	1	1	0/91	2/15106	
DOID:0080760	Fanconi renotubular syndrome 4	1	1	0/91	1/15106	
DOID:0080763	diffuse gastric cancer	1	1	0/91	13/15106	
DOID:0080764	hereditary diffuse gastric cancer	1	1	0/91	3/15106	
DOID:0080767	autoimmune myocarditis	1	1	0/91	6/15106	
DOID:0080768	pyridoxine-dependent epilepsy	1	1	0/91	2/15106	
DOID:0080772	beta-thalassemia intermedia	1	1	0/91	10/15106	
DOID:0080774	thalassemia minor	1	1	0/91	4/15106	
DOID:0080775	complete androgen insensitivity syndrome	1	1	0/91	3/15106	
DOID:0080776	partial androgen insensitivity syndrome	1	1	0/91	1/15106	
DOID:0080777	lung sarcomatoid carcinoma	1	1	0/91	12/15106	
DOID:0080779	plasmablastic lymphoma	1	1	0/91	15/15106	
DOID:0080780	acute erythroid leukemia	1	1	0/91	55/15106	
DOID:0080784	urinary tract infection	1	1	3/91	45/15106	7422,4353,1636
DOID:0080791	Treacher Collins syndrome 3	1	1	0/91	1/15106	
DOID:0080794	childhood acute megakaryoblastic leukemia	1	1	0/91	1/15106	
DOID:0080795	acute basophilic leukemia	1	1	0/91	1/15106	
DOID:0080796	core binding factor acute myeloid leukemia	1	1	0/91	3/15106	
DOID:0080797	nasal type extranodal NK/T-cell lymphoma	1	1	1/91	2/15106	7422
DOID:0080799	sinonasal undifferentiated carcinoma	1	1	0/91	6/15106	
DOID:0080803	cranioectodermal dysplasia 1	1	1	0/91	1/15106	
DOID:0080808	mammary analogue secretory carcinoma	1	1	0/91	9/15106	
DOID:0080809	chronic asthma	1	1	8/91	261/15106	7124,4524,7422,4846,267,3553,627,1191
DOID:0080810	acute asthma	1	1	0/91	19/15106	
DOID:0080811	extrinsic asthma	1	1	5/91	177/15106	4846,267,7124,3553,627
DOID:0080815	childhood-onset asthma	1	1	3/91	91/15106	7124,4524,7422
DOID:0080817	T2-high asthma	1	1	0/91	2/15106	
DOID:0080819	environmental induced asthma	1	1	1/91	6/15106	1191
DOID:0080821	exercise-induced bronchoconstriction	1	1	0/91	7/15106	
DOID:0080822	aspirin-induced respiratory disease	1	1	0/91	3/15106	
DOID:0080823	near-fatal asthma	1	1	0/91	1/15106	
DOID:0080826	nocturnal asthma	1	1	0/91	6/15106	
DOID:0080827	human cytomegalovirus infection	1	1	4/91	64/15106	7124,3553,4846,5468
DOID:0080828	VEXAS syndrome	1	1	0/91	1/15106	
DOID:0080829	low grade glioma	1	1	2/91	58/15106	9510,3479
DOID:0080830	childhood low-grade glioma	1	1	0/91	31/15106	
DOID:0080831	subjective cognitive decline	1	1	3/91	6/15106	348,4137,627
DOID:0080833	laryngomalacia	1	1	0/91	1/15106	
DOID:0080835	TORCH syndrome	1	1	0/91	1/15106	
DOID:0080841	pemphigoid	1	1	5/91	82/15106	7124,1392,1565,3553,102
DOID:0080842	intracranial meningioma	1	1	0/91	6/15106	
DOID:0080848	long COVID	1	1	1/91	11/15106	348
DOID:0080850	pemphigus foliaceus	1	1	2/91	28/15106	7124,581
DOID:0080852	paraneoplastic pemphigus	1	1	0/91	3/15106	
DOID:0080856	vascular Parkinsonism	1	1	0/91	1/15106	
DOID:0080857	primary ovarian insufficiency 1	1	1	0/91	1/15106	
DOID:0080875	IDH-mutant anaplastic astrocytoma	1	1	0/91	1/15106	
DOID:0080877	astrocytoma, IDH-mutant, grade 4	1	1	0/91	1/15106	
DOID:0080878	IDH-wildtype glioblastoma	1	1	0/91	12/15106	
DOID:0080879	histone mutated tumor	1	1	0/91	15/15106	
DOID:0080883	vitamin D-dependent rickets	1	1	0/91	3/15106	
DOID:0080886	vitamin D-dependent rickets type 1A	1	1	0/91	1/15106	
