type;name;label::English;hint::English;relevant;required;notes;appearance;calculation;default;constraint;constraint_message::English;read_only
integer;Id10232_a;(Id10232_a) [Enter how long the ulcer on the foot oozed pus in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10232_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10232_b;(Id10232_b) [Enter how long the ulcer on the foot oozed pus in months]:;Enter 1-60 months.;${Id10232_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months.If response is greater then 60, confirm the response and enter 60.;
calculate;Id10232;(Id10232) For how many days did the ulcer on the foot ooze pus?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10231}, 'yes');;;;if(${Id10232_units}='days', ${Id10232_a} div 30,${Id10232_b});;;;
select_one YES_NO_DK_REF;Id10233;(Id10233) During the illness that led to death, did (s)he have any skin rash?;;;yes;;;;;;;
integer;Id10234;(Id10234) For how many days did (s)he have the skin rash?;"The answer could be given in another unit, but for data entry use days. Less than 1 day or 24 hours = 0 days; 1 week=7 days; 1 month=30 days. Enter ""99"" for ""don't know."" Enter ""88"" for ""refuse.""";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10233}, 'yes');yes;;;;;.>=0 and .<=99;Please enter a value between 0 and 99.  If response was greater than 98 days, confirm the response and enter 98.;
select_multiple select_135;Id10235;(Id10235) Where was the rash?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10233}, 'yes');yes;;;;;;;
note;id10235_check;"(id10235_check) It is not possible to select ""Doesn't Know"" or ""Refused to answer"" together with other options. Please go back and correct the selection. ";;(selected(${Id10235}, 'DK') or selected(${Id10235}, 'Ref')) and count-selected(${Id10235})>1;yes;;;;;;;
select_one YES_NO_DK_REF;Id10236;(Id10236) Did (s)he have measles rash (use local term)?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10233}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10237;(Id10237) Did (s)he ever have shingles or herpes zoster?;;selected(${isAdult}, '1') ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10238;(Id10238) During the illness that led to death, did her/his skin flake off in patches?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10239;(Id10239) During the illness that led to death, did he/she have areas of the skin that turned black?;;(selected(${isNeonatal}, '1') or selected(${isChild}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10240;(Id10240) During the illness that led to death, did he/she have areas of the skin with redness and swelling?;;(selected(${isNeonatal}, '1') or selected(${isChild}, '1'));;;;;;;;
select_one YES_NO_DK_REF;Id10241;(Id10241) During the illness that led to death, did (s)he bleed from anywhere?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10242;(Id10242) Did (s)he bleed from the nose, mouth or anus?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10241}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10243;(Id10243) Did (s)he have noticeable weight loss?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10244;(Id10244) Was (s)he severely thin or wasted?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10245;(Id10245) During the illness that led to death, did s/he have a whitish rash inside the mouth or on the tongue?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10246;(Id10246) Did (s)he have stiffness of the whole body or was unable to open the mouth?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10247;(Id10247) Did (s)he have puffiness of the face?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one units_2;Id10248_units;(Id10248_units) How long did (s)he have puffiness of the face?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10247}, 'yes');yes;;;;;;;
integer;Id10248_a;(Id10248_a) [Enter how long (s)he had puffiness of the face in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10248_units}='days';yes;;;;;.>=0 and .<=30 ;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10248_b;(Id10248_b) [Enter how long (s)he had puffiness of the face in months]:;Enter 1-60 months.;${Id10248_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months.If response is greater then 60, confirm the response and enter 60.;
calculate;Id10248;(Id10248) For how many days did (s)he have puffiness of the face?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10247}, 'yes');;;;if(${Id10248_units}='days', ${Id10248_a} div 30,${Id10248_b});;;;
select_one YES_NO_DK_REF;Id10249;(Id10249) During the illness that led to death, did (s)he have swollen legs or feet?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one units_2;Id10250_units;(Id10250_units) How long did the swelling last?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10249}, 'yes');yes;;;;;;;
integer;Id10250_a;(Id10250_a) [Enter how long the swelling lasted in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10250_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10250_b;(Id10250_b) [Enter how long the swelling lasted in months]:;Enter 1-60 months.;${Id10250_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months.If response is greater then 60, confirm the response and enter 60.;
calculate;Id10250;(Id10250) How many days did the swelling last?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10249}, 'yes');;;;if(${Id10250_units}='days', ${Id10250_a} div 30,${Id10250_b});;;;
select_one YES_NO_DK_REF;Id10251;(Id10251) Did (s)he have both feet swollen?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10249}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10252;(Id10252) Did (s)he have general puffiness all over his/her body?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10253;(Id10253) Did (s)he have any lumps?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10254;(Id10254) Did (s)he have any lumps or lesions in the mouth?;;(selected(${isAdult}, '1')) and selected(${Id10253}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10255;(Id10255) Did (s)he have any lumps on the neck?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10253}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10256;(Id10256) Did (s)he have any lumps on the armpit?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10253}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10257;(Id10257) Did (s)he have any lumps on the groin?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10253}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10258;(Id10258) Was (s)he in any way paralysed?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10259;(Id10259) Did (s)he have paralysis of only one side of the body?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10258}, 'yes');yes;;;;;;;
select_multiple select_161;Id10260;(Id10260) Which were the limbs or body parts paralysed?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10258}, 'yes');yes;;;;;;;
note;id10260_check;"(id10260_check) It is not possible to select ""only one side paralysed"" and ""left and right side"" or  ""whole body"" together. Please go back and correct the selection. ";;selected(${Id10259}, 'yes') and (selected(${Id10260}, 'whole_body') or  (selected(${Id10260}, 'left_side')  and selected(${Id10260}, 'right_side')));yes;;;;;;;
note;id10260_check2;"(id10260_check2) It is not possible to select ""Doesn't Know"" or ""Refused to answer"" together with other options. Please go back and correct the selection. ";;(selected(${Id10260}, 'DK') or selected(${Id10260}, 'Ref')) and count-selected(${Id10260})>1;yes;;;;;;;
select_one YES_NO_DK_REF;Id10261;(Id10261) Did (s)he have difficulty swallowing?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one units_2;Id10262_units;(Id10262_units) For how long before death did (s)he have difficulty swallowing?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10261}, 'yes');yes;;;;;;;
integer;Id10262_a;(Id10262_a) [Enter how long before death (s)he had difficulty swallowing in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10262_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10262_b;(Id10262_b) [Enter how long before death (s)he had difficulty swallowing in months]:;Enter 1-60 months.;${Id10262_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months.If response is greater then 60, confirm the response and enter 60.;
calculate;Id10262;(Id10262) For how many days before death did (s)he have difficulty swallowing?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10261}, 'yes');;;;if(${Id10262_units}='days', ${Id10262_a} div 30,${Id10262_b});;;;
select_one select_164;Id10263;(Id10263) Was the difficulty with swallowing with solids, liquids, or both?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10261}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10264;(Id10264) Did (s)he have pain upon swallowing?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10265;(Id10265) Did (s)he have yellow discoloration of the eyes?;;;yes;;;;;;;
select_one units_2;Id10266_units;(Id10266_units) For how long did (s)he have the yellow discoloration?;"Enter 1 unit only: 0-30 days or 1-60 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10265}, 'yes');yes;;;;;;;
integer;Id10266_a;(Id10266_a) [Enter how long (s)he had the yellow discoloration in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10266_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10266_b;(Id10266_b) [Enter how long (s)he had the yellow discoloration in months]:;Enter 1-60 months.;${Id10266_units}='months';yes;;;;;.>=1 and .<=60;Likely response is under 60 months.If response is greater then 60, confirm the response and enter 60.;
calculate;Id10266;(Id10266) For how many days did (s)he have the yellow discoloration?;;(selected(${isChild}, '1') or selected(${isAdult}, '1')) and selected(${Id10265}, 'yes');;;;if(${Id10266_units}='days', ${Id10266_a} div 30,${Id10266_b});;;;
select_one YES_NO_DK_REF;Id10267;(Id10267) Did her/his hair change in color to a reddish or yellowish color?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10268;(Id10268) Did (s)he look pale (thinning/lack of blood) or have pale palms, eyes or nail beds?;Long term deficiency of the blood results in a pale, whitish appearance of the lips, tongue, and eye sac. Sometime it is referred to as thinning or lack of blood, or pallor.;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10269;(Id10269) Did (s)he have sunken eyes?;;(selected(${isChild}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10270;(Id10270) Did (s)he drink a lot more water than usual?;;(selected(${isChild}, '1') or selected(${isAdult}, '1'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10271;(Id10271) Was the baby able to suckle or bottle-feed within the first 24 hours after birth?;This question should be asked only if the child was less than 1 year old when it died. ;(selected(${isNeonatal}, '1') and ${Id10114}!='yes') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);;;;;;;;
select_one YES_NO_DK_REF;Id10272;(Id10272) Did the baby ever suckle in a normal way?;This question should be asked only if the child was less than 1 year old when it died. ;(selected(${isNeonatal}, '1') and ${Id10114}!='yes') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);;;;;;;;
select_one YES_NO_DK_REF;Id10273;(Id10273) Did the baby stop suckling?;This question should be asked only if the child was less than 1 year old when it died. ;(selected(${isNeonatal}, '1') and ${Id10114}!='yes') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
integer;Id10274_a;(Id10274_a) How many days after birth did the baby stop suckling?;"Less than 1 day= “0”.  Enter ""99"" for ""don't know."" Enter ""88"" for ""refuse.""";selected(${Id10273}, 'yes') and selected(${isNeonatal}, '1');yes;;;;;(.>=0 and .<=${ageInDaysNeonate}) or .=99 or .=88;Please enter a value less then neonatal age in days at death. ;
select_one units_2;Id10274_units;(Id10274_units) How long after birth did the baby stop suckling?;"Enter 1 unit only: 0-30 days or 1-11 months. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";selected(${Id10273}, 'yes') and selected(${isChild}, '1') ;yes;;;;;;;
integer;Id10274_b;(Id10274_b) [Enter how long after birth  the baby stopped suckling in days]:;"Enter 0-30 days. Less than 1 day or 24 hours = 0 days; 1 week = 7 days.";${Id10274_units}='days';yes;;;;;.>=0 and .<=30;If response was greater than 30 days, ask respondent to report time in months;
integer;Id10274_c;(Id10274_c) [Enter how long after birth  the baby stopped suckling in months]:;Enter 1-11 months.;${Id10274_units}='months';yes;;;;;.>=1 and .<=11;Enter a response between 1-11 months.;
calculate;Id10274;(Id10274) How many days after birth did the baby stop suckling?;;selected(${Id10273}, 'yes');;;;if(selected(${isNeonatal}, '1'), ${Id10274_a},if(${Id10274_units}='days', ${Id10274_b},${Id10274_c} * 30));;;;
select_one YES_NO_DK_REF;Id10275;(Id10275) Did the baby have convulsions starting within the first 24 hours of life?;This question should be asked only if the child was less than 1 year old when it died. ;(selected(${isNeonatal}, '1') and ${Id10114}!='yes') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
select_one YES_NO_DK_REF;Id10276;(Id10276) Did the baby have convulsions starting more than 24 hours after birth?;This question should be asked only if the child was less than 1 year old when it died. ;(selected(${Id10275}, 'no') or selected(${Id10275}, 'dk') or selected(${Id10275}, 'ref'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10277;(Id10277) Did the baby's body become stiff, with the back arched backwards?;This question should be asked only if the child was less than 1 year old when it died. ;(selected(${isNeonatal}, '1') and ${Id10114}!='yes') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
select_one YES_NO_DK_REF;Id10278;(Id10278) During the illness that led to death, did the baby have a bulging or raised fontanelle? ;Show photo if available. This question should be asked only if the child was less than 18 months old when it died. ;(selected(${isNeonatal}, '1') and ${Id10114}!='yes') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<18);yes;;;;;;;
select_one YES_NO_DK_REF;Id10279;(Id10279) During the illness that led to death, did the baby have a sunken fontanelle? ;Show photo if available. This question should be asked only if the child was less than 18 months old when it died. ;(selected(${isNeonatal}, '1') or selected(${isChild}, '1')) and (${Id10278} ='no' or ${Id10278} ='dk' or ${Id10278} ='ref'  );yes;;;;;;;
select_one YES_NO_DK_REF;Id10281;(Id10281) During the illness that led to death, did the baby become unresponsive or unconscious?;This question should be asked only if the child was less than 1 year old when it died. ; (selected(${isNeonatal}, '1') and ${Id10114}!='yes') or (selected(${isChild}, '1') and (${ageInMonthsByYear} = 'NaN' or string-length(${ageInMonthsByYear}) = 0)) or (selected(${isChild}, '1') and ${ageInMonthsByYear} != 'NaN' and string-length(${ageInMonthsByYear}) > 0 and ${ageInMonthsByYear}<12);yes;;;;;;;
select_one YES_NO_DK_REF;Id10282;(Id10282) Did the baby become unresponsive or unconscious soon after birth, within less than 24 hours?;This question should be asked only if the child was less than 1 year old when it died. ;((selected(${Id10281}, 'yes') and (selected(${isNeonatal}, '1')) and ${Id10114}!='yes') or (selected(${Id10281}, 'yes') and selected(${isChild}, '1')));yes;;;;;;;
select_one YES_NO_DK_REF;Id10283;(Id10283) Did the baby become unresponsive or unconscious more than 24 hours after birth?;This question should be asked only if the child was less than 1 year old when it died. ;(selected(${Id10281}, 'yes') and not(selected(${Id10282}, 'yes'))) and ((selected(${isNeonatal}, '1') and ${Id10114}!='yes') or selected(${isChild}, '1'));yes;;;;;;;
begin group;neonatal_childC;Neonatal child questions part C;;(selected(${isNeonatal}, '1')) and ${Id10114}!='yes';;;;;;;;
select_one YES_NO_DK_REF;Id10284;(Id10284) During the illness that led to death, did the baby become cold to touch?;;;yes;;;;;;;
integer;Id10285;(Id10285) How many days old was the baby when it started feeling cold to touch?;"If less than 1 day or 24 hours, enter 0 days. Use 1 week = 7 days to determine the number of days. For don't know, enter ""99."" For refused, enter ""88.""";selected(${Id10284}, 'yes');yes;;;;;(.>=0 and .<=${ageInDaysNeonate}) or .=99 or .=88;Please enter a value less then neonatal age in days at death. ;
select_one YES_NO_DK_REF;Id10286;(Id10286) During the illness that led to death, did the baby become lethargic after a period of normal activity?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10287;(Id10287) Did the baby have redness or pus drainage from the umbilical cord stump?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10288;(Id10288) During the illness that led to death, did the baby have skin ulcer(s) or pits?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10289;(Id10289) During the illness that led to death, did the baby have yellow skin, palms (hand) or soles (foot)?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10290;(Id10290) Did the baby or infant appear to be healthy and then just die suddenly?;Suddenly means died unexpectedly within 24 hours of being in regular health. ;;yes;;;;;;;
end group;;;;;;;;;;;;
end group;;;;;;;;;;;;
begin group;pregnancy_women;Signs and symptoms associated with pregnancy and women;;(selected(${isAdult}, '1')) and (${Id10019} = 'female' or ${Id10019} = 'undetermined');;;;;;;;
select_one YES_NO_DK_REF;Id10294;(Id10294) Did she have any swelling or lump in the breast?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10295;(Id10295) Did she have any ulcers (pits) in the breast?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10296;(Id10296) Did she ever have a period or menstruate?;Ask for period and menstruation, and also mention the content of the subquestions already (excessive quantity or little quantity of bleeding, or irregular vaginal bleeding). If anything is mentioned select yes.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10297;(Id10297) When she had her period, did she have vaginal bleeding in between menstrual periods?;Important is the excessive quantity of blood;selected(${Id10296}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10298;(Id10298) Was the bleeding excessive?;;selected(${Id10297}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10301;(Id10301) Was there excessive vaginal bleeding in the week prior to death?;Important is the excessive quantity of blood;selected(${Id10296}, 'yes') ;yes;;;;;;;
select_one YES_NO_DK_REF;Id10299;(Id10299) Did her menstrual period stop naturally because of menopause or removal of uterus?;If woman was under 40, do not ask and just click ‘No’.;selected(${Id10296}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10302;(Id10302) At the time of death was her period overdue?;;selected(${Id10299}, 'dk') or selected(${Id10299}, 'no') or selected(${Id10299}, 'ref');yes;;;;;;;
integer;Id10303;(Id10303) For how many weeks had her period been overdue?;"The answer could be given in another unit, but for data entry use weeks. Less than 1 week=0. 7 days=1 week. Enter ""99"" for ""don't know."" Enter ""88"" for ""refuse.""";selected(${Id10302}, 'yes');yes;;;;;.>=0 and .<=99;Please enter a value between 0 and 99.;
select_one YES_NO_DK_REF;Id10300;(Id10300) Did she have vaginal bleeding after cessation of menstruation?;If woman was under 40, do not ask and just click ‘No’. ;selected(${Id10299}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10304;(Id10304) Did she have a sharp pain in her belly (abdomen) shortly before death?;;not(selected(${Id10299}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10305;(Id10305) Was she pregnant at the time of death?;;not(selected(${Id10299}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10306;(Id10306) Did she die within 6 weeks of delivery, abortion or miscarriage?;;selected(${Id10305}, 'dk') or selected(${Id10305}, 'no') or selected(${Id10305}, 'ref');yes;;;;;;;
select_one YES_NO_DK_REF;Id10307;(Id10307) Did this woman die more than 6 weeks after being pregnant or delivering a baby?;; (selected(${Id10306}, 'dk') or selected(${Id10306}, 'no') or selected(${Id10306}, 'ref')) and  (selected(${Id10305}, 'dk') or selected(${Id10305}, 'no') or selected(${Id10305}, 'ref'));;;;;;;;
select_one YES_NO_DK_REF;Id10308;(Id10308) Was this a woman who died less than 1 year after being pregnant or delivering a baby?;;selected(${Id10307}, 'yes');;;;;;;;
integer;Id10309;(Id10309) For how many months was she pregnant?;"Important is the distinction beween early and late pregnancy (threshold is 6 months).  For don't know, enter ""99."" For refused, enter ""88.""";selected(${Id10305}, 'yes');;;;;;(.>=0 and .<=11) or .=99 or .=88;Please enter a value between 0 and 11 months.  If the response is more than 11, confirm the response and enter 11.;
select_one YES_NO_DK_REF2;Id10310;(Id10310) Please confirm, when she died, she was NEITHER pregnant NOR had delivered, had an abortion, or miscarried within 12 months of when she died--is that right?;This questions serves to confirm that no maternal death is missed.;" ((((selected(${Id10306}, 'dk') or selected(${Id10306}, 'no') or selected(${Id10306}, 'ref')) and 
(selected(${Id10307}, 'dk') or selected(${Id10307}, 'no') or selected(${Id10307}, 'ref') )) or
((selected(${Id10306}, 'dk') or selected(${Id10306}, 'no') or selected(${Id10306}, 'ref')) and 
(selected(${Id10308}, 'dk') or selected(${Id10308}, 'no') or selected(${Id10308}, 'ref') ))) and
 (${Id10309} = 'NaN' or string-length(${Id10309}) = 0)) or
 (${Id10300} != 'NaN' and string-length(${Id10300}) != 0)";yes;;;;;;;
note;Id10310_check;"(Id10310_check) If the response is NO, DON’T KNOW, OR REFUSED, it indicates some uncertainty as to whether the cause of death could have been a maternal or pregnancy-related cause. Go back to the question ""Did she ever have a period or menstruate?"" and follow the process again. If it is confirmed that the death was related to pregnancy, proceed with the next question “Did she die during labour or delivery?” ";;selected(${Id10310}, 'no');;;;;;;;
begin group;group_maternal;Questions about possible maternal deaths;;not(selected(${Id10310}, 'yes'));;;;;;;;
select_one YES_NO_DK_REF;Id10312;(Id10312) Did she die during labour or delivery?;Labor is the period of time by which contractions are less than 10 minutes apart.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10313;(Id10313) Did she die after delivering a baby?;;not(selected(${Id10312}, 'yes'));yes;;;;;;;
select_one YES_NO_DK_REF;Id10314;(Id10314) Did she die within 24 hours after delivery?;;selected(${Id10313}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10315_a;(Id10315) Did she die within 6 weeks of childbirth?;;${Id10312}!='yes' and  ${Id10314}!='yes' and ${Id10306}!='no';;;;;;;;
calculate;Id10315;(Id10315) Did she die within 6 weeks of childbirth?;;${Id10312}!='yes' and  ${Id10314}!='yes';;;;if(${Id10306}='no', ${Id10306}, ${Id10315_a});;;;
select_one YES_NO_DK_REF;Id10316;(Id10316) Did she give birth to a live baby (within 6 weeks of her death)?;The important aspect is if the baby was alive.;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10317;(Id10317) Did she die during or after a multiple pregnancy?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10318;(Id10318) Was she breastfeeding the child in the days before death?;;not(selected(${Id10312}, 'yes')) and not(selected(${Id10314}, 'yes')) and selected(${Id10316}, 'yes');yes;;;;;;;
integer;Id10319;(Id10319) How many births, including stillbirths, did she/the mother have before this baby?;"For don't know, enter ""99."" For refused, enter ""88.""";;yes;;;;;(.>=0 and .<=20) or .=99 or .=88;Please enter a value between 0 and 20.  If the response is more than 20, confirm the response and enter 20.;
select_one YES_NO_DK_REF;Id10320;(Id10320) Had she had any previous Caesarean section?;;${Id10319} != '0';yes;;;;;;;
select_one YES_NO_DK_REF;Id10321;(Id10321) During pregnancy, did she suffer from high blood pressure?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10322;(Id10322) Did she have foul smelling vaginal discharge during pregnancy or after delivery?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10323;(Id10323) During the last 3 months of pregnancy, did she suffer from convulsions?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10324;(Id10324) During the last 3 months of pregnancy did she suffer from blurred vision?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10325;(Id10325) Did bleeding occur while she was pregnant?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10326;(Id10326) Was there vaginal bleeding during the first 6 months of pregnancy?;;selected(${Id10325}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10327;(Id10327) Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?;Make sure the respondent understands that it is important that this bleeding happened before birth;selected(${Id10325}, 'yes');yes;;;;;;;
select_one YES_NO_DK_REF;Id10328;(Id10328) Did she have excessive bleeding during labour or delivery?;Here the excessive quantity of blood DURING birth is what we ask for;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10329;(Id10329) Did she have excessive bleeding after delivery or abortion?;Here the excessive quantity of blood AFTER birth is what we ask for;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10330;(Id10330) Was the placenta completely delivered?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10331;(Id10331) Did she deliver or try to deliver an abnormally positioned baby?;"Enquire the respondent about his/hers understanding of what is an abnormally positioned baby; if unclear or wrong, explain that it refers to babys' whose first body part exiting the vagina is not the head.";;yes;;;;;;;
integer;Id10332;(Id10332) For how many hours was she in labour?;"The answer could be given in another unit, but for data entry use hours. Less than 60 minutes = 0 hours. 1 day=24 hours. Enter ""99"" for ""don't know."" Enter ""88"" for ""refuse.""";;yes;;;;;.>=0 and .<=99;Please enter a value between 0 and 99.  If response was greater than 98 hours, confirm the response and enter 98.;
select_one YES_NO_DK_REF;Id10333;(Id10333) Did she attempt to terminate the pregnancy?;;;yes;;;;;;;
select_one YES_NO_DK_REF;Id10334;(Id10334) Did she recently have a pregnancy that ended in an abortion (spontaneous or induced)?;;not(selected(${Id10316}, 'yes'));yes;;;;;;;
