Well: A1 - 80,000 HCMVEC
Spectrum: Run.1 measured at 23/07/2020 5:09:48 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
129.15,279.38,-50.60
166.81,241.53,-46.41
215.44,212.41,-42.16
278.26,189.25,-38.54
359.38,171.29,-34.57
464.16,156.42,-30.89
599.48,145.04,-27.64
774.26,135.89,-24.69
1000.00,128.02,-22.12
1291.55,121.30,-19.77
1668.10,115.42,-17.67
2154.43,110.32,-15.72
2782.56,106.06,-13.85
3593.81,102.48,-12.03
4641.59,99.65,-10.39
5994.84,97.41,-8.91
7742.64,95.63,-7.62
10000.00,94.24,-6.54
12915.50,93.24,-5.54
16681.01,92.28,-4.74
21544.35,91.47,-4.07
27825.59,90.73,-3.52
35938.14,89.92,-3.19
46415.89,89.22,-2.91
59948.43,88.16,-2.47
77426.37,87.04,-1.95
100000.00,85.69,-1.18


Well: A5 - 20,000 HCMVEC
Spectrum: Run.61 measured at 24/07/2020 12:12:44 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14801.66,-77.90
1.29,11878.47,-77.47
1.67,9380.79,-76.96
2.15,7553.44,-76.70
2.78,6011.36,-76.27
3.59,4821.71,-75.77
4.64,3918.41,-75.80
5.99,3142.68,-75.22
7.74,2522.78,-74.46
10.00,2027.47,-73.63
12.92,1630.51,-72.57
16.68,1314.27,-71.31
21.54,1061.98,-69.91
27.83,859.89,-68.28
35.94,699.73,-66.30
46.42,571.98,-63.91
59.95,471.22,-61.24
77.43,391.64,-58.06
100.00,328.60,-54.54
129.15,280.07,-50.62
166.81,241.85,-46.52
215.44,212.72,-42.24
278.26,189.70,-38.56
359.38,171.54,-34.55
464.16,156.59,-30.96
599.48,145.28,-27.62
774.26,135.99,-24.70
1000.00,128.15,-22.10
1291.55,121.38,-19.80
1668.10,115.49,-17.68
2154.43,110.51,-15.74
2782.56,106.16,-13.86
3593.81,102.62,-12.04
4641.59,99.77,-10.44
5994.84,97.54,-8.91
7742.64,95.77,-7.68
10000.00,94.37,-6.55
12915.50,93.31,-5.59
16681.01,92.35,-4.81
21544.35,91.62,-4.17
27825.59,90.84,-3.62
35938.14,89.93,-3.20
46415.89,89.21,-3.00
59948.43,88.13,-2.58
77426.37,86.92,-1.96
100000.00,85.66,-1.31


Well: A5 - 20,000 HCMVEC
Spectrum: Run.65 measured at 24/07/2020 1:28:54 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14779.11,-77.77
1.29,11803.61,-77.47
1.67,9444.60,-76.76
2.15,7540.39,-76.64
2.78,6044.40,-76.01
3.59,4831.14,-75.65
4.64,3953.20,-75.61
5.99,3157.97,-75.24
7.74,2536.21,-74.52
10.00,2031.72,-73.63
12.92,1636.37,-72.49
16.68,1317.16,-71.39
21.54,1063.78,-70.00
27.83,861.68,-68.23
35.94,701.13,-66.28
46.42,573.27,-63.91
59.95,472.12,-61.16
77.43,392.56,-58.06
100.00,329.27,-54.56
129.15,280.55,-50.64
166.81,242.54,-46.52
215.44,212.98,-42.22
278.26,190.03,-38.55
359.38,171.92,-34.56
464.16,156.85,-30.89
599.48,145.42,-27.59
774.26,136.17,-24.78
1000.00,128.34,-22.18
1291.55,121.71,-19.81
1668.10,115.80,-17.70
2154.43,110.85,-15.68
2782.56,106.48,-13.81
3593.81,102.86,-12.08
4641.59,100.06,-10.42
5994.84,97.77,-8.92
7742.64,95.99,-7.66
10000.00,94.61,-6.60
12915.50,93.52,-5.67
16681.01,92.70,-4.84
21544.35,91.78,-4.25
27825.59,90.99,-3.67
35938.14,90.04,-3.35
46415.89,89.26,-3.16
59948.43,88.08,-2.70
77426.37,86.86,-1.97
100000.00,85.68,-1.36


Well: A5 - 20,000 HCMVEC
Spectrum: Run.69 measured at 24/07/2020 2:45:02 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14908.68,-77.82
1.29,11907.64,-77.43
1.67,9432.57,-76.99
2.15,7592.60,-76.73
2.78,6036.69,-76.27
3.59,4840.10,-75.76
4.64,3944.07,-75.86
5.99,3160.14,-75.31
7.74,2536.97,-74.44
10.00,2038.26,-73.63
12.92,1638.76,-72.58
16.68,1321.21,-71.30
21.54,1066.58,-69.97
27.83,863.50,-68.25
35.94,702.50,-66.31
46.42,574.36,-63.98
59.95,472.87,-61.22
77.43,392.87,-58.01
100.00,329.80,-54.54
129.15,280.63,-50.64
166.81,242.70,-46.52
215.44,213.07,-42.18
278.26,190.37,-38.53
359.38,172.25,-34.53
464.16,157.22,-30.84
599.48,145.78,-27.64
774.26,136.36,-24.76
1000.00,128.70,-22.10
1291.55,121.84,-19.81
1668.10,115.91,-17.74
2154.43,110.83,-15.67
2782.56,106.56,-13.80
3593.81,103.03,-12.04
4641.59,100.14,-10.41
5994.84,97.90,-8.91
7742.64,96.12,-7.65
10000.00,94.71,-6.57
12915.50,93.63,-5.67
16681.01,92.77,-4.89
21544.35,91.79,-4.27
27825.59,90.97,-3.73
35938.14,90.00,-3.37
46415.89,89.19,-3.22
59948.43,88.06,-2.79
77426.37,86.83,-2.19
100000.00,85.46,-1.48


Well: A5 - 20,000 HCMVEC
Spectrum: Run.73 measured at 24/07/2020 4:01:11 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14907.49,-77.85
1.29,11961.56,-77.53
1.67,9455.23,-76.88
2.15,7603.16,-76.73
2.78,6059.34,-76.08
3.59,4854.46,-75.78
4.64,3962.72,-75.67
5.99,3175.80,-75.09
7.74,2550.73,-74.50
10.00,2045.85,-73.53
12.92,1641.72,-72.71
16.68,1324.60,-71.33
21.54,1069.80,-69.97
27.83,865.56,-68.32
35.94,704.49,-66.34
46.42,575.89,-64.00
59.95,474.22,-61.30
77.43,393.95,-58.12
100.00,330.83,-54.62
129.15,281.22,-50.69
166.81,243.33,-46.57
215.44,213.79,-42.29
278.26,190.60,-38.62
359.38,172.36,-34.55
464.16,157.31,-30.90
599.48,145.88,-27.68
774.26,136.43,-24.75
1000.00,128.81,-22.15
1291.55,121.89,-19.80
1668.10,116.03,-17.69
2154.43,110.95,-15.72
2782.56,106.68,-13.85
3593.81,103.04,-12.07
4641.59,100.24,-10.43
5994.84,97.99,-8.95
7742.64,96.15,-7.73
10000.00,94.81,-6.61
12915.50,93.76,-5.75
16681.01,92.79,-5.03
21544.35,91.89,-4.40
27825.59,91.08,-3.81
35938.14,90.07,-3.54
46415.89,89.23,-3.35
59948.43,87.96,-2.90
77426.37,86.70,-2.29
100000.00,85.34,-1.57


Well: A5 - 20,000 HCMVEC
Spectrum: Run.77 measured at 24/07/2020 5:17:20 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14999.01,-77.75
1.29,11991.89,-77.22
1.67,9503.78,-77.16
2.15,7653.12,-76.69
2.78,6083.63,-76.34
3.59,4874.18,-75.73
4.64,3976.58,-75.79
5.99,3186.98,-75.29
7.74,2551.83,-74.47
10.00,2048.98,-73.65
12.92,1647.02,-72.67
16.68,1327.26,-71.46
21.54,1072.62,-69.94
27.83,868.73,-68.34
35.94,706.01,-66.37
46.42,577.28,-64.08
59.95,475.22,-61.33
77.43,395.02,-58.16
100.00,331.53,-54.66
129.15,281.91,-50.80
166.81,243.65,-46.59
215.44,214.25,-42.38
278.26,190.83,-38.66
359.38,172.54,-34.60
464.16,157.65,-31.00
599.48,145.99,-27.69
774.26,136.61,-24.78
1000.00,128.69,-22.17
1291.55,121.96,-19.86
1668.10,115.97,-17.85
2154.43,110.99,-15.76
2782.56,106.69,-13.87
3593.81,103.15,-12.08
4641.59,100.24,-10.47
5994.84,97.99,-8.97
7742.64,96.17,-7.78
10000.00,94.85,-6.74
12915.50,93.71,-5.79
16681.01,92.76,-5.04
21544.35,91.85,-4.48
27825.59,91.03,-3.88
35938.14,89.95,-3.54
46415.89,89.03,-3.35
59948.43,87.91,-2.95
77426.37,86.72,-2.46
100000.00,85.24,-1.68


Well: A5 - 20,000 HCMVEC
Spectrum: Run.81 measured at 24/07/2020 6:33:29 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14992.44,-77.52
1.29,11948.93,-76.98
1.67,9585.39,-76.99
2.15,7647.66,-76.44
2.78,6130.96,-76.23
3.59,4894.60,-75.70
4.64,3986.07,-75.83
5.99,3186.91,-75.56
7.74,2557.58,-74.46
10.00,2056.13,-73.63
12.92,1653.71,-72.61
16.68,1332.05,-71.29
21.54,1075.17,-70.01
27.83,870.49,-68.32
35.94,707.71,-66.35
46.42,578.74,-64.07
59.95,476.36,-61.32
77.43,395.60,-58.16
100.00,332.37,-54.66
129.15,282.57,-50.83
166.81,244.13,-46.61
215.44,214.52,-42.42
278.26,191.02,-38.70
359.38,172.93,-34.71
464.16,157.85,-31.00
599.48,146.18,-27.75
774.26,136.81,-24.79
1000.00,128.92,-22.22
1291.55,122.16,-19.88
1668.10,116.15,-17.75
2154.43,111.08,-15.78
2782.56,106.82,-13.84
3593.81,103.21,-12.07
4641.59,100.37,-10.46
5994.84,98.11,-8.97
7742.64,96.29,-7.77
10000.00,94.92,-6.71
12915.50,93.79,-5.83
16681.01,92.82,-5.10
21544.35,91.89,-4.51
27825.59,91.08,-3.95
35938.14,89.90,-3.61
46415.89,88.99,-3.41
59948.43,87.79,-2.97
77426.37,86.44,-2.39
100000.00,85.11,-1.71


Well: A5 - 20,000 HCMVEC
Spectrum: Run.85 measured at 24/07/2020 7:49:39 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,14997.43,-77.71
1.29,11937.53,-77.24
1.67,9570.20,-76.82
2.15,7644.78,-76.57
2.78,6132.61,-76.07
3.59,4895.62,-75.62
4.64,3997.32,-75.73
5.99,3211.07,-75.30
7.74,2558.25,-74.69
10.00,2057.44,-73.74
12.92,1657.13,-72.60
16.68,1333.85,-71.48
21.54,1078.06,-70.00
27.83,872.79,-68.37
35.94,709.51,-66.43
46.42,579.95,-64.10
59.95,477.55,-61.36
77.43,396.28,-58.24
100.00,332.90,-54.72
129.15,282.87,-50.85
166.81,244.31,-46.74
215.44,214.66,-42.46
278.26,191.50,-38.73
359.38,172.89,-34.78
464.16,157.84,-31.13
599.48,146.20,-27.76
774.26,136.81,-24.90
1000.00,128.98,-22.32
1291.55,122.06,-19.90
1668.10,116.09,-17.85
2154.43,111.08,-15.79
2782.56,106.74,-13.90
3593.81,103.17,-12.09
4641.59,100.36,-10.51
5994.84,98.11,-9.02
7742.64,96.31,-7.80
10000.00,94.86,-6.76
12915.50,93.78,-5.84
16681.01,92.84,-5.14
21544.35,91.82,-4.57
27825.59,90.97,-4.00
35938.14,89.79,-3.76
46415.89,88.90,-3.59
59948.43,87.67,-3.10
77426.37,86.28,-2.57
100000.00,84.88,-1.78


Well: A5 - 20,000 HCMVEC
Spectrum: Run.89 measured at 24/07/2020 9:05:48 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15010.34,-77.69
1.29,11995.33,-77.45
1.67,9583.54,-76.64
2.15,7669.06,-76.58
2.78,6141.19,-75.99
3.59,4907.41,-75.63
4.64,3991.27,-75.82
5.99,3216.49,-75.17
7.74,2574.01,-74.59
10.00,2064.39,-73.73
12.92,1660.04,-72.69
16.68,1337.40,-71.50
21.54,1080.50,-70.10
27.83,874.60,-68.41
35.94,711.72,-66.44
46.42,581.49,-64.13
59.95,478.63,-61.45
77.43,397.50,-58.30
100.00,333.77,-54.77
129.15,283.52,-50.95
166.81,244.97,-46.83
215.44,214.83,-42.45
278.26,191.58,-38.84
359.38,172.93,-34.89
464.16,157.95,-31.15
599.48,146.26,-27.89
774.26,136.73,-24.93
1000.00,128.67,-22.32
1291.55,122.02,-19.97
1668.10,116.06,-17.95
2154.43,110.99,-15.85
2782.56,106.76,-13.95
3593.81,103.09,-12.16
4641.59,100.31,-10.53
5994.84,98.07,-9.08
7742.64,96.27,-7.88
10000.00,94.84,-6.81
12915.50,93.70,-5.91
16681.01,92.73,-5.20
21544.35,91.75,-4.65
27825.59,90.87,-4.07
35938.14,89.69,-3.85
46415.89,88.77,-3.56
59948.43,87.49,-3.19
77426.37,86.03,-2.62
100000.00,84.69,-1.86


Well: A5 - 20,000 HCMVEC
Spectrum: Run.93 measured at 24/07/2020 10:21:53 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15126.85,-77.56
1.29,12087.67,-76.87
1.67,9634.40,-77.02
2.15,7715.91,-76.48
2.78,6159.62,-76.37
3.59,4930.93,-75.67
4.64,4010.23,-75.87
5.99,3217.36,-75.40
7.74,2576.00,-74.50
10.00,2071.52,-73.62
12.92,1665.30,-72.61
16.68,1341.98,-71.45
21.54,1083.64,-70.07
27.83,877.37,-68.46
35.94,713.43,-66.49
46.42,582.90,-64.19
59.95,479.99,-61.51
77.43,398.44,-58.34
100.00,334.28,-54.80
129.15,284.00,-51.04
166.81,245.17,-46.88
215.44,215.20,-42.54
278.26,191.66,-38.86
359.38,173.10,-34.91
464.16,158.10,-31.23
599.48,146.26,-27.95
774.26,136.82,-24.97
1000.00,128.89,-22.40
1291.55,121.99,-20.02
1668.10,116.01,-17.85
2154.43,110.96,-15.91
2782.56,106.64,-14.00
3593.81,103.07,-12.18
4641.59,100.20,-10.56
5994.84,98.03,-9.12
7742.64,96.15,-7.90
10000.00,94.76,-6.82
12915.50,93.63,-5.96
16681.01,92.62,-5.26
21544.35,91.66,-4.70
27825.59,90.70,-4.18
35938.14,89.57,-3.89
46415.89,88.57,-3.65
59948.43,87.30,-3.24
77426.37,85.87,-2.71
100000.00,84.44,-1.86


Well: A5 - 20,000 HCMVEC
Spectrum: Run.97 measured at 24/07/2020 11:37:54 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15164.29,-77.80
1.29,12105.83,-77.40
1.67,9603.00,-76.92
2.15,7736.04,-76.71
2.78,6154.18,-76.16
3.59,4928.31,-75.69
4.64,4024.41,-75.81
5.99,3214.51,-75.26
7.74,2597.92,-74.40
10.00,2079.22,-73.57
12.92,1670.84,-72.62
16.68,1345.82,-71.42
21.54,1087.30,-70.00
27.83,880.05,-68.43
35.94,715.85,-66.46
46.42,584.65,-64.23
59.95,481.20,-61.53
77.43,399.38,-58.41
100.00,335.27,-54.90
129.15,284.70,-51.01
166.81,246.05,-46.91
215.44,215.49,-42.67
278.26,191.88,-38.98
359.38,173.48,-34.97
464.16,158.30,-31.27
599.48,146.50,-27.98
774.26,136.97,-25.06
1000.00,128.94,-22.47
1291.55,122.06,-20.09
1668.10,116.13,-17.89
2154.43,111.05,-15.90
2782.56,106.75,-14.06
3593.81,103.19,-12.20
4641.59,100.30,-10.59
5994.84,98.08,-9.10
7742.64,96.28,-7.90
10000.00,94.85,-6.84
12915.50,93.70,-6.03
16681.01,92.67,-5.32
21544.35,91.64,-4.76
27825.59,90.71,-4.27
35938.14,89.58,-3.97
46415.89,88.57,-3.75
59948.43,87.27,-3.32
77426.37,85.81,-2.74
100000.00,84.36,-2.00


Well: A5 - 20,000 HCMVEC
Spectrum: Run.101 measured at 25/07/2020 12:53:56 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15217.42,-77.58
1.29,12195.61,-76.95
1.67,9654.26,-77.03
2.15,7759.34,-76.53
2.78,6183.88,-76.30
3.59,4951.37,-75.70
4.64,4029.24,-75.81
5.99,3231.58,-75.33
7.74,2598.04,-74.36
10.00,2082.45,-73.63
12.92,1675.47,-72.61
16.68,1349.97,-71.40
21.54,1090.27,-70.11
27.83,882.54,-68.50
35.94,717.75,-66.47
46.42,586.77,-64.23
59.95,482.66,-61.53
77.43,400.76,-58.45
100.00,336.32,-54.92
129.15,285.47,-51.06
166.81,246.58,-46.96
215.44,215.99,-42.76
278.26,192.60,-38.92
359.38,173.69,-35.06
464.16,158.48,-31.32
599.48,146.75,-28.01
774.26,137.17,-25.04
1000.00,129.20,-22.45
1291.55,122.28,-20.09
1668.10,116.36,-17.99
2154.43,111.20,-15.92
2782.56,106.88,-14.01
3593.81,103.35,-12.17
4641.59,100.46,-10.60
5994.84,98.22,-9.13
7742.64,96.41,-7.91
10000.00,94.90,-6.90
12915.50,93.85,-6.05
16681.01,92.81,-5.38
21544.35,91.78,-4.80
27825.59,90.71,-4.37
35938.14,89.61,-4.11
46415.89,88.52,-3.84
59948.43,87.18,-3.43
77426.37,85.78,-2.90
100000.00,84.27,-2.12


Well: A5 - 20,000 HCMVEC
Spectrum: Run.105 measured at 25/07/2020 2:09:57 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15164.68,-77.59
1.29,12101.17,-77.32
1.67,9702.89,-76.63
2.15,7750.10,-76.49
2.78,6207.63,-75.90
3.59,4961.74,-75.55
4.64,4055.93,-75.65
5.99,3258.46,-75.09
7.74,2605.52,-74.52
10.00,2091.49,-73.64
12.92,1680.41,-72.65
16.68,1354.83,-71.43
21.54,1094.01,-70.07
27.83,885.94,-68.49
35.94,720.45,-66.49
46.42,588.96,-64.25
59.95,484.39,-61.58
77.43,402.01,-58.49
100.00,337.02,-54.97
129.15,286.35,-51.16
166.81,247.11,-47.04
215.44,216.46,-42.77
278.26,192.65,-39.17
359.38,174.04,-35.11
464.16,158.81,-31.35
599.48,146.91,-28.08
774.26,137.31,-25.14
1000.00,129.33,-22.50
1291.55,122.42,-20.18
1668.10,116.47,-17.91
2154.43,111.27,-15.94
2782.56,106.95,-14.08
3593.81,103.37,-12.25
4641.59,100.50,-10.63
5994.84,98.26,-9.12
7742.64,96.47,-7.95
10000.00,94.97,-6.91
12915.50,93.86,-6.10
16681.01,92.82,-5.40
21544.35,91.74,-4.87
27825.59,90.75,-4.42
35938.14,89.49,-4.09
46415.89,88.44,-3.86
59948.43,87.10,-3.52
77426.37,85.64,-3.00
100000.00,84.20,-2.13


Well: A5 - 20,000 HCMVEC
Spectrum: Run.109 measured at 25/07/2020 3:26:00 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15284.12,-77.39
1.29,12206.01,-76.84
1.67,9756.27,-76.95
2.15,7800.38,-76.36
2.78,6244.92,-76.26
3.59,4988.77,-75.62
4.64,4055.65,-75.76
5.99,3261.11,-75.32
7.74,2610.28,-74.38
10.00,2096.72,-73.66
12.92,1687.14,-72.62
16.68,1359.95,-71.41
21.54,1098.70,-70.03
27.83,889.44,-68.45
35.94,723.18,-66.54
46.42,590.78,-64.28
59.95,486.09,-61.61
77.43,403.23,-58.53
100.00,338.33,-55.04
129.15,286.72,-51.29
166.81,247.21,-47.12
215.44,216.88,-42.87
278.26,192.81,-39.25
359.38,174.11,-35.22
464.16,158.80,-31.52
599.48,147.00,-28.18
774.26,137.41,-25.17
1000.00,129.44,-22.51
1291.55,122.50,-20.14
1668.10,116.55,-17.97
2154.43,111.35,-15.99
2782.56,107.00,-14.09
3593.81,103.42,-12.28
4641.59,100.58,-10.60
5994.84,98.28,-9.19
7742.64,96.51,-8.02
10000.00,94.99,-6.99
12915.50,93.86,-6.18
16681.01,92.83,-5.50
21544.35,91.78,-4.95
27825.59,90.78,-4.46
35938.14,89.50,-4.20
46415.89,88.45,-4.07
59948.43,87.05,-3.55
77426.37,85.51,-2.92
100000.00,84.00,-2.24


Well: A5 - 20,000 HCMVEC
Spectrum: Run.113 measured at 25/07/2020 4:42:05 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15350.14,-77.51
1.29,12292.56,-76.82
1.67,9754.60,-76.93
2.15,7833.05,-76.46
2.78,6243.48,-76.26
3.59,5006.54,-75.66
4.64,4068.42,-75.76
5.99,3265.04,-75.36
7.74,2618.29,-74.41
10.00,2106.31,-73.61
12.92,1694.05,-72.59
16.68,1364.86,-71.47
21.54,1102.08,-70.10
27.83,892.45,-68.51
35.94,725.74,-66.61
46.42,592.72,-64.36
59.95,487.25,-61.77
77.43,404.25,-58.62
100.00,339.10,-55.14
129.15,287.49,-51.40
166.81,247.73,-47.25
215.44,217.41,-43.03
278.26,193.00,-39.31
359.38,174.32,-35.22
464.16,159.06,-31.50
599.48,147.06,-28.21
774.26,137.43,-25.29
1000.00,129.35,-22.59
1291.55,122.35,-20.25
1668.10,116.43,-17.99
2154.43,111.22,-15.99
2782.56,106.84,-14.12
3593.81,103.25,-12.29
4641.59,100.46,-10.66
5994.84,98.18,-9.25
7742.64,96.39,-8.02
10000.00,94.88,-7.01
12915.50,93.81,-6.18
16681.01,92.73,-5.53
21544.35,91.65,-4.98
27825.59,90.68,-4.50
35938.14,89.32,-4.20
46415.89,88.29,-4.12
59948.43,86.91,-3.68
77426.37,85.33,-2.98
100000.00,83.92,-2.31


Well: A5 - 20,000 HCMVEC
Spectrum: Run.117 measured at 25/07/2020 5:58:11 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15382.50,-77.40
1.29,12301.90,-76.71
1.67,9805.96,-76.88
2.15,7853.30,-76.37
2.78,6266.35,-76.22
3.59,5020.01,-75.57
4.64,4090.93,-75.71
5.99,3285.37,-75.31
7.74,2626.94,-74.42
10.00,2113.19,-73.62
12.92,1700.86,-72.57
16.68,1370.38,-71.45
21.54,1106.24,-70.10
27.83,895.70,-68.56
35.94,727.98,-66.64
46.42,594.62,-64.39
59.95,488.88,-61.82
77.43,405.46,-58.68
100.00,339.75,-55.22
129.15,287.89,-51.41
166.81,248.35,-47.29
215.44,217.59,-43.05
278.26,193.58,-39.36
359.38,174.63,-35.26
464.16,159.24,-31.55
599.48,147.21,-28.24
774.26,137.57,-25.29
1000.00,129.43,-22.66
1291.55,122.49,-20.23
1668.10,116.46,-18.05
2154.43,111.27,-16.05
2782.56,106.87,-14.18
3593.81,103.31,-12.28
4641.59,100.53,-10.65
5994.84,98.23,-9.20
7742.64,96.40,-8.02
10000.00,94.87,-7.04
12915.50,93.80,-6.20
16681.01,92.72,-5.56
21544.35,91.63,-5.03
27825.59,90.61,-4.57
35938.14,89.33,-4.35
46415.89,88.16,-4.13
59948.43,86.79,-3.69
77426.37,85.27,-3.12
100000.00,83.79,-2.37


Well: A5 - 20,000 HCMVEC
Spectrum: Run.121 measured at 25/07/2020 7:14:17 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15360.79,-77.33
1.29,12241.94,-77.01
1.67,9851.26,-76.54
2.15,7853.40,-76.29
2.78,6304.65,-75.94
3.59,5031.23,-75.42
4.64,4103.50,-75.64
5.99,3305.86,-75.14
7.74,2645.67,-74.48
10.00,2123.27,-73.59
12.92,1706.12,-72.63
16.68,1375.46,-71.51
21.54,1110.80,-70.12
27.83,898.80,-68.59
35.94,730.57,-66.67
46.42,596.61,-64.45
59.95,490.51,-61.79
77.43,406.49,-58.74
100.00,340.56,-55.25
129.15,288.88,-51.53
166.81,248.79,-47.34
215.44,217.86,-43.09
278.26,194.09,-39.35
359.38,174.86,-35.35
464.16,159.47,-31.62
599.48,147.28,-28.28
774.26,137.69,-25.31
1000.00,129.60,-22.65
1291.55,122.61,-20.29
1668.10,116.55,-18.12
2154.43,111.32,-16.09
2782.56,106.96,-14.09
3593.81,103.44,-12.35
4641.59,100.53,-10.69
5994.84,98.26,-9.24
7742.64,96.48,-8.07
10000.00,94.95,-7.07
12915.50,93.82,-6.23
16681.01,92.74,-5.59
21544.35,91.67,-5.07
27825.59,90.63,-4.57
35938.14,89.27,-4.31
46415.89,88.13,-4.18
59948.43,86.72,-3.74
77426.37,85.14,-3.13
100000.00,83.60,-2.43


Well: A5 - 20,000 HCMVEC
Spectrum: Run.125 measured at 25/07/2020 8:30:24 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15484.03,-77.47
1.29,12426.58,-76.83
1.67,9842.03,-76.87
2.15,7910.68,-76.41
2.78,6302.55,-76.10
3.59,5048.97,-75.59
4.64,4115.65,-75.69
5.99,3301.27,-75.12
7.74,2654.78,-74.38
10.00,2130.95,-73.61
12.92,1712.59,-72.68
16.68,1379.82,-71.58
21.54,1114.43,-70.21
27.83,902.08,-68.62
35.94,733.11,-66.71
46.42,598.55,-64.52
59.95,491.86,-61.90
77.43,407.76,-58.81
100.00,341.32,-55.31
129.15,289.68,-51.54
166.81,249.44,-47.42
215.44,218.42,-43.15
278.26,194.28,-39.45
359.38,175.20,-35.46
464.16,159.77,-31.67
599.48,147.60,-28.32
774.26,137.83,-25.37
1000.00,129.66,-22.69
1291.55,122.73,-20.33
1668.10,116.62,-18.09
2154.43,111.41,-16.11
2782.56,106.98,-14.22
3593.81,103.46,-12.36
4641.59,100.64,-10.73
5994.84,98.34,-9.29
7742.64,96.53,-8.08
10000.00,95.05,-7.12
12915.50,93.89,-6.29
16681.01,92.79,-5.68
21544.35,91.71,-5.17
27825.59,90.66,-4.69
35938.14,89.33,-4.47
46415.89,88.12,-4.31
59948.43,86.69,-3.85
77426.37,85.14,-3.31
100000.00,83.52,-2.58


Well: A5 - 20,000 HCMVEC
Spectrum: Run.129 measured at 25/07/2020 9:46:30 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15532.53,-77.51
1.29,12422.49,-77.05
1.67,9850.99,-76.74
2.15,7941.45,-76.48
2.78,6312.29,-76.02
3.59,5063.59,-75.58
4.64,4131.55,-75.65
5.99,3308.67,-75.14
7.74,2665.30,-74.32
10.00,2133.90,-73.72
12.92,1718.76,-72.65
16.68,1384.68,-71.53
21.54,1117.96,-70.19
27.83,904.58,-68.66
35.94,735.22,-66.78
46.42,600.35,-64.55
59.95,493.25,-61.90
77.43,408.84,-58.86
100.00,342.46,-55.42
129.15,290.18,-51.62
166.81,249.96,-47.47
215.44,218.72,-43.28
278.26,194.50,-39.46
359.38,175.40,-35.44
464.16,159.87,-31.68
599.48,147.64,-28.42
774.26,137.96,-25.41
1000.00,129.73,-22.79
1291.55,122.67,-20.40
1668.10,116.65,-18.21
2154.43,111.38,-16.21
2782.56,106.96,-14.23
3593.81,103.44,-12.39
4641.59,100.64,-10.73
5994.84,98.28,-9.34
7742.64,96.47,-8.09
10000.00,94.96,-7.10
12915.50,93.83,-6.31
16681.01,92.73,-5.66
21544.35,91.60,-5.21
27825.59,90.53,-4.75
35938.14,89.16,-4.50
46415.89,87.99,-4.31
59948.43,86.55,-3.91
77426.37,84.89,-3.17
100000.00,83.42,-2.58


Well: A5 - 20,000 HCMVEC
Spectrum: Run.133 measured at 25/07/2020 11:02:41 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,15580.49,-77.26
1.29,12448.87,-76.71
1.67,9934.05,-76.80
2.15,7959.90,-76.26
2.78,6364.09,-76.20
3.59,5082.89,-75.53
4.64,4147.36,-75.60
5.99,3322.03,-75.22
7.74,2668.63,-74.56
10.00,2141.66,-73.68
12.92,1723.20,-72.70
16.68,1389.10,-71.53
21.54,1121.41,-70.20
27.83,906.99,-68.64
35.94,737.17,-66.78
46.42,601.84,-64.57
59.95,494.36,-61.94
77.43,409.68,-58.90
100.00,342.99,-55.36
129.15,290.83,-51.64
166.81,250.44,-47.55
215.44,219.07,-43.29
278.26,194.93,-39.56
359.38,175.78,-35.46
464.16,160.13,-31.80
599.48,148.02,-28.37
774.26,138.28,-25.47
1000.00,130.05,-22.87
1291.55,122.97,-20.41
1668.10,116.86,-18.25
2154.43,111.59,-16.15
2782.56,107.29,-14.22
3593.81,103.62,-12.43
4641.59,100.78,-10.78
5994.84,98.47,-9.36
7742.64,96.64,-8.19
10000.00,95.13,-7.18
12915.50,93.93,-6.42
16681.01,92.83,-5.79
21544.35,91.76,-5.28
27825.59,90.52,-4.91
35938.14,89.16,-4.61
46415.89,87.91,-4.48
59948.43,86.51,-4.01
77426.37,84.84,-3.27
100000.00,83.30,-2.71


Well: A5 - 20,000 HCMVEC
