area,chn1997,chn1998,chn1999,chn2000,chn2001,chn2002,chn2003,chn2004,chn2005,chn2006,chn2007,chn2008,chn2009,chn2010,chn2011,chn2012,chn2013,chn2014,chn2015,chn2016,chn2017,chn2018,chn2019,chn2020
E08000030,0.571,0.562,0.546,0.531,0.513,0.488,0.466,0.447,0.427,0.404,0.383,0.357,0.326,0.285,0.240,0.195,0.159,0.140,0.117,0.091,0.058,0.028,0.012,0.000
E08000031,0.583,0.571,0.554,0.540,0.523,0.498,0.473,0.449,0.426,0.403,0.383,0.362,0.337,0.304,0.266,0.223,0.186,0.164,0.138,0.107,0.071,0.035,0.015,0.000
E08000032,0.652,0.642,0.625,0.610,0.588,0.556,0.523,0.494,0.467,0.438,0.411,0.383,0.352,0.314,0.270,0.222,0.180,0.155,0.130,0.101,0.068,0.035,0.015,0.000
E08000033,0.590,0.581,0.574,0.567,0.548,0.518,0.493,0.470,0.445,0.419,0.395,0.366,0.331,0.286,0.239,0.197,0.161,0.138,0.113,0.085,0.055,0.028,0.013,0.000
E08000034,0.623,0.611,0.593,0.576,0.554,0.526,0.503,0.481,0.458,0.434,0.410,0.380,0.344,0.295,0.238,0.188,0.150,0.128,0.107,0.083,0.055,0.029,0.013,0.000
E08000035,0.658,0.647,0.631,0.616,0.598,0.573,0.549,0.527,0.506,0.482,0.457,0.426,0.388,0.334,0.274,0.221,0.178,0.153,0.129,0.101,0.069,0.036,0.016,0.000
E08000036,0.577,0.564,0.545,0.528,0.504,0.471,0.445,0.422,0.400,0.378,0.357,0.331,0.300,0.271,0.231,0.180,0.141,0.119,0.097,0.074,0.052,0.030,0.016,0.000
E08000037,0.592,0.580,0.564,0.550,0.531,0.506,0.485,0.466,0.441,0.413,0.386,0.355,0.315,0.264,0.215,0.178,0.148,0.128,0.105,0.080,0.055,0.028,0.011,0.000
E09000001,0.804,0.797,0.786,0.773,0.750,0.719,0.687,0.658,0.629,0.599,0.572,0.507,0.415,0.355,0.309,0.251,0.197,0.162,0.133,0.096,0.055,0.025,0.010,0.000
E09000002,0.708,0.700,0.686,0.674,0.657,0.633,0.610,0.584,0.559,0.533,0.508,0.477,0.440,0.395,0.345,0.294,0.251,0.223,0.192,0.154,0.104,0.052,0.021,0.000
E09000003,0.667,0.657,0.643,0.627,0.607,0.584,0.560,0.536,0.513,0.488,0.462,0.428,0.386,0.346,0.301,0.241,0.188,0.159,0.135,0.101,0.061,0.028,0.011,0.000
E09000004,0.597,0.585,0.567,0.552,0.532,0.505,0.481,0.459,0.437,0.413,0.391,0.364,0.330,0.298,0.261,0.208,0.160,0.135,0.113,0.087,0.058,0.029,0.012,0.000
E09000005,0.687,0.679,0.666,0.650,0.630,0.607,0.585,0.562,0.536,0.509,0.481,0.443,0.402,0.362,0.318,0.264,0.217,0.188,0.160,0.116,0.067,0.034,0.016,0.000
E09000006,0.611,0.599,0.580,0.564,0.547,0.524,0.501,0.476,0.452,0.426,0.403,0.377,0.343,0.315,0.288,0.239,0.187,0.158,0.132,0.099,0.063,0.031,0.013,0.000
E09000007,0.742,0.734,0.719,0.702,0.685,0.665,0.644,0.621,0.597,0.571,0.544,0.508,0.461,0.414,0.358,0.281,0.214,0.180,0.156,0.112,0.057,0.024,0.009,0.000
E09000008,0.666,0.653,0.635,0.621,0.601,0.575,0.551,0.527,0.504,0.478,0.454,0.424,0.387,0.353,0.317,0.266,0.217,0.187,0.161,0.126,0.081,0.039,0.017,0.000
E09000009,0.657,0.646,0.631,0.617,0.601,0.581,0.565,0.552,0.537,0.521,0.506,0.479,0.424,0.367,0.321,0.275,0.233,0.202,0.172,0.134,0.088,0.046,0.020,0.000
E09000010,0.662,0.652,0.635,0.619,0.603,0.580,0.559,0.537,0.514,0.488,0.461,0.428,0.386,0.345,0.301,0.248,0.200,0.174,0.149,0.117,0.078,0.040,0.018,0.000
E09000011,0.720,0.710,0.696,0.680,0.660,0.637,0.614,0.591,0.566,0.539,0.513,0.481,0.443,0.404,0.357,0.292,0.232,0.196,0.166,0.127,0.081,0.044,0.024,0.000
E09000012,0.803,0.797,0.788,0.768,0.744,0.724,0.705,0.685,0.664,0.641,0.616,0.582,0.544,0.501,0.440,0.363,0.302,0.267,0.240,0.178,0.095,0.042,0.017,0.000
E09000013,0.765,0.757,0.743,0.724,0.705,0.685,0.664,0.644,0.623,0.602,0.579,0.547,0.502,0.456,0.405,0.346,0.293,0.256,0.225,0.175,0.108,0.055,0.025,0.000
E09000014,0.724,0.716,0.703,0.687,0.666,0.642,0.618,0.593,0.566,0.537,0.509,0.474,0.432,0.383,0.331,0.280,0.237,0.210,0.184,0.140,0.083,0.039,0.014,0.000
E09000015,0.631,0.619,0.602,0.588,0.569,0.543,0.520,0.497,0.474,0.449,0.424,0.396,0.364,0.333,0.297,0.249,0.205,0.178,0.153,0.118,0.076,0.038,0.016,0.000
E09000016,0.584,0.573,0.558,0.546,0.528,0.502,0.477,0.453,0.429,0.403,0.379,0.352,0.321,0.288,0.250,0.206,0.170,0.148,0.124,0.097,0.064,0.032,0.014,0.000
E09000017,0.652,0.640,0.623,0.610,0.594,0.572,0.551,0.531,0.512,0.489,0.463,0.431,0.393,0.357,0.317,0.255,0.197,0.168,0.143,0.113,0.077,0.040,0.018,0.000
E09000018,0.680,0.671,0.657,0.645,0.630,0.612,0.593,0.572,0.548,0.521,0.495,0.464,0.428,0.392,0.350,0.291,0.234,0.201,0.171,0.135,0.092,0.049,0.022,0.000
E09000019,0.762,0.754,0.743,0.732,0.720,0.705,0.690,0.675,0.656,0.632,0.604,0.567,0.522,0.474,0.412,0.332,0.268,0.232,0.205,0.155,0.088,0.041,0.017,0.000
E09000020,0.773,0.767,0.757,0.744,0.724,0.697,0.668,0.639,0.610,0.580,0.550,0.503,0.441,0.380,0.319,0.259,0.215,0.189,0.169,0.124,0.064,0.028,0.011,0.000
E09000021,0.636,0.625,0.608,0.594,0.573,0.547,0.525,0.503,0.479,0.451,0.427,0.399,0.362,0.320,0.268,0.209,0.160,0.130,0.106,0.079,0.050,0.025,0.011,0.000
E09000022,0.738,0.727,0.712,0.697,0.682,0.663,0.644,0.625,0.603,0.580,0.556,0.526,0.488,0.446,0.401,0.346,0.295,0.263,0.234,0.185,0.116,0.056,0.023,0.000
E09000023,0.701,0.690,0.673,0.657,0.640,0.615,0.590,0.567,0.545,0.522,0.500,0.471,0.435,0.398,0.357,0.299,0.246,0.213,0.182,0.138,0.086,0.045,0.021,0.000
E09000024,0.669,0.657,0.639,0.624,0.607,0.585,0.564,0.543,0.521,0.497,0.474,0.445,0.410,0.377,0.342,0.291,0.240,0.208,0.179,0.142,0.097,0.051,0.023,0.000
E09000025,0.749,0.738,0.725,0.712,0.695,0.674,0.654,0.633,0.610,0.587,0.562,0.532,0.497,0.462,0.420,0.363,0.310,0.277,0.244,0.194,0.126,0.064,0.027,0.000
E09000026,0.668,0.656,0.639,0.625,0.608,0.585,0.564,0.542,0.518,0.490,0.462,0.430,0.393,0.357,0.317,0.263,0.211,0.181,0.153,0.118,0.080,0.043,0.019,0.000
E09000027,0.644,0.632,0.614,0.598,0.583,0.562,0.539,0.513,0.489,0.464,0.435,0.396,0.347,0.303,0.266,0.228,0.189,0.164,0.141,0.110,0.072,0.037,0.016,0.000
E09000028,0.745,0.735,0.720,0.704,0.685,0.661,0.636,0.611,0.587,0.563,0.540,0.511,0.473,0.437,0.397,0.347,0.300,0.265,0.229,0.172,0.101,0.045,0.017,0.000
E09000029,0.630,0.617,0.598,0.580,0.558,0.530,0.507,0.484,0.461,0.435,0.408,0.375,0.336,0.300,0.267,0.222,0.180,0.153,0.125,0.093,0.059,0.029,0.013,0.000
E09000030,0.794,0.788,0.777,0.764,0.747,0.726,0.703,0.679,0.654,0.625,0.594,0.559,0.520,0.487,0.449,0.401,0.352,0.311,0.268,0.208,0.130,0.063,0.025,0.000
E09000031,0.691,0.680,0.663,0.646,0.627,0.604,0.581,0.558,0.534,0.507,0.480,0.448,0.409,0.368,0.320,0.265,0.221,0.193,0.165,0.126,0.080,0.041,0.018,0.000
E09000032,0.746,0.737,0.724,0.711,0.698,0.683,0.668,0.648,0.625,0.601,0.572,0.534,0.487,0.441,0.390,0.328,0.273,0.240,0.212,0.162,0.096,0.048,0.022,0.000
E09000033,0.773,0.768,0.754,0.735,0.709,0.679,0.651,0.624,0.596,0.568,0.539,0.500,0.449,0.398,0.345,0.285,0.233,0.203,0.178,0.130,0.069,0.031,0.012,0.000
N09000001,0.520,0.508,0.491,0.475,0.457,0.431,0.401,0.367,0.335,0.312,0.296,0.273,0.249,0.230,0.210,0.182,0.153,0.133,0.112,0.086,0.059,0.033,0.017,0.000
N09000002,0.518,0.510,0.498,0.484,0.464,0.436,0.404,0.371,0.341,0.320,0.303,0.282,0.262,0.243,0.219,0.186,0.153,0.129,0.106,0.077,0.051,0.029,0.015,0.000
N09000003,0.556,0.545,0.530,0.518,0.504,0.484,0.459,0.431,0.402,0.380,0.364,0.338,0.309,0.288,0.265,0.228,0.189,0.162,0.135,0.104,0.071,0.037,0.017,0.000
N09000004,0.509,0.501,0.489,0.476,0.456,0.428,0.398,0.367,0.338,0.318,0.303,0.284,0.264,0.245,0.220,0.186,0.152,0.130,0.108,0.081,0.053,0.029,0.015,0.000
N09000005,0.521,0.513,0.502,0.490,0.473,0.448,0.421,0.392,0.367,0.348,0.330,0.301,0.272,0.252,0.229,0.198,0.166,0.143,0.119,0.090,0.058,0.030,0.014,0.000
N09000006,0.645,0.640,0.632,0.620,0.601,0.579,0.555,0.529,0.505,0.490,0.474,0.450,0.428,0.399,0.334,0.256,0.202,0.166,0.135,0.097,0.056,0.028,0.014,0.000
N09000007,0.529,0.518,0.502,0.489,0.474,0.453,0.426,0.397,0.368,0.347,0.329,0.298,0.266,0.245,0.221,0.189,0.159,0.137,0.115,0.088,0.060,0.034,0.018,0.000
N09000008,0.519,0.507,0.491,0.476,0.457,0.430,0.399,0.366,0.335,0.312,0.293,0.263,0.233,0.212,0.191,0.163,0.134,0.115,0.096,0.073,0.050,0.029,0.016,0.000
N09000009,0.503,0.498,0.489,0.478,0.461,0.439,0.416,0.391,0.369,0.353,0.339,0.320,0.301,0.278,0.245,0.206,0.171,0.147,0.124,0.092,0.056,0.028,0.014,0.000
N09000010,0.507,0.500,0.490,0.477,0.459,0.434,0.407,0.379,0.353,0.335,0.320,0.302,0.282,0.261,0.231,0.194,0.159,0.136,0.115,0.086,0.054,0.029,0.014,0.000
N09000011,0.541,0.529,0.513,0.498,0.480,0.455,0.426,0.396,0.365,0.343,0.326,0.296,0.263,0.241,0.217,0.185,0.155,0.136,0.117,0.091,0.063,0.036,0.019,0.000
S12000005,0.594,0.582,0.565,0.549,0.526,0.496,0.465,0.436,0.406,0.377,0.350,0.320,0.289,0.262,0.230,0.194,0.163,0.141,0.117,0.090,0.060,0.030,0.014,0.000
S12000006,0.596,0.587,0.570,0.551,0.527,0.497,0.472,0.448,0.424,0.399,0.374,0.346,0.318,0.277,0.224,0.176,0.141,0.120,0.100,0.075,0.045,0.019,0.007,0.000
S12000008,0.580,0.569,0.551,0.533,0.512,0.485,0.461,0.436,0.410,0.380,0.348,0.316,0.285,0.252,0.214,0.170,0.136,0.117,0.097,0.076,0.053,0.028,0.013,0.000
S12000010,0.610,0.597,0.580,0.563,0.539,0.508,0.481,0.451,0.420,0.387,0.355,0.322,0.293,0.264,0.231,0.197,0.165,0.143,0.123,0.095,0.061,0.030,0.013,0.000
S12000011,0.551,0.538,0.515,0.491,0.467,0.443,0.420,0.396,0.374,0.350,0.326,0.296,0.261,0.225,0.184,0.142,0.110,0.089,0.072,0.052,0.030,0.013,0.004,0.000
S12000013,0.513,0.508,0.492,0.470,0.450,0.431,0.416,0.404,0.391,0.376,0.357,0.335,0.313,0.283,0.235,0.186,0.152,0.132,0.115,0.088,0.053,0.024,0.008,0.000
S12000014,0.588,0.577,0.559,0.541,0.518,0.489,0.460,0.432,0.406,0.379,0.352,0.324,0.296,0.270,0.237,0.200,0.169,0.146,0.123,0.097,0.065,0.033,0.014,0.000
S12000017,0.644,0.636,0.618,0.596,0.572,0.546,0.523,0.502,0.478,0.452,0.422,0.389,0.356,0.315,0.263,0.212,0.172,0.148,0.129,0.101,0.064,0.030,0.012,0.000
S12000018,0.614,0.604,0.579,0.547,0.520,0.495,0.472,0.450,0.427,0.400,0.370,0.335,0.297,0.257,0.211,0.168,0.135,0.114,0.096,0.069,0.039,0.018,0.008,0.000
S12000019,0.544,0.533,0.517,0.503,0.484,0.460,0.438,0.415,0.392,0.367,0.341,0.312,0.285,0.260,0.233,0.201,0.171,0.149,0.125,0.098,0.064,0.032,0.014,0.000
S12000020,0.622,0.612,0.596,0.580,0.560,0.534,0.507,0.480,0.454,0.428,0.402,0.374,0.344,0.307,0.261,0.213,0.175,0.152,0.130,0.104,0.071,0.038,0.017,0.000
S12000021,0.583,0.570,0.550,0.531,0.510,0.483,0.458,0.434,0.408,0.379,0.350,0.317,0.284,0.250,0.212,0.168,0.132,0.112,0.091,0.070,0.047,0.024,0.012,0.000
S12000023,0.605,0.598,0.585,0.565,0.538,0.511,0.487,0.467,0.446,0.422,0.398,0.372,0.342,0.303,0.252,0.200,0.161,0.138,0.118,0.093,0.059,0.029,0.013,0.000
S12000026,0.637,0.627,0.610,0.589,0.566,0.538,0.514,0.493,0.469,0.438,0.406,0.376,0.348,0.308,0.256,0.209,0.170,0.147,0.125,0.099,0.066,0.038,0.022,0.000
S12000027,0.564,0.557,0.544,0.525,0.503,0.480,0.461,0.442,0.420,0.395,0.369,0.342,0.315,0.286,0.248,0.203,0.167,0.146,0.127,0.104,0.075,0.041,0.017,0.000
S12000028,0.562,0.549,0.530,0.512,0.491,0.465,0.440,0.416,0.391,0.364,0.336,0.307,0.276,0.243,0.204,0.158,0.121,0.101,0.082,0.062,0.042,0.022,0.010,0.000
S12000029,0.591,0.581,0.567,0.549,0.522,0.489,0.461,0.434,0.406,0.374,0.342,0.315,0.291,0.262,0.225,0.187,0.156,0.137,0.117,0.091,0.059,0.029,0.012,0.000
S12000030,0.589,0.578,0.560,0.541,0.518,0.491,0.466,0.442,0.420,0.396,0.372,0.344,0.316,0.281,0.238,0.198,0.166,0.143,0.121,0.093,0.060,0.031,0.014,0.000
S12000033,0.651,0.639,0.623,0.611,0.595,0.572,0.547,0.520,0.495,0.469,0.443,0.409,0.370,0.330,0.284,0.231,0.189,0.164,0.139,0.111,0.077,0.042,0.020,0.000
S12000034,0.622,0.613,0.597,0.579,0.557,0.529,0.499,0.470,0.443,0.416,0.389,0.359,0.327,0.290,0.243,0.193,0.155,0.133,0.113,0.090,0.062,0.034,0.016,0.000
S12000035,0.662,0.654,0.631,0.604,0.583,0.554,0.522,0.497,0.473,0.449,0.423,0.394,0.362,0.324,0.272,0.217,0.173,0.147,0.126,0.097,0.059,0.029,0.013,0.000
S12000036,0.706,0.699,0.689,0.676,0.659,0.638,0.618,0.598,0.577,0.554,0.531,0.487,0.424,0.357,0.296,0.250,0.212,0.184,0.162,0.121,0.067,0.032,0.015,0.000
S12000038,0.631,0.621,0.601,0.578,0.556,0.532,0.508,0.485,0.461,0.436,0.405,0.363,0.319,0.278,0.231,0.186,0.150,0.127,0.105,0.078,0.046,0.023,0.011,0.000
S12000039,0.660,0.650,0.628,0.601,0.573,0.543,0.516,0.490,0.463,0.435,0.408,0.378,0.348,0.311,0.265,0.213,0.170,0.144,0.122,0.088,0.048,0.023,0.010,0.000
S12000040,0.586,0.574,0.557,0.538,0.513,0.481,0.451,0.420,0.389,0.357,0.328,0.298,0.270,0.247,0.221,0.190,0.161,0.140,0.117,0.092,0.062,0.031,0.013,0.000
S12000041,0.633,0.624,0.606,0.584,0.559,0.528,0.498,0.471,0.444,0.416,0.388,0.357,0.322,0.286,0.243,0.196,0.158,0.135,0.114,0.089,0.056,0.026,0.012,0.000
S12000042,0.703,0.696,0.678,0.652,0.623,0.594,0.568,0.543,0.518,0.491,0.459,0.421,0.381,0.333,0.279,0.229,0.187,0.159,0.135,0.103,0.065,0.033,0.015,0.000
S12000045,0.514,0.502,0.486,0.470,0.452,0.428,0.404,0.381,0.358,0.335,0.312,0.290,0.266,0.240,0.208,0.166,0.129,0.107,0.090,0.068,0.042,0.020,0.009,0.000
S12000047,0.614,0.603,0.584,0.565,0.541,0.512,0.485,0.457,0.429,0.400,0.369,0.338,0.306,0.274,0.237,0.190,0.150,0.130,0.110,0.087,0.059,0.029,0.010,0.000
S12000048,0.661,0.652,0.634,0.613,0.588,0.557,0.527,0.500,0.472,0.441,0.411,0.378,0.345,0.304,0.253,0.203,0.165,0.142,0.122,0.092,0.054,0.026,0.012,0.000
S12000049,0.831,0.827,0.815,0.775,0.726,0.696,0.673,0.650,0.623,0.598,0.571,0.525,0.468,0.383,0.289,0.222,0.179,0.153,0.133,0.093,0.045,0.018,0.007,0.000
S12000050,0.576,0.567,0.553,0.535,0.508,0.476,0.448,0.421,0.392,0.358,0.325,0.300,0.276,0.249,0.216,0.180,0.149,0.130,0.109,0.084,0.054,0.026,0.012,0.000
W06000001,0.552,0.542,0.524,0.505,0.480,0.449,0.422,0.399,0.379,0.359,0.337,0.311,0.283,0.252,0.216,0.179,0.148,0.128,0.107,0.082,0.055,0.031,0.015,0.000
W06000002,0.551,0.540,0.521,0.497,0.470,0.442,0.419,0.399,0.382,0.365,0.348,0.327,0.303,0.275,0.237,0.192,0.154,0.132,0.112,0.086,0.057,0.028,0.011,0.000
W06000003,0.612,0.599,0.578,0.556,0.527,0.491,0.460,0.435,0.411,0.387,0.361,0.330,0.297,0.263,0.227,0.191,0.161,0.141,0.120,0.094,0.063,0.032,0.013,0.000
W06000004,0.600,0.587,0.566,0.547,0.522,0.488,0.459,0.432,0.405,0.376,0.350,0.322,0.295,0.264,0.227,0.188,0.157,0.137,0.116,0.089,0.058,0.029,0.012,0.000
W06000005,0.557,0.545,0.526,0.507,0.484,0.455,0.431,0.409,0.388,0.365,0.340,0.316,0.289,0.261,0.229,0.190,0.154,0.133,0.112,0.088,0.060,0.031,0.012,0.000
W06000006,0.577,0.564,0.545,0.526,0.505,0.479,0.456,0.434,0.410,0.384,0.360,0.335,0.307,0.275,0.237,0.191,0.151,0.133,0.112,0.085,0.058,0.029,0.011,0.000
W06000008,0.595,0.586,0.569,0.551,0.526,0.495,0.467,0.442,0.419,0.396,0.372,0.344,0.314,0.279,0.237,0.193,0.156,0.132,0.111,0.086,0.058,0.030,0.013,0.000
W06000009,0.592,0.581,0.563,0.542,0.517,0.488,0.464,0.443,0.421,0.399,0.379,0.355,0.327,0.290,0.244,0.198,0.162,0.142,0.121,0.096,0.065,0.035,0.015,0.000
W06000010,0.568,0.558,0.540,0.519,0.496,0.470,0.448,0.428,0.410,0.393,0.375,0.350,0.317,0.279,0.235,0.192,0.157,0.137,0.116,0.090,0.061,0.031,0.013,0.000
W06000011,0.599,0.588,0.571,0.554,0.532,0.505,0.481,0.459,0.437,0.413,0.390,0.363,0.331,0.290,0.244,0.198,0.162,0.143,0.125,0.103,0.076,0.048,0.029,0.000
W06000012,0.536,0.525,0.507,0.489,0.464,0.432,0.406,0.384,0.364,0.344,0.325,0.302,0.274,0.240,0.200,0.161,0.130,0.112,0.096,0.076,0.052,0.027,0.011,0.000
W06000013,0.572,0.561,0.546,0.534,0.525,0.513,0.497,0.476,0.452,0.428,0.406,0.375,0.335,0.287,0.234,0.188,0.153,0.133,0.112,0.086,0.055,0.028,0.013,0.000
W06000014,0.611,0.600,0.582,0.565,0.541,0.509,0.480,0.454,0.427,0.401,0.378,0.353,0.325,0.291,0.246,0.195,0.156,0.134,0.115,0.090,0.059,0.032,0.016,0.000
W06000015,0.637,0.625,0.608,0.593,0.572,0.546,0.523,0.502,0.482,0.461,0.438,0.411,0.378,0.344,0.308,0.257,0.209,0.183,0.159,0.129,0.091,0.048,0.020,0.000
W06000016,0.533,0.522,0.508,0.496,0.481,0.457,0.430,0.407,0.387,0.368,0.350,0.326,0.292,0.254,0.216,0.175,0.141,0.123,0.104,0.081,0.055,0.028,0.011,0.000
W06000018,0.533,0.520,0.501,0.484,0.465,0.441,0.420,0.399,0.379,0.360,0.343,0.321,0.294,0.262,0.222,0.175,0.135,0.115,0.096,0.074,0.051,0.027,0.012,0.000
W06000019,0.542,0.530,0.513,0.497,0.476,0.447,0.420,0.394,0.370,0.345,0.322,0.297,0.272,0.240,0.203,0.163,0.131,0.115,0.100,0.079,0.052,0.025,0.011,0.000
W06000020,0.539,0.526,0.507,0.491,0.471,0.447,0.427,0.409,0.391,0.372,0.353,0.328,0.299,0.272,0.241,0.201,0.164,0.143,0.120,0.093,0.065,0.036,0.019,0.000
W06000021,0.587,0.575,0.558,0.542,0.518,0.487,0.461,0.439,0.417,0.394,0.371,0.343,0.310,0.271,0.226,0.180,0.144,0.124,0.105,0.082,0.056,0.029,0.011,0.000
W06000022,0.588,0.578,0.564,0.549,0.528,0.504,0.480,0.453,0.425,0.398,0.374,0.349,0.325,0.299,0.268,0.224,0.183,0.157,0.130,0.098,0.062,0.028,0.011,0.000
W06000023,0.571,0.561,0.541,0.516,0.493,0.460,0.426,0.399,0.375,0.352,0.331,0.307,0.281,0.252,0.218,0.181,0.151,0.135,0.122,0.100,0.065,0.030,0.011,0.000
W06000024,0.528,0.518,0.501,0.487,0.467,0.438,0.413,0.392,0.373,0.353,0.335,0.311,0.283,0.247,0.204,0.157,0.121,0.102,0.081,0.058,0.035,0.017,0.007,0.000
