"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate5_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 6:17:40 PM"
"BatchStopTime","5/12/2022 7:19:45 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"6(1,A6)","S","605.79","24.23","198.7","524","92.82","56.5","53.89","25.11","84.36","136.28","46.82","235.64","34.21","89.24","167.29","169.68","25.08","857.3","452.32","279.94","110.72","82.9","153.77","164.53","87.57","22.29","53.53","86.26","68.36","25.73","1893"
"7(1,A7)","S","338.16","14.79","59.99","48.9","38.66","33.55","49.83","12.62","54.59","146.85","39.4","112.36","22.07","45.01","52.56","197.97","48.21","471.33","262.5","152.8","57.64","53.5","102.64","147.56","56.78","14.6","16.02","50.24","91.27","19.08","1540"
"8(1,A8)","S","186.27","27.06","31.85","27.94","21.68","18.15","24.18","10.8","15.91","83.96","27.46","49.63","14.29","25.46","35.52","65.14","10.26","271.76","100.95","76.55","26.89","57.82","15.3","65.37","29.88","14.41","10.9","27.57","17.03","16.51","1795"
"9(1,A9)","S","115.21","8.88","49.9","18.04","13.35","13.81","21.14","11.6","10.3","39.66","8.54","23.89","8.56","43.53","33.31","43.69","10.61","95.02","77.97","35.92","35.05","16.91","10.02","66.55","21.5","6.77","6.49","18.53","16.53","8.39","1916"
"10(1,A10)","S","65.03","9.22","27.61","10.63","16.58","9.9","12.33","9.69","10.05","17.49","7","18.97","15.16","12.83","14.94","22.93","6.97","51.62","50.76","23.5","24.94","15.44","8.95","36.38","19.62","21.8","7.15","16.02","10.04","9.55","1518"
"11(1,A11)","S","32.6","7.56","10.09","9","9.85","9.67","11.71","9.47","9.37","13.92","8.51","11.74","11.83","15.08","16.82","19.98","8.98","41.09","30.46","21.26","15.91","13.28","8.42","51.76","11.98","10.26","6.21","7.89","8.79","8.49","1726"
"12(1,A12)","S","10.4","7.19","7.59","6.36","7.4","5.38","8.29","12.99","6.69","9.72","4.09","8.95","16.01","15.19","62.01","35.81","4.87","41.68","11.65","9.6","13.9","9.85","7.15","20.42","6.41","6.99","4.83","6.91","51.76","9.22","1861"
"13(1,B1)","Unknown2","3863.37","113.4","100.89","190.9","247.76","98.15","266.42","106.91","1488.63","334.36","1499.5","1102.83","116.6","49.94","2731.36","1303.59","78.82","2015.35","52.69","3280.44","911.66","332.07","2619.29","2626.22","400.04","1188.88","1637.86","807.88","1717.27","1879.77","1534"
"14(1,B2)","Unknown10","3808.45","425.15","434.13","131.19","464.87","109.41","173.73","60.56","1722.13","124.53","950.3","2352.99","93","2152.24","3806.23","2893.75","235.01","1874.36","41.34","2135.07","194.27","544.89","1443.16","2245.53","1550.63","931.98","841.68","900.58","1993.71","1725.64","1759"
"15(1,B3)","Unknown18","4402.02","256.08","1016.71","69.94","607.06","135.97","266.62","462.6","2214.23","285.86","2269.09","2734.78","119.94","870.47","3826.64","5993.57","532.74","3520.74","107.53","1860.77","561.52","864.36","3887.76","4246.87","689.88","2030.32","2594.07","1626.97","1898.83","1960.13","1980"
"16(1,B4)","Unknown26","5060.83","161.83","529.41","55.16","82.25","81.76","91.6","118.74","2867.94","143.66","2332.67","3006.7","212.97","688.08","3869.11","4804","89.06","3176.53","182.07","5210.63","338.59","551.08","2020.96","4250.33","1448.73","1847.79","1801.56","1145.92","4136.51","2596.15","1604"
"17(1,B5)","Unknown34","2154.84","39.69","217.66","1810.43","68.54","79.24","127.9","24.45","590","181.13","533.87","1317.1","54.28","158.57","640.95","900.07","48.9","1815.23","35.69","1022.72","155.01","97.67","1197.01","681.44","103.8","438.62","405.71","336.95","407.01","1568.64","1804"
"18(1,B6)","Unknown42","3031.13","124.39","217.79","2837.59","128.68","89.44","336.82","283.54","704.92","921.58","721.57","885.79","398.61","2739.78","1764.91","2021.25","152.71","1347.99","470.99","1383.74","559.66","88.99","999.28","915.27","1682.84","563.74","941.99","632.78","630.65","607.6","1759"
"19(1,B7)","Unknown50","3692.33","86.2","311.13","237.51","344.17","121.81","89.48","53.44","1491.99","64.18","1443.32","1807.56","93.6","122.95","1358.57","3047.27","39.95","1848.37","101.64","3562.17","412.38","775.52","1431.05","1884.94","185.69","1560.8","1436.76","992.6","1539.84","2096.81","1583"
"20(1,B8)","Unknown58","2941.35","229.5","470.16","3010.75","370.65","79.58","352.93","51.15","916.38","790.05","1238.41","1594.71","83.34","311.3","1849.76","1485.85","162.77","1409.64","869.6","1106.17","1073.87","1059.89","1574.59","1415.22","257.46","1314.26","895.95","667.48","641.47","1351.78","1642"
"21(1,B9)","Unknown66","3580.07","43.15","209.72","81.5","98.74","70.34","118.45","54.52","1122.98","879.22","584.86","914.06","74.98","538.14","2415.51","2909.34","80.55","603.97","46.55","1280.61","228.18","867.51","1312.69","2517.48","561.84","967.02","1312.15","394.65","625.23","951.49","1381"
"22(1,B10)","Unknown74","3562.57","256.89","503.08","103.57","223.98","123.38","364.58","261.81","1649.93","712.99","1151.86","1602.3","92.59","521.15","2333.39","1886.85","56.36","564.42","116.88","1912.87","822.67","130.08","2232.91","2411.87","182.77","1957.83","10270.65","1233.57","1459.49","2558.79","1356"
"23(1,B11)","Unknown82","4262.2","38.78","1328.43","98","109.99","65.17","216.12","76.84","97.73","818.95","2069.68","41.36","101.6","980.06","644.68","1415.82","28.31","2940.65","219.41","1210.54","539.84","1052.29","31.14","983.65","439.72","204.39","177.99","937.98","713.74","1345.21","1623"
"24(1,B12)","Unknown90","4595.19","114.68","731.73","84.82","324.39","163.09","1094.2","80.14","1546.93","238.19","1490.32","1249.39","83.16","109.61","1425.47","4113.26","61.32","1579.31","350.5","1160.44","257.69","283.91","1215.38","1340.49","128.55","1415.07","1022.48","659.55","1094.97","2992.11","1263"
"25(1,C1)","Unknown3","4816.51","130.61","293.99","5972.49","89.96","189.34","103.45","23.16","1736.66","38.85","1515.64","2206.42","68.51","532.62","1967.09","2842.56","54.7","1941.42","2738.7","2339.62","257.78","743.7","2742.95","1131.8","332","1241.53","1755.8","1024.39","1400.16","1931.93","1523"
"26(1,C2)","Unknown11","1619.98","152.72","563.36","106.27","184.8","205.15","307.78","69.26","947.62","984.06","1092.93","583.3","163.82","247.04","1323.52","1182.67","71.24","1954.76","1128.25","1084.05","151.88","392.32","315.47","2511.98","573.79","294.95","280.62","398.89","616.86","302.05","1389"
"27(1,C3)","Unknown19","3386.09","178.48","308.17","434.92","93.4","118.92","156.31","43.1","1857.17","198.16","1020.8","1508.25","2483.16","372.38","2965.89","2027.53","66.98","1103.77","257.62","5851","77.41","887.08","1553.54","1207.84","114.35","1185.21","2586.97","796","1312.17","1951.63","1629"
"28(1,C4)","Unknown27","4901.63","129.88","631.35","93.32","159.27","123.15","100.79","488.11","3728.28","539.12","3258.02","2287.81","159.32","1093.19","4105.81","2045.32","190.41","966.3","478.12","3465.87","483.09","302.53","2039.34","4944.76","327.51","2348.61","1831.42","3462.36","4413.18","2972.57","1617"
"29(1,C5)","Unknown35","3540.49","97.36","343.38","4594.85","145.74","58.63","73.57","83.3","1559.37","738.59","909.61","1188.36","107.34","1857.13","938.93","4517.13","155.98","941.48","39.69","4790.48","402.99","107.36","2279.22","1896.12","195.26","1558.7","1796.29","702.57","1501.48","1469.93","1430"
"30(1,C6)","Unknown43","4650.42","301.94","305.85","151.61","271.4","206.66","128.38","122.98","1306.01","191.33","1899.83","2450.04","117.09","581.38","1699.52","1673.36","175.72","832.65","618.87","1723.46","1010.68","199.61","1737.08","2296.83","884.73","1583.02","1701.41","1468.62","2027.48","3605.35","1572"
"31(1,C7)","Unknown51","1385.16","38.58","448.82","49.18","365.8","105.64","134.29","23.2","513.03","824.4","285.47","955.98","112.56","363.7","727.09","1660.33","80.59","3178.67","28.5","1450.41","114.91","329.68","1475.14","1001.13","152.01","565.64","678.5","405.02","710.67","879.74","1444"
"32(1,C8)","Unknown59","1855.29","98.87","250.37","290.52","164.19","125.23","275.55","39.56","617.49","847.76","543.84","1287.55","114.28","698.61","702.62","1139.29","49.13","2021.02","73.25","2281.98","384.13","163.87","483.82","1881.31","273.75","581.18","643.83","529.58","477.54","994.4","1855"
"33(1,C9)","Unknown67","3611.36","181.61","311.29","361.05","1277.79","95.44","163.53","81.04","1649.95","216.1","2237.38","1639.79","79.41","1068.93","3981.68","2589.03","4003.21","1465.32","211.78","1712.61","1878.62","1156.44","1416.23","1650","292.07","1768.55","1461.39","1542.74","4391.99","1851.37","1731"
"34(1,C10)","Unknown75","5276.71","186.04","240.93","209.34","136.78","100.34","591.18","55.88","1636.28","258.44","1644.11","2406.45","96.16","21.11","2174.06","2163.13","28.47","885.11","39.69","2768.61","271.31","161.75","1710.69","1455.25","126.23","1650.55","2356.66","932.91","1821.58","2652.11","1796"
"35(1,C11)","Unknown83","27.45","57.75","119.22","68.71","156.47","54.44","97.2","31.57","38.79","241.05","35.76","45.07","117.74","148.21","33.11","3019.88","33.31","1748.05","39.62","30.61","122.15","1681.88","41.84","63.33","101.15","598.45","41.84","38.35","29.88","172.09","1793"
"36(1,C12)","Unknown91","3234.3","182.56","218.6","203.4","257","321.88","139.53","335.32","1275.76","249.72","1065.13","2266.79","173.23","263.96","1665.84","1663.33","350.08","2408.14","822.41","1322.55","200.49","226.82","2882.8","1237.31","191.3","1783.3","1461.58","1571.64","1058.73","1766.56","1492"
"37(1,D1)","Unknown4","3984.87","77.15","189.77","106.85","311.9","77.71","46.9","179.76","1484.95","311.33","1302.63","2051.73","148.14","511.87","1195.22","2045.95","87.96","1743.9","57.14","1511.55","265.27","812.11","1034.03","1312.08","44.05","1555.96","1559.46","748.54","683.62","1313.17","1732"
"38(1,D2)","Unknown12","2416.28","226.74","235.87","174.87","252.99","51.95","31.44","37.85","516.68","79.63","749.56","1099.69","33.04","169.77","1237.93","1038.04","100.89","1669.43","2702.01","1203.66","347.88","185.95","681.97","2173.57","49.13","1238.27","802.43","1175.71","1022.36","888.8","1841"
"39(1,D3)","Unknown20","917.44","54.34","214.69","253.22","280.61","77.15","319.63","60.13","231.35","81.94","333.61","46.59","274.04","1799.06","267","311.66","56.56","3556.86","2241.15","307.32","215.79","314.79","57.02","191.99","102.1","33.74","144.24","265.39","1220.13","272.85","1988"
"40(1,D4)","Unknown28","7249.37","816.63","183.33","226.24","137.95","71.63","176.98","170.18","2684.72","147.93","2953.38","1948.21","176.02","620.5","3663.93","3142.73","205.12","3273.45","1664.73","1618.34","254.95","354.25","2233.83","3627.63","112.7","2802","2503.16","817.92","1484.37","2090.07","1564"
"41(1,D5)","Unknown36","5046.29","245.28","393.81","222.21","124.09","102.64","153.49","149.94","1914.91","378.04","1250.71","2273.97","170.28","193.97","2558.19","2566.79","94.66","2512.57","192.22","1423.84","202.73","1546.76","2174.18","1633.07","124.47","1794.07","2221.17","257.83","1281.99","2517.12","1676"
"42(1,D6)","Unknown44","1886.35","103.81","323.4","151.65","459.76","189.52","288.94","446.01","1120.77","804.47","915.29","941.09","159.57","244.87","1617.63","983.28","438.45","916.62","201.27","1504.51","862.2","323.21","1088.39","933.3","734.95","1212.04","1071.87","603.49","872.39","638.11","1686"
"43(1,D7)","Unknown52","5453.08","54.84","287.15","31.71","157.19","40.05","30.37","31.34","1133.19","703.77","1334.15","1334.8","140.93","721.16","1470.58","1287.41","79.18","1393.27","28.04","2319.07","583.82","274.16","2324.31","845.58","94.7","777.54","1108.89","741.88","761.88","1191.71","1455"
"44(1,D8)","Unknown60","4813.18","190.26","956.98","132.91","406.79","173.87","218.36","283.18","1636.1","537.7","1139.9","1287.9","241.69","577.67","1890.58","1988.17","131.14","2131.61","120.44","1573.78","263.81","2292.77","1496.43","2157.04","197.16","1733.4","1105.11","432.27","1369.67","3077.17","1698"
"45(1,D9)","Unknown68","3471.56","161.6","203.26","615.08","363.27","365.55","77.23","40.17","763.3","690.09","950.18","982.49","82.71","161.57","1044.31","1156.47","92.56","349.49","155.18","1297.85","266.63","424.6","1711.78","952.83","251.34","747.7","681.19","481.95","808.25","1104.41","1574"
"46(1,D10)","Unknown76","2955.95","230.37","337.35","130.72","261.81","174.85","1082.02","57.69","1811.74","518.77","1802.84","1401.14","135.18","378.59","2738.9","3281.54","303.05","4180.47","585.6","1680.6","78.63","505.84","1444.61","1885.27","478.67","2481.2","1424.64","1432.12","1453.32","2531.35","1768"
"47(1,D11)","Unknown84","502.85","166.75","393.78","170.41","181.31","170.16","204.35","229.33","237.54","490.9","271.69","305.73","239.69","143.93","262.61","2775.46","189.85","2064.47","738.91","393.98","194.3","2833.13","265.52","436.8","590.58","112.2","181.54","337.57","977.51","424.37","1415"
"48(1,D12)","Unknown92","2458.09","47.84","153.11","134.41","452.53","77.42","153.93","384.04","950.33","836.14","1084.15","1928.48","42.27","603.85","1722.65","2376.54","952.68","775","51.18","1268.25","528.84","2488.21","963.27","771.36","676.47","965.69","694.4","748.3","1008.68","1393.22","1528"
"49(1,E1)","Unknown5","4282.12","94.63","448.05","86.68","316.41","94.71","96.25","858.09","1161.01","381.21","772.04","2093.67","108.84","193.71","1768.75","2377.65","131.45","2070.97","931.45","3586.24","493.58","715.91","1506.49","903.28","618.02","735.2","1270.6","686.81","2331.36","873","1727"
"50(1,E2)","Unknown13","2927.97","125.17","505.12","209.12","117.35","262.22","221.95","80.29","1462.62","600.76","1047.27","1853.65","109.7","194.13","1555.56","3828.2","162.67","2080.9","89.79","4724.14","398.4","970.7","4053.56","1271.82","123.4","1508.29","1251.23","1533.95","2114.25","1555.91","1543"
"51(1,E3)","Unknown21","2780.51","96.24","334.21","64.71","286.03","105.86","143.27","91.54","1639.39","398.5","911.02","979.36","69.79","307.14","1520.01","1858.54","153.23","1509.71","98.51","1359.52","752.8","410.33","1308.61","1593.84","158.91","808.61","1096.72","1153.35","809.81","1069.75","1796"
"52(1,E4)","Unknown29","5167.78","360.58","978.65","6051.92","830.04","77.82","326.8","121.99","3458.44","581.23","2209.52","3169.93","131.45","517.23","5694.26","4582.88","365.05","4321.79","1554.79","5028.24","872.04","550.05","2975.44","4958.97","636.76","4620.95","3923.19","2733.56","4252.15","3357.86","1535"
"53(1,E5)","Unknown37","3392.76","249.88","210.3","570.76","851.39","407.1","265.29","281.54","612.76","531.86","651.46","1355.15","265.23","272.28","573.02","2181.55","365.05","604.71","771.57","2244.45","763.1","1507.78","1170.09","1334.99","702.71","883.8","847.14","318.33","757.3","1352.57","1630"
"54(1,E6)","Unknown45","2890.96","181.52","743.85","595.15","323.41","89.73","178.33","38.71","1160.1","517.75","1120.47","1706.39","156.63","322.04","1440.39","2811.38","109.62","1438.91","115.62","2272.94","881.45","400.49","1108.16","1569.63","1218.84","1328.37","832.25","1012.85","835.79","1454.77","1510"
"55(1,E7)","Unknown53","2066.67","396.41","612.09","158.18","243.63","160.06","610.48","74.83","590.72","717.35","437.92","614.82","188.49","600.55","2737.83","1321.43","309.79","1058.69","2543.56","1690.95","1052.49","2579.66","814.73","2077.28","452.39","527.98","643.62","332.48","1498.37","478.98","1546"
"56(1,E8)","Unknown61","3259.11","93.36","543.3","62.69","153.95","150.74","276.08","56.5","1311.21","502.9","1280.88","1153.06","116.99","250.51","1796.39","1416.11","629.05","978.06","129.84","2145.2","844.78","633.14","2721.84","3552.25","672.23","1580.64","1910.22","596.81","943.96","1948.51","1363"
"57(1,E9)","Unknown69","4740.3","141.92","384.74","73.48","91.79","82.35","199.13","45.08","1546.27","450.48","1248.36","1551.78","127.38","469.54","3129.37","1590.39","36.99","550.7","85.79","1914.13","266.12","719.07","1669.23","3185.91","116.56","1259.31","1997.35","1492.86","1748.7","2181.83","1788"
"58(1,E10)","Unknown77","2495.48","932.45","264.46","198.81","434.39","142.31","183.86","118.61","1651.89","242.4","1146.94","2081.71","222.3","241.15","1490.34","1381.77","196.15","1825.36","221.51","2902.64","291.79","3065.05","1344.94","2291.11","135.63","1386.11","1707.43","1073.54","951.13","2029.07","1800"
"59(1,E11)","Unknown85","2304.91","184.36","1460.57","1259.35","376.06","135.78","145.15","203.2","712.83","358.03","713.06","1056.38","1381.21","1077.73","963.86","1154.19","183.48","1843.36","511.61","760.76","1971.26","456.94","764.5","900.79","405.33","608.83","892.33","473.81","525.13","682.8","1448"
"60(1,E12)","Unknown93","3527.45","118","451.1","71.37","268.94","75.96","54.75","112.38","1309.68","426.3","1372.3","1499.09","83.08","231.2","1665.65","2670.32","158.84","1019.88","2241.97","1390.95","430.89","299.03","2956.05","1392.07","307.93","1171.25","905","570.15","789.6","1332.96","1714"
"61(1,F1)","Unknown6","4514.08","80.15","713.67","169.88","190.47","63.58","71.43","28.09","1783.91","590.66","1442.31","1543.49","309.87","694.58","3175.89","1720.31","69.82","1975.96","175.95","1552.9","347.01","286.04","1283.35","2439.94","217.5","1451.81","1099.06","1082.86","2490.31","2053.18","1507"
"62(1,F2)","Unknown14","3241.46","296.55","701.86","5463.02","678.13","257.32","579.28","266.55","1663.43","392.86","1418.05","1602.91","819.68","518.37","1456.45","1253.48","374.19","728.74","260.84","1341.97","189.96","250.62","2194.31","1368.59","223.85","1185.91","1765.08","864.29","1723.75","1623.17","1739"
"63(1,F3)","Unknown22","3079.21","192.95","754.51","691.37","673.36","156.04","3901.53","84.34","2044.65","339.87","1059.59","1811.53","248.52","2019.25","2533.61","3535.63","355.37","2185.59","540.54","2749.71","2555.21","5058.08","1528.13","2074.04","828.27","1729.48","1715.52","989.9","1440.07","2343.74","1856"
"64(1,F4)","Unknown30","4553.87","116.11","224.42","49.54","164.27","95.84","228.19","30.91","2226.48","516.31","1148.87","3094.35","88.83","181.2","1944.88","3144.73","125.22","1033.46","618.94","4568.97","415.27","79.14","3209.67","3218.58","343.96","1519.01","1592.26","953.4","1458.24","2198.37","1533"
"65(1,F5)","Unknown38","4551.99","126.19","265.99","75.05","188.53","159.66","177.05","58.62","1583.08","372.42","1304.56","1696.59","72.73","406.17","1649.89","1771.5","240.34","826.73","349.48","2441.15","291.07","155.07","1017.79","3178.44","267.52","1660.79","2142.36","1277.02","1340.83","1536.44","1784"
"66(1,F6)","Unknown46","4033.71","507.65","220.22","130.38","83.06","79.87","179.5","65","1644.33","98.92","1325.6","1622.46","69.87","272.69","2891.44","1359.3","313.85","858.1","1319.36","3786.72","942.02","249.73","1393.91","3045.62","313","1959.62","2291.84","1278.52","1158.83","2661.96","1725"
"67(1,F7)","Unknown54","4940.81","92.98","599.39","104.37","606.83","162.46","1146.02","72.81","52.67","148.63","60.97","63.28","92.74","444.72","52.85","50.27","139.49","2512.23","51.58","32.15","842.19","1197.45","51.07","66.54","219.35","96.24","53.6","1038.82","41.31","150.3","1476"
"68(1,F8)","Unknown62","3909.54","80.25","292.74","81.73","377.17","61.62","87.18","57.05","1207.45","292.14","932.62","1866.17","57.11","625.66","1435.64","2721.67","32.24","2205.48","270.53","1010.7","745","1265.75","884.84","2442.07","189.12","905.97","1170.53","505.49","1534.15","1041.33","1715"
"69(1,F9)","Unknown70","3167.91","51.91","598.65","140.27","151.17","233.83","113.22","228.6","1398.88","278.85","785.22","1296.96","135.12","283.01","2528.23","1270.02","101.13","1833.93","185.05","998.55","671.6","355.85","1391.35","2626.01","300","746.21","973.04","830.15","809.58","1159.74","1727"
"70(1,F10)","Unknown78","3353.95","139.26","559.68","625.83","358.35","171.36","306.24","60.6","1090.41","814.9","1319.14","1554.28","210.14","87.16","1832.3","2395.8","319.32","2595.11","99.81","2806.77","751.35","868.55","1316.34","2250.55","170.68","865.9","1530.27","1457.21","775.22","1096.22","1751"
"71(1,F11)","Unknown86","4178.47","444.57","544.16","400.13","376.87","187.81","296.71","247.32","1330.89","428.84","1185.5","1374.15","64.79","216.67","1946.32","2075.67","229.55","1820.86","1442.41","1778.18","693.59","460.7","2952.59","1422.61","1357.3","1861.43","1829.39","1020.23","1460.56","2964.4","1930"
"72(1,F12)","Unknown94","4445.48","67.84","98.34","141.36","263.18","72.83","107.53","26.05","889.49","170.81","732","1596.89","40.39","180.96","875.98","2638.32","169.92","181.58","24","1204.76","779.19","83.5","1078.48","1472.75","230.38","557.23","1152.96","725.22","896.46","887.09","1309"
"73(1,G1)","Unknown7","4913.76","113.06","478.85","166.56","152.44","101.48","171.61","66.12","2108.83","480.91","2161.61","2468.86","90.86","147.8","1273.96","4555.84","225","2335.94","585.79","1597.66","411.47","331.92","3481.57","2130.4","115.79","2706.82","2218.53","1284.23","2544.16","1886.13","1542"
"74(1,G2)","Unknown15","4478.39","134.18","373.5","419.29","394.35","115.24","140.24","776.23","1752.68","360.65","1974.11","2069.07","84.07","369.19","3525.54","4485.85","55.7","1330.56","3505.86","3309.67","276.94","224.81","1689.22","3479.61","138.55","1914.65","962","1815.95","1575.81","2287.63","1618"
"75(1,G3)","Unknown23","5247.19","150.41","566.86","44.49","253.85","176.71","95.01","34.63","1544.56","291.17","1794.73","1613.02","162.73","874.54","4087.85","3054.71","184.09","1301.46","1929.53","3450.46","499.12","753.07","1751.34","3208.2","674.63","2927.02","2729.68","1132.79","3876.86","3689.97","1855"
"76(1,G4)","Unknown31","5904.13","925.86","869.65","1248.85","314.95","496.26","60.52","63.02","2430.24","120.03","3260.48","3205.57","49.89","385.37","4083.55","5769.88","230.89","1888.02","89.67","4831.96","3313.91","1328.7","2184","3364.63","685.74","1893.9","2160.83","989.81","3453.96","2789.08","1556"
"77(1,G5)","Unknown39","3678.24","107.16","77.19","58.78","106.09","106.54","189.24","37.49","902.86","524.23","1108.89","1239.89","73.47","227.39","1850.7","2854.21","337.84","631.1","64.27","1430.95","78.77","214.56","1047.48","1329.18","627.79","1148.2","1201.01","1263.29","722.32","991.17","1698"
"78(1,G6)","Unknown47","3700.74","144.06","283.75","392.77","109.08","131.98","103.1","142.91","1045.55","278.9","1221.26","2101.39","128.22","626.94","2098.27","2188.55","73.01","1446.41","140.96","2304.76","209.75","1111.17","2552.24","1460.15","719.81","1641.43","1094.28","1203.46","1194.58","1940.29","1720"
"79(1,G7)","Unknown55","357.79","61.89","587.62","88.78","176.76","93.17","115.73","181.02","36.99","169.27","57.75","49.29","97.5","391.03","72.73","2421.29","167.43","2030.81","581.31","291.43","49.58","903.07","38.71","364.44","217.87","110.4","62.14","725.13","476.75","459.72","1747"
"80(1,G8)","Unknown63","5349.1","94.37","515.9","55.05","135.42","74.94","74.65","81.68","2050.86","269.41","1895.54","3332.81","185.37","708.07","3032.59","1880.89","93.32","1892.78","169.74","5065.06","180.08","115.9","3831.65","3109.94","487.54","2257.82","2376.42","1869.81","1850.48","1754.91","1551"
"81(1,G9)","Unknown71","344.1","63.41","62","112.17","60.39","90.57","128.05","50.16","105.39","317.42","106.08","1631.31","93.73","238.35","237.16","247.77","24.1","3439.16","792.51","197.55","162.09","796.1","57.52","248.33","72.28","48.35","98.47","652.95","732.03","741.37","1843"
"82(1,G10)","Unknown79","4327.23","414.46","145.44","92.02","238.24","132.23","279.49","87.07","1217.34","719.57","1477.32","1263.73","109.05","280.55","1539.74","1573.55","90.76","2795.69","916.78","2298.74","288.61","512.88","1019.67","1191.43","558.27","996.63","1304.91","675.7","843.82","1383.06","1633"
"83(1,G11)","Unknown87","4049.89","1072.77","469.29","205.83","805.16","85.18","138.56","139.45","2496.42","214.42","1778.67","1405.04","172.68","749.96","1826.74","5355.72","171.09","2402.56","1804.65","1738.73","162.69","903.07","3433.31","1477.63","399.42","1500.29","1670.06","2192.49","1727.48","1997.02","1640"
"84(1,G12)","Unknown95","2566.92","394.22","249.35","125.86","164.99","73.81","131.59","58.28","911.81","278.23","871.2","1906.13","111","172.63","1571.05","1014.91","181.05","844.75","1259.57","1311.88","176.89","674.79","769.06","861.3","426.02","769.92","776.54","634.72","964.21","699.8","1591"
"85(1,H1)","Unknown8","4004.64","112.25","519.21","3568.31","206.62","156.69","354.77","45.07","1181.49","531.13","2631.01","2601.82","50.72","159.12","2276.68","2310.62","92.93","2524.37","69.06","3570.66","230.33","2427.51","1640.25","1327.09","503.27","1181.88","986.34","733.53","481.1","1401.27","1755"
"86(1,H2)","Unknown16","2699.09","101.99","826.14","421.53","71.53","91.06","698.49","100.91","606.65","391.74","432.29","686.64","59.25","214.64","1210.83","1704.14","153.91","2628.29","275.3","1275.08","791.79","2207.21","411.15","1382.38","60.5","410.69","550.27","1004.13","728.74","400.37","1701"
"87(1,H3)","Unknown24","5620.63","76.82","233.79","75.96","363.13","55.51","50.06","112.66","2062.72","232.32","1976.57","1807.25","238.62","260.49","2219.48","3182.94","307.93","786.19","117.09","3097.93","686.16","1103.25","1834.5","1927.44","131.98","1860.54","1988.24","405.29","3225.28","2365.74","1860"
"88(1,H4)","Unknown32","2740.71","73.15","308.77","3124.41","203.7","97.12","177.26","27.7","767.29","675.04","978.04","2141.02","183.17","221.16","1470.94","2443.61","163.97","2725.41","44.5","3274.19","859.27","1481.62","1168.52","1893.42","1004","1151.01","697.09","573.12","594.29","1110.06","1781"
"89(1,H5)","Unknown40","4955","109.09","621.31","49.6","120.07","184.24","257.28","62.94","1495.53","378.12","1727.41","1648.58","151.41","322","3542.05","2754.2","211.77","3521.81","70.08","2539.45","673.52","534.22","1831.22","4685.07","259.64","1367.44","1568.56","1995.04","2815.89","1904.26","1779"
"90(1,H6)","Unknown48","4057.17","79.11","315.11","96.4","66.67","137.96","399.04","38.85","1468.74","538.17","1129.88","921.39","94.23","334.51","2537.51","4174.86","163.76","1263.91","42.12","2990.3","1381.88","851.01","849.71","1903.23","95.03","909.33","1512.16","1173.33","447.21","2011.41","1760"
"91(1,H7)","Unknown56","2823.72","253.45","1210.8","389.94","512.15","203.51","232.65","343.07","503.34","390.44","577.68","925.07","78.48","294.16","892.56","2337.62","142.01","1869.9","46.28","1622.96","506.62","675.6","809.91","1092.38","754","745.42","1001.18","521.92","1242.83","1259.51","1881"
"92(1,H8)","Unknown64","4806.44","97","1051.56","295.21","493.87","100.33","86.73","666.11","941.12","210.89","1097.89","1258.78","157.82","701.35","3011.43","1496.32","270.16","3579.26","293.73","2762.48","857.31","320.07","1459.03","2956.98","287.95","1409.25","925.1","1241.34","759.28","1625","1884"
