"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","12/20/2021","10:50 AM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOise0_amiens_plate2_20211220"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_28plex"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","12/20/2021 11:44:15 AM"
"BatchStopTime","12/20/2021 12:15:53 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","28"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 12/20/2021 10:56:41"
"Last VER Verification","Passed 12/20/2021 10:57:43"
"Last Fluidics Test","Passed 12/20/2021 10:59:02"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B81409","05/21/2022","12/20/2021 10:56:41 AM","26.3","26.3","26.3","26.3","167","207","313","313","0.00709","0.00709","0.00395","0.11616","Pass","MAGPX16145704"


"Samples","49","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"75(1,G3)","Unknown23","6100.42","913.77","7778.27","2032.44","9919.58","5435.68","376.47","2509.85","1758.76","553.39","1489.59","3001.18","1406.96","1759.4","4132.42","5261.6","574.11","16517.15","6984.17","4995.82","1910.88","5417.15","743.96","4872.58","3598.18","519.73","820.04","1961.35","1582"
"76(1,G4)","FD","15280","404.51","874.85","517.31","2078.75","682.47","900.39","143.95","7547.51","1747.12","5461.47","8009.64","278.3","1762.72","12944.45","16883.46","623.07","13289.64","490.69","17174.07","1772.35","3491.08","2772.19","15274.28","3022.35","1171.9","4878.33","3472.6","1648"
"77(1,G5)","Unknown39","91.28","145.81","984.21","419.81","2448.54","588.18","881.32","435.97","89","1859.75","217.28","332.72","656.47","3023.44","40.82","50.75","196.83","4386.02","678.12","51.9","1814.44","3261.07","111.65","84.61","3961.55","133.96","114.77","92.08","1746"
"85(1,H1)","Unknown8","189.27","228.02","1102.1","1781.81","3780.45","368.81","256.02","93.78","267.9","439.97","159.2","307.71","1225.03","6099.61","36.68","65.88","397.03","2780.43","187.15","76.55","2247.24","1018.75","162.59","154.98","3801.23","161.13","152.38","112.8","1569"
"86(1,H2)","Unknown16","154.76","356.17","1329.04","1348.59","3311.78","480.18","1105.37","88.8","107.57","1907.31","144.85","161.58","1141.18","2022.16","38.32","51.35","269.55","8687.59","98.95","44.76","1468.06","8217.75","135.88","77.77","1758.28","153.15","148.94","136.64","1789"
"87(1,H3)","Unknown24","5143.21","1058.53","1945.25","1587.62","5919.94","724.13","725.29","2714.04","2855.34","1720.48","1902.96","3928.83","1291.4","1527.48","2780.71","4934.79","489.5","15645.04","8858.51","4666.9","1369.33","2760.98","684.68","5059.13","565.74","479.72","2137.08","915.26","1616"
"88(1,H4)","LG","20094.06","788.85","2221.35","539.1","5618.27","382.5","481.11","234.64","13063.08","708.86","11101.34","13953.06","791.35","2142","18716.24","21099.11","273.17","10461.17","165.3","20644.7","1270.34","1481.25","5107.47","18612.04","1941.92","2363.26","9074.08","2455.15","1706"
"89(1,H5)","Unknown40","1734.29","542.65","4292","2845.09","5036.26","1600.79","693.42","158.27","587.33","690.42","241.27","277.16","1820.09","7862.35","396.98","2157.5","659.61","19280.84","137.95","2283.05","1309","4632.78","291.32","2429.1","3361.18","310.69","584.84","356.93","1714"

"DataType:","%CV"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","39.71","24.52","47.96","35.79","24.17","30.85","32.53","28.17","46.22","20.61","27.98","79.95","32.47","34.25","31.37","27.21","25.04","30.49","39.32","23.53","28.16","27.55","27.07","118.1","95.97","26.84","23.31","134.82","1817"
"2(1,A2)","S","20.07","30.67","16.28","12.11","10.92","19.96","11.74","26.2","18.07","16.01","24.29","11.56","14.79","14.54","10.65","13.27","22.1","16.62","11.35","9.73","39.41","11.88","32.53","9.45","15","22.28","16.52","31.25","1772"
"3(1,A3)","S","24.04","31.73","18.08","22.52","19.29","18.33","18.59","31.05","26.97","13.91","20.09","25.45","19.77","39.89","11.65","13.7","28.56","20.11","12.6","14.44","43.4","22.49","85.71","18.51","18.91","25.59","20.46","20.12","1797"
"4(1,A4)","S","19.79","29.99","11.49","18.33","10.36","16.09","21.94","31.74","19.53","14.72","26.11","24.43","22.59","11.42","22.78","9.67","25.71","18.08","33.71","11.86","37.93","11.85","82.99","8.54","22.36","20.33","16.28","14.46","1800"
"5(1,A5)","S","29.41","34.87","16.72","19.21","21.3","21.52","25.24","36.98","20.78","14.25","28.62","26.82","30.16","22.4","15.13","19.42","22.85","18.88","19.68","18.06","40.94","19.35","25.6","24.16","11.57","34.42","24.04","18.44","1766"
"6(1,A6)","S","26.56","28.41","13.17","14.41","16.27","18.14","33.08","49","27.63","14.27","22.92","22.34","22.01","19.42","20.97","12.24","32.49","21.67","17.83","16.65","45.44","34.62","29.16","18.4","10.86","32.82","19.81","34.39","1794"
"7(1,A7)","S","23.09","25.49","12.64","24.85","12.43","23.67","19.32","23.43","22.79","14.32","38.66","24.52","14.05","16.92","33.31","19.97","21.87","20.34","19.62","17.68","40.39","15.33","18.43","19.18","14","21.17","32.65","28.83","1957"
"8(1,A8)","S","24.63","20.02","13.33","18.71","15.04","18.17","18.04","25.05","26.49","16.07","31.35","23.51","25.69","19.39","26.62","20.91","23.34","19.02","17.81","20.93","34.43","13.53","23.94","15.69","31.69","34.44","22.4","22.99","1848"
"9(1,A9)","S","24.99","23.47","15.23","23.11","15.8","22.1","17.86","41.51","22.96","21.42","27.02","21.1","19.3","18.16","23.44","24.2","27.48","20.43","20.53","18.46","28.04","15.1","75.27","22.35","24.47","34.22","21.38","32.39","1766"
"10(1,A10)","S","21.92","21.54","19.35","26.95","21.67","23.74","20.9","39.88","28.49","14.2","30.18","20.06","24.81","17.73","19.14","22.16","20.34","21.08","17.61","17.98","21.32","18.68","21.24","22.73","34.69","21.65","18.76","28.07","1717"
"11(1,A11)","S","22.5","17.42","21.57","28.3","12.65","20.33","18.15","22.7","27.38","16.84","25.6","16.9","20.15","20.99","20.56","19.86","18.4","16.94","20.76","15.16","29.83","17.13","22.35","30.56","32.32","19.72","20.29","51.48","1821"
"12(1,A12)","S","22.99","22.03","45.2","29.85","20.58","29.32","50.95","25.84","26.15","23.11","25.89","22.16","32.21","29.05","23.04","27.9","25.44","22.05","30.88","17.28","24","24.11","20.14","26.72","42.89","21.32","31.97","40.53","1805"
"13(1,B1)","Unknown2","27.81","164.68","12.19","22.42","9.14","25.84","22.98","29.45","27.01","19.2","31.47","31.35","25.47","11.96","36.92","32.33","26.28","22.54","23.35","28.09","35.78","19.53","28.01","24.81","14.84","27.55","30.88","20.79","1853"
"14(1,B2)","Unknown10","30.97","21.49","12.69","16.44","16.01","18.85","13.29","20.94","43.94","15.19","43.61","24.04","11.67","11.25","31.39","28.53","16.34","22.8","144.07","21.58","52.26","19.34","21.65","130.98","11.28","25.86","21.57","61.51","1694"
"15(1,B3)","Unknown18","26.13","28.47","12.23","22.72","15.73","19.85","20.98","38.08","44.76","15.77","22.46","25.07","22.01","25.63","21.91","19.06","42.31","19.92","26.72","19.55","24.78","11.81","17.86","18.94","14.67","31.2","22.12","21.47","1789"
"16(1,B4)","Unknown26","108.04","30.52","13.45","20.45","20.64","16.38","22.74","41.31","89.68","18.67","41.77","21.58","10.57","10.1","355.63","67.01","57.41","21.68","380.44","72.76","55","12.82","34.52","34.57","16.02","24.97","28.16","101.81","1890"
"17(1,B5)","Unknown34","17.49","20.65","16.26","21.03","15.59","23.78","18.49","24.77","28.03","9.88","43.63","31.19","14.71","26.16","57.44","17.3","33.82","18.29","17.78","15.21","55.58","14.46","25.35","13.44","19.14","26.79","22.37","22.6","1739"
"18(1,B6)","Unknown42","22.07","33.89","108.8","25.29","14.77","18.57","15.18","21.19","24.09","14.08","518.69","84.38","11.43","23.26","29.18","57.94","34.58","15.03","33.09","167.66","58.79","13.51","65.46","42.87","10.33","27.57","18.94","30.19","1818"
"25(1,C1)","Unknown3","22.52","33.44","14.27","26.59","13.84","19","17.26","29.12","33.43","14.19","18.61","16.29","11.8","13.94","28.08","20.15","25.14","18.43","26.22","19.48","45.87","16.71","30.55","17.54","14.55","30.77","19.49","22.62","1779"
"26(1,C2)","Unknown11","53.84","26.4","13.24","21.43","13.95","28.88","16.63","15.12","38.08","12.44","38.56","15.68","16.68","74.12","249.48","27.29","20.26","12.53","48.82","38.91","48.87","8.47","21.91","46.79","17.19","30.32","74.22","21.42","1841"
"27(1,C3)","Unknown19","13.99","23.9","12.55","19.29","29.87","21.95","24.62","42.35","23.75","12.49","37.95","20.61","34.58","15.73","60.5","16.18","21","19.15","18.67","14.54","37.86","11.42","26.54","40.43","9.88","38.75","28.4","28.98","1837"
"28(1,C4)","Unknown27","30.85","29.01","19.48","79.87","19.6","23.92","14.27","23.84","24.68","21.78","17.92","38.59","10.97","15.75","16.2","11.19","28.05","14.36","16.27","21.35","59.81","16.49","21.6","12.39","18.06","30.52","52.61","13.19","1830"
"29(1,C5)","Unknown35","110.78","48.15","13.43","18.23","22.21","18.36","19.68","19.8","57.44","15.27","25.68","48.39","14.05","15.28","416.86","26.06","25.9","23.26","19.26","13.74","56.81","19.39","22.63","18.05","10.26","43.74","18.68","72.79","1711"
"30(1,C6)","Unknown43","48.66","32.02","13.36","27.65","20.01","18.61","16.85","33.48","39.25","16.1","42.29","27.46","16.86","20.82","98.73","29.68","28.12","22.11","12.74","17.26","34.14","16.95","22.62","23.96","17.14","29.4","24.09","37.62","1819"
"37(1,D1)","Unknown4","41.18","21.46","14.06","16.14","12.7","16.44","15.35","21.49","29.24","12.68","40.74","39.74","9.95","26.6","22.06","28.55","17.43","22.52","20.73","21.03","50.89","11.41","69.03","20.85","26.16","56.36","18.95","256.13","1689"
"38(1,D2)","Unknown12","12.19","31.12","14.93","12.35","16.83","18.06","22.78","48.56","29.95","17.53","26.89","34.73","14.09","23.41","16.48","13.09","28.21","23.48","24.31","14.89","47.48","11","45.73","15.88","10.33","41.06","24.91","48.3","1924"
"39(1,D3)","Unknown20","22.11","17.78","11.41","15.32","19.92","23.89","97.19","15.28","41.05","13.52","21.59","37.96","10.58","32.84","72.52","29.39","14.67","19.96","17.12","59.02","44.66","14.76","19.61","31.22","16.41","30.72","18.37","24.2","1684"
"40(1,D4)","Unknown28","19.94","17.78","24.55","19.9","15.02","23.68","37.69","21.39","33.05","14.89","38.21","23.14","16.29","15.04","28.01","19.96","29.92","18.36","18.34","21.3","43","21.78","13.02","16.29","10.13","23.47","25.33","24","1782"
"41(1,D5)","Unknown36","25.23","22.4","15.15","20.38","20.14","26.04","16.53","17.53","36.66","15.47","26.36","17.45","17.47","21.43","13.89","11.75","33.34","21.48","23.74","12.77","64.12","14.02","74.69","16.93","27.33","19.38","43.02","59.18","1835"
"49(1,E1)","Unknown5","24.2","51.07","12.09","15.96","10.31","21.42","18.1","22.28","93.47","14.6","39.19","91.55","12.08","16.48","28.27","29.34","31.47","23.13","36.84","172.32","43.67","12.18","17.91","26.23","16.84","24.58","27.05","19.58","1547"
"50(1,E2)","Unknown13","33.27","29.46","9.86","15.31","10.55","19.05","22.2","22.06","83.94","13.71","36.37","23.84","26.88","17.66","473.16","46.95","23.65","24.18","15.24","34.02","54.17","16.04","29.89","300.95","20.85","62.27","37.23","27.68","1637"
"51(1,E3)","Unknown21","36.86","16.47","16.13","21.15","17.12","18.06","18.51","100.71","40.62","17","45.72","24.53","18.69","17.58","74.53","26.73","27.51","15.32","24.36","26.3","51.08","21.33","37.3","39.07","12.28","92.57","64.4","28.01","1560"
"52(1,E4)","Unknown29","35.13","25.87","31.92","17.88","27.39","19.07","15.21","17.96","33.06","20.48","52.35","32.83","35.21","12.81","21.26","38.31","30.34","24.07","33.44","102.62","48.26","12.35","29.96","28.12","20.11","48.27","20.84","101.65","1429"
"53(1,E5)","Unknown37","25.76","41.03","19.01","16.75","14.6","18.55","15.35","37.79","24.99","14.97","35.85","30.49","13.02","12.92","22.21","25.14","22.12","19.42","29.46","18.48","37.56","20.36","20.93","21.29","24.67","29.8","24.76","17.75","1756"
"61(1,F1)","Unknown6","23.91","21.06","126.4","22.39","16.42","18.52","24.25","28.38","31.58","11.92","43.24","38.78","11.15","13.13","22.11","20.42","29.42","14.53","17.13","16.23","40.75","11.48","25.48","47.82","21.04","27.09","117.58","20.45","1604"
"62(1,F2)","Unknown14","20.39","16.41","10.87","17.95","10.66","17.69","17.66","32","25.58","21.84","103.81","15.7","16.64","12","22.71","18.77","25.42","21.28","26.03","17.93","40.63","18.45","25.35","15.1","18.84","37.63","13.7","16.48","1913"
"63(1,F3)","Unknown22","20.6","21.47","29.49","21.4","25.08","39.03","20.25","49.55","23.02","20.43","19.67","30.08","357.66","303.67","18.22","17.63","34.29","22.2","18.72","23.6","123.41","65.13","65.31","17.33","35.47","28.53","22.73","39.47","1457"
"64(1,F4)","SP","25.61","283.11","23.67","49.44","26.67","162.48","21.92","22.82","20.05","10.94","18.19","37.06","11.24","22.12","47.37","17.92","25.4","23.63","19.46","23.64","40.37","22.14","15.43","21.73","12.02","21.99","21.92","39.89","1730"
"65(1,F5)","Unknown38","20.34","25.05","23.11","24.54","18.61","18.91","14.47","92.17","29.81","23.21","19.85","22.43","10.28","43.93","15.66","16.45","24.27","15.23","11.16","7.41","130.87","20.97","21.17","11.2","21.98","23.52","14.22","23.4","1622"
"73(1,G1)","Unknown7","44.86","21.65","27.87","25.82","14.56","20.71","25.89","40.19","98.34","16.58","57.01","39.33","15.76","17.89","28.68","28.18","24.78","18.36","492.24","51.49","47.26","19.21","49.47","41","19.66","20.85","88.76","194.8","1678"
"74(1,G2)","Unknown15","44.68","28.19","11.6","24.14","12.04","18.98","18.73","18.27","35.08","10.6","39.54","27.18","11.33","18.1","94.7","165.44","21.98","11.47","22.64","35.69","50.32","17.81","26.04","30.41","13.89","24.65","20.4","24.64","1674"
"75(1,G3)","Unknown23","17.52","42.19","14.24","59.99","15.09","17.12","25.59","20.63","24.09","96.82","29.79","40.01","14.4","39.96","19.36","15.8","19.83","17.27","27.72","13.8","35.88","11.45","20.94","14.27","15.59","37.92","20.38","27.04","1582"
"76(1,G4)","FD","17.81","23.74","94.82","54.23","59.65","159.82","16.73","19.97","16.49","26.71","21.39","18.28","16.07","11.2","19.21","12.61","27.59","19.02","282.91","12.34","38.41","15.8","13.66","13.95","13.89","54.13","21.09","17.34","1648"
"77(1,G5)","Unknown39","29.01","47.12","10.76","18.38","17.52","18.54","18.95","16.7","33.23","13.95","335.29","380.64","10.49","18.69","37.24","27.77","29.2","25.08","41.24","25.94","48.73","16.13","25.72","71.67","17.54","24.55","26.72","29.51","1746"
"85(1,H1)","Unknown8","31.99","26.97","10.19","17.19","15.15","19.81","44.78","28.95","346.01","9.1","47.95","32.69","13.02","14.93","32.45","27.46","39.58","15.77","21.86","17.94","47.74","33.74","29.31","36.15","15.34","22.2","41.77","21.75","1569"
"86(1,H2)","Unknown16","35.53","15.95","12.36","19.79","19.22","20.18","16.69","22.06","34.92","11.05","33.05","32.58","10.54","15.12","29.76","25.43","30.9","17.93","28.77","15.14","44.34","8.41","16.63","44.71","11","20.14","52.59","35.11","1789"
"87(1,H3)","Unknown24","17.38","37.09","15.42","21.75","13.43","27.36","22.08","15.8","28.52","13.92","18.95","29.47","13.43","16.4","28.35","17.77","139.32","15.35","14.1","18.29","34.13","25.46","17.25","16.62","24.33","27.12","24.25","17.91","1616"
"88(1,H4)","LG","15.15","350.75","11.38","23.46","15.89","20.14","19.06","23.94","10.11","16.07","12.8","15.36","25.7","29.51","16.13","9.01","55.59","18.16","28.55","14.73","25.92","14.94","20.96","8.27","17.46","19.18","19.05","21.91","1706"
"89(1,H5)","Unknown40","17.01","57.43","10.56","22.3","15.13","23.49","24.9","22.53","26.32","11.12","31.59","28.38","9.21","18.49","27.87","118.12","24.18","12.66","30.89","13.73","39.42","13.83","26.94","14.17","15.95","32.27","305.08","20.85","1714"

"DataType:","Peak"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","22","19","21","32","20","26","19","32","19","28","28","28","26","25","16","26","18","18","15","28","28","28","19","47","21","23","21","45","1817"
"2(1,A2)","S","14466","1819","6685","5907","13403","3484","1875","1595","5896","2835","4847","8841","1748","4616","11309","13853","1160","18357","13908","12850","5230","5715","1878","12268","6134","1109","2494","2513","1772"
"3(1,A3)","S","8520","1069","4103","2958","9281","2139","1310","741","3479","2430","2614","6164","1064","2634","8164","9293","1068","13870","13940","9242","1476","3357","1027","8276","3927","710","1320","1672","1797"
"4(1,A4)","S","6707","915","2409","2418","7005","1603","1073","581","2609","2047","2223","5023","682","1739","5436","7886","626","12717","10906","7224","2205","2313","767","7268","2310","527","1108","1256","1800"
"5(1,A5)","S","4836","383","1209","1022","3070","709","652","143","1357","1250","985","2216","276","770","2413","3095","279","5479","5417","3079","654","1111","355","3085","1067","255","557","579","1766"
"6(1,A6)","S","1972","225","768","803","2135","433","471","122","804","982","740","1670","192","511","1742","2430","127","4277","4626","2136","798","707","234","2316","677","155","325","373","1794"
"7(1,A7)","S","1204","111","402","313","1254","234","244","100","434","452","325","533","111","254","653","1309","96","2041","1599","1301","209","382","143","1196","312","91","176","216","1957"
"8(1,A8)","S","512","86","192","191","604","132","144","77","227","243","143","383","68","133","436","490","66","1113","943","470","122","226","77","803","162","58","91","116","1848"
"9(1,A9)","S","350","51","116","104","413","73","86","51","126","155","77","169","57","87","244","399","38","713","491","338","145","132","49","432","91","45","45","77","1766"
"10(1,A10)","S","198","36","77","65","198","58","66","36","71","112","66","126","38","43","122","234","31","288","266","176","57","73","36","209","65","32","38","58","1717"
"11(1,A11)","S","122","38","47","41","117","36","47","36","58","74","47","87","36","41","91","110","32","199","175","103","57","63","32","176","49","36","32","55","1821"
"12(1,A12)","S","41","24","28","22","49","22","25","25","32","41","28","38","28","28","36","60","20","71","57","49","28","45","21","71","22","23","19","45","1805"
"13(1,B1)","Unknown2","4267","368","1300","533","6180","290","433","144","1886","623","908","1890","797","2062","1612","2846","337","7235","1668","2516","1805","1603","650","3180","4604","290","704","555","1853"
"14(1,B2)","Unknown10","137","829","1603","2307","4811","675","510","176","103","737","122","184","653","2724","38","74","190","13322","122","137","654","1480","132","207","4630","155","162","112","1694"
"15(1,B3)","Unknown18","3331","907","1596","910","5235","1067","1024","267","1668","1737","2048","2405","652","2215","2967","4448","581","6954","8836","4649","1527","5188","740","4815","4086","740","1157","769","1789"
"16(1,B4)","Unknown26","224","609","2139","4614","5459","1959","553","169","167","1821","226","313","1361","4798","45","65","369","11928","225","58","4433","6158","245","137","4097","300","264","151","1890"
"17(1,B5)","Unknown34","802","595","1885","4268","3075","942","1207","312","312","2713","276","339","1361","1420","121","576","682","15758","339","834","2929","7577","253","871","4611","300","313","236","1739"
"18(1,B6)","Unknown42","215","255","4402","1543","7224","491","325","623","106","767","200","224","1419","2596","58","78","1736","20070","112","112","1546","8918","208","177","1483","207","177","178","1818"
"25(1,C1)","Unknown3","4279","942","2618","1732","5442","802","1072","734","1539","1015","1424","2725","770","5696","2973","3216","1151","12339","6139","3913","2522","3198","578","5026","2723","432","982","680","1779"
"26(1,C2)","Unknown11","122","200","766","313","1064","369","904","301","84","1880","103","127","941","606","36","57","88","7239","244","60","1028","1741","107","84","945","206","99","103","1841"
"27(1,C3)","Unknown19","148","369","1416","709","2612","705","1155","77","62","2221","71","111","301","353","38","126","57","5915","143","112","325","1022","77","144","2318","99","80","200","1837"
"28(1,C4)","Unknown27","1877","338","936","402","5660","256","490","113","556","905","2226","1805","298","1669","5235","2295","466","11898","1531","1542","6926","1959","234","1371","2031","217","184","1598","1830"
"29(1,C5)","Unknown35","156","183","1067","737","2223","324","626","132","87","1472","115","133","652","2429","38","87","216","3079","95","137","2717","474","132","142","2212","116","143","122","1711"
"30(1,C6)","Unknown43","289","287","3075","4103","5454","1955","489","177","127","1195","189","216","1367","4120","45","74","470","15002","653","86","579","2617","208","216","6181","255","168","156","1819"
"37(1,D1)","Unknown4","369","531","6167","3072","6160","3087","1366","328","168","2408","192","276","1536","1365","58","121","370","17774","1019","71","3645","5435","225","142","2121","244","227","287","1689"
"38(1,D2)","Unknown12","1886","1109","3081","1533","6957","681","769","682","650","1664","628","1062","869","1969","896","1421","703","5434","11348","1416","1742","1475","370","1668","2608","450","490","532","1924"
"39(1,D3)","Unknown20","176","310","2322","867","1979","2411","803","314","217","1360","235","300","982","1898","142","191","301","6188","223","155","944","2506","324","314","4277","741","234","276","1684"
"40(1,D4)","Unknown28","1025","435","1253","3069","6128","470","368","183","341","512","169","192","949","2613","176","942","198","18463","162","1208","599","4984","207","1264","1607","266","208","216","1782"
"41(1,D5)","Unknown36","1421","354","6137","797","6650","2394","199","340","491","529","471","1156","1108","2513","1480","1547","157","5236","868","1256","653","2950","267","2624","1159","191","300","438","1835"
"49(1,E1)","Unknown5","168","162","1258","767","1152","653","707","87","91","740","99","112","1032","1887","41","63","100","12331","87","65","1208","1884","111","87","245","112","87","162","1547"
"50(1,E2)","Unknown13","149","169","603","767","2127","277","371","2129","111","512","127","183","127","1608","38","55","3091","7901","161","43","4625","2829","126","91","4264","167","184","133","1637"
"51(1,E3)","Unknown21","100","209","869","861","2970","555","1160","149","70","2497","91","91","266","905","32","36","266","8830","77","45","3314","3627","107","87","531","112","99","155","1560"
"52(1,E4)","Unknown29","70","199","832","829","2717","299","905","174","95","899","138","117","451","1303","41","49","310","16339","103","58","1602","2319","127","99","2952","163","150","117","1429"
"53(1,E5)","Unknown37","254","286","5018","1152","6681","870","908","111","112","1973","137","123","598","1203","43","148","116","16985","126","176","470","5891","168","266","1482","122","169","176","1756"
"61(1,F1)","Unknown6","150","209","417","1300","1414","830","897","1311","91","2218","91","132","488","1423","41","45","288","9640","276","51","1493","1259","87","116","770","108","111","91","1604"
"62(1,F2)","Unknown14","5903","867","9267","5240","8543","1538","325","356","1815","512","1163","1877","981","1807","2495","5662","943","9645","2843","6979","3764","2048","648","6141","3081","471","1020","981","1913"
"63(1,F3)","Unknown22","14433","1675","651","537","2511","678","1061","943","9290","1808","6672","10872","207","402","14480","15086","662","6127","13977","15721","309","1750","2841","13982","170","1064","5260","1306","1457"
"64(1,F4)","SP","6413","254","2616","602","3767","489","1058","133","2049","1472","1067","1893","352","1545","3073","6974","200","8588","399","9963","371","3080","509","7818","1254","300","907","769","1730"
"65(1,F5)","Unknown38","10441","1255","4836","435","13887","771","1425","276","4473","2511","2408","5045","1474","1811","6993","12263","767","2943","12314","13983","736","1733","839","11811","2956","869","1209","4100","1622"
"73(1,G1)","Unknown7","92","449","1257","1480","1596","4073","983","121","111","1482","177","155","494","2814","58","58","805","7211","92","63","1110","1411","155","132","2036","217","133","155","1678"
"74(1,G2)","Unknown15","206","382","2134","3954","4073","3075","2040","601","192","1253","277","255","988","4837","51","60","654","16368","117","95","3169","6147","255","214","2839","246","234","207","1674"
"75(1,G3)","Unknown23","7246","840","8226","1866","10129","4998","288","2427","2054","455","1891","2611","1310","1488","4444","5451","534","19200","6951","5234","1202","5442","705","5010","3782","450","802","1962","1582"
"76(1,G4)","FD","14506","299","626","454","1733","400","939","156","8233","1808","6171","8491","245","1739","13364","17720","535","14437","352","16959","1020","3913","2720","15085","2950","1200","4447","3625","1648"
"77(1,G5)","Unknown39","100","127","938","415","2418","603","869","433","78","2033","107","144","651","2966","36","49","156","4665","553","51","2407","2864","91","65","4454","132","96","87","1746"
"85(1,H1)","Unknown8","216","236","1112","1804","3941","324","224","88","100","431","148","299","1302","5883","32","58","301","2830","176","77","3088","941","126","132","4264","163","131","91","1569"
"86(1,H2)","Unknown16","198","351","1421","1253","3191","453","1068","95","87","1739","111","144","1156","2053","35","47","279","10067","103","45","2148","7895","132","73","1744","169","112","132","1789"
"87(1,H3)","Unknown24","6189","973","2136","1740","6180","678","681","2948","2052","1671","2127","4096","1207","1539","2419","5638","471","13849","8499","5477","979","2855","737","5426","532","434","1982","898","1616"
"88(1,H4)","LG","23611","340","2412","578","5457","350","472","199","13341","804","11312","14456","831","2145","19225","21814","191","11361","185","21781","1420","1539","5239","19246","1889","2309","8849","2212","1706"
"89(1,H5)","Unknown40","1967","510","4253","2517","5231","1549","681","169","532","624","225","215","1740","8201","340","1748","580","19961","127","2312","1959","4808","278","2323","3095","313","278","401","1714"

"DataType:","Std Dev"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","7.83","5.62","13.12","8.24","6.07","6.86","7.21","8.68","11.34","6.33","7.11","24.88","8.98","7.38","6.24","8.31","5.03","6.42","8.87","7.16","7.36","7.84","5.9","65.24","32.21","7.01","4.9","53.75","1817"
"2(1,A2)","S","2670.55","603.78","1101.16","763.14","1458.84","737.06","219.73","339.15","1102.77","530.8","1160.26","992.65","288.26","713.2","1167.52","1813.25","299.24","2917.78","1530.44","1292.69","1610.69","694.93","622.75","1153.16","949.76","245.99","445.15","895.44","1772"
